phase,topic,reference_link_focus,reference_link,keep_link_trigger,replace_trigger,do_not_link,note_line,avoid_point
1,EEG信号品質の限界検証,QC境界をどのリンクで最後に参照させるか,QC閾値表へのURL1本,同じQC条件確認が続く,より短いQC要約URLに置き換えられる,品質差が高次解釈に誤読される,品質の参照リンクはQC閾値表のURL1本だけ残す,品質から読心へ飛ばない
1,高密度EEG空間分解能評価,density利得をどのリンクで最後に参照させるか,密度比較図へのURL1本,密度条件への参照が続く,より短い要約図URLに置き換えられる,局在証明リンクに化ける,空間分解能の参照リンクは密度比較図URL1本に留める,局在完成の物語にしない
1,マルチモーダル統合の基礎,同期条件をどのリンクで最後に参照させるか,同期条件表へのURL1本,同期条件の参照が続く,同期条件を要約した短URLへ差し替えられる,統合万能論リンクに化ける,統合の参照リンクは同期条件表URL1本に留める,統合万能論に戻らない
1,ノイズ除去・信号分離手法の比較,既定値候補をどのリンクで最後に参照させるか,前処理比較表へのURL1本,前処理既定値の参照が続く,より短い既定値メモURLへ差し替えられる,最強手法ランキングリンクに化ける,前処理の参照リンクは比較表URL1本だけ残す,最強法探しへ戻らない
1,長時間記録の安定性評価,usable window をどのリンクで最後に参照させるか,安定区間図へのURL1本,運用区間への参照が続く,より短い運用要約URLへ差し替えられる,長時間記録万能論リンクに化ける,長時間運用の参照リンクは安定区間図URL1本に留める,長時間夢想に戻らない
2,デコーディング精度ベンチマーク,benchmark条件をどのリンクで最後に参照させるか,benchmark比較表へのURL1本,比較条件への参照が続く,より短い比較要約URLへ差し替えられる,精度競争リンクに化ける,benchmarkの参照リンクは比較表URL1本だけ残す,精度競争に戻らない
2,クロスデータセット汎化,gap原因をどのリンクで最後に参照させるか,gap比較表へのURL1本,gap原因整理への参照が続く,より短い原因要約URLへ差し替えられる,どこでも通用リンクに化ける,汎化の参照リンクはgap比較表URL1本に留める,どこでも通用と語らない
2,リアルタイムデコーディング,遅延条件をどのリンクで最後に参照させるか,遅延比較図へのURL1本,replay条件つき遅延参照が続く,より短い遅延要約URLへ差し替えられる,true online 成功リンクに化ける,リアルタイム性の参照リンクは遅延図URL1本に留める,true online 成功談にしない
2,Foundation Modelの適用,限定利得をどのリンクで最後に参照させるか,FM比較表へのURL1本,task別利得参照が続く,より短い利得要約URLへ差し替えられる,基盤モデル万能論リンクに化ける,FMの参照リンクは限定利得表URL1本だけ残す,基盤モデル万能論に戻らない
2,運動意図デコーディング,cross-subject差分をどのリンクで最後に参照させるか,MI比較表へのURL1本,被験者差分への参照が続く,より短い差分要約URLへ差し替えられる,操作一般知能リンクに化ける,運動意図の参照リンクはMI比較表URL1本に留める,操作一般知能の話へ飛ばない
2,感覚知覚デコーディング,成立条件をどのリンクで最後に参照させるか,知覚条件表へのURL1本,P300やSSVEP条件参照が続く,より短い条件要約URLへ差し替えられる,知覚全再構成リンクに化ける,知覚系の参照リンクは成立条件表URL1本に留める,知覚全再構成の話にしない
2,言語/意味デコーディング,語彙条件をどのリンクで最後に参照させるか,語彙条件表へのURL1本,語彙条件への参照が続く,より短い語彙要約URLへ差し替えられる,全文読心リンクに化ける,言語系の参照リンクは語彙条件表URL1本に留める,全文読心の話へ飛ばない
3,感情状態の推定・分類,ラベル条件をどのリンクで最後に参照させるか,感情ラベル表へのURL1本,ラベル条件参照が続く,より短いラベル要約URLへ差し替えられる,感情断定リンクに化ける,感情分類の参照リンクはラベル表URL1本だけ残す,感情断定の話にしない
3,記憶のエンコーディング/検索,encoding条件をどのリンクで最後に参照させるか,記憶条件図へのURL1本,encoding/search 条件参照が続く,より短い条件要約URLへ差し替えられる,記憶内容読取りリンクに化ける,記憶系の参照リンクは条件図URL1本に留める,記憶内容読取りの話へ飛ばない
3,注意・ワーキングメモリ,load差分をどのリンクで最後に参照させるか,load比較図へのURL1本,負荷差分への参照が続く,より短い負荷要約URLへ差し替えられる,全面監視リンクに化ける,WM系の参照リンクはload図URL1本に留める,全面監視の話にしない
3,意思決定過程,段階差分をどのリンクで最後に参照させるか,段階比較表へのURL1本,段階差分参照が続く,より短い段階要約URLへ差し替えられる,自由意思判定リンクに化ける,意思決定の参照リンクは段階表URL1本に留める,自由意思判定の話へ飛ばない
3,社会的認知,task条件をどのリンクで最後に参照させるか,social task表へのURL1本,課題依存性への参照が続く,より短いtask要約URLへ差し替えられる,他者理解読取りリンクに化ける,社会認知の参照リンクはtask表URL1本に留める,心の読み過ぎ物語にしない
3,創造性・問題解決,proxy限界をどのリンクで最後に参照させるか,proxy条件表へのURL1本,proxy限界への参照が続く,より短いproxy要約URLへ差し替えられる,創造性測定器リンクに化ける,創造性の参照リンクはproxy表URL1本だけ残す,創造性断定の話にしない
3,主観的経験の定量化,対応範囲をどのリンクで最後に参照させるか,対応条件表へのURL1本,対応範囲への参照が続く,より短い対応要約URLへ差し替えられる,主観直接読取りリンクに化ける,主観経験の参照リンクは対応表URL1本に留める,主観の直接読取りにしない
4,意識の神経相関（NCC）定量化,NCC候補条件をどのリンクで最後に参照させるか,NCC候補表へのURL1本,候補条件への参照が続く,より短い候補要約URLへ差し替えられる,意識本質証明リンクに化ける,NCCの参照リンクは候補表URL1本に留める,本質証明の話にしない
4,意識状態の分類（覚醒/睡眠/麻酔/DoC）,state境界をどのリンクで最後に参照させるか,state比較表へのURL1本,状態境界参照が続く,より短い境界要約URLへ差し替えられる,単一意識尺度リンクに化ける,state分類の参照リンクは比較表URL1本に留める,単一尺度神話にしない
4,統合情報理論(IIT)の実証的検証,proxy限界をどのリンクで最後に参照させるか,IIT proxy表へのURL1本,proxy限界への参照が続く,より短いproxy要約URLへ差し替えられる,理論決着リンクに化ける,IITの参照リンクはproxy表URL1本に留める,理論決着を語らない
4,Global Workspace Theory の検証,workspace条件をどのリンクで最後に参照させるか,GWT条件図へのURL1本,workspace条件参照が続く,より短い条件要約URLへ差し替えられる,GWT勝敗リンクに化ける,GWTの参照リンクは条件図URL1本に留める,理論の勝敗表にしない
4,意識の連続性と同一性,連続性proxyをどのリンクで最後に参照させるか,連続性proxy表へのURL1本,proxy有効域への参照が続く,より短いproxy要約URLへ差し替えられる,人格同一性測定リンクに化ける,連続性の参照リンクはproxy表URL1本に留める,人格同一性測定の話にしない
4,mind-upload可能性の理論的枠組み,EEG単独の非到達域をどのリンクで最後に参照させるか,境界条件メモへのURL1本,EEG単独限界への参照が続く,より短い境界要約URLへ差し替えられる,mind-upload実証済みリンクに化ける,理論枠組みの参照リンクは境界条件メモURL1本に留める,実証済みの空気を作らない
