uid,rq_index,rq_text,bridge_condition_ja,bridge_step_1_ja,bridge_step_2_ja,bridge_step_3_ja,bridge_rule_ja,bridge_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,When triage_ready is reached,Connect to reopen_watch_signal,Connect to reopen_revalidation_packet,Connect to reclose_decision_gate,3 connection completed and reentry_ready,bridge_template_fixed,2026-03-02T00:10:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",When triage_ready is reached,Connect to reopen_watch_signal,Connect to reopen_revalidation_packet,Connect to reclose_decision_gate,3 connection completed and reentry_ready,bridge_template_fixed,2026-03-02T00:10:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,When triage_ready is reached,Connect to reopen_watch_signal,Connect to reopen_revalidation_packet,Connect to reclose_decision_gate,3 connection completed and reentry_ready,bridge_template_fixed,2026-03-02T00:10:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,When triage_ready is reached,Connect to reopen_watch_signal,Connect to reopen_revalidation_packet,Connect to reclose_decision_gate,3 connection completed and reentry_ready,bridge_template_fixed,2026-03-02T00:10:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",When triage_ready is reached,Connect to reopen_watch_signal,Connect to reopen_revalidation_packet,Connect to reclose_decision_gate,3 connection completed and reentry_ready,bridge_template_fixed,2026-03-02T00:10:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",When triage_ready is reached,Connect to reopen_watch_signal,Connect to reopen_revalidation_packet,Connect to reclose_decision_gate,3 connection completed and reentry_ready,bridge_template_fixed,2026-03-02T00:10:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",When triage_ready is reached,Connect to reopen_watch_signal,Connect to reopen_revalidation_packet,Connect to reclose_decision_gate,3 connection completed and reentry_ready,bridge_template_fixed,2026-03-02T00:10:00Z
U15,2,How should neurorights be mapped onto technical audit items?,When triage_ready is reached,Connect to reopen_watch_signal,Connect to reopen_revalidation_packet,Connect to reclose_decision_gate,3 connection completed and reentry_ready,bridge_template_fixed,2026-03-02T00:10:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",When triage_ready is reached,Connect to reopen_watch_signal,Connect to reopen_revalidation_packet,Connect to reclose_decision_gate,3 connection completed and reentry_ready,bridge_template_fixed,2026-03-02T00:10:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,When triage_ready is reached,Connect to reopen_watch_signal,Connect to reopen_revalidation_packet,Connect to reclose_decision_gate,3 connection completed and reentry_ready,bridge_template_fixed,2026-03-02T00:10:00Z
