uid,rq_index,rq_text,priority_lane,ready_condition_ja,commit_scope_ja,ledger_entry_ja,post_commit_check_ja,ledger_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,high,publish_gate=publish_ready,Text difference + trail link update,Record commit ID and summary,Check link arrival after reflection,template_ready,2026-03-01T22:23:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",standard,publish_gate=publish_ready,Text difference + trail link update,Record commit ID and summary,Check link arrival after reflection,template_ready,2026-03-01T22:23:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,high,publish_gate=publish_ready,Text difference + trail link update,Record commit ID and summary,Check link arrival after reflection,template_ready,2026-03-01T22:23:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,standard,publish_gate=publish_ready,Text difference + trail link update,Record commit ID and summary,Check link arrival after reflection,template_ready,2026-03-01T22:23:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",standard,publish_gate=publish_ready,Text difference + trail link update,Record commit ID and summary,Check link arrival after reflection,template_ready,2026-03-01T22:23:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",standard,publish_gate=publish_ready,Text difference + trail link update,Record commit ID and summary,Check link arrival after reflection,template_ready,2026-03-01T22:23:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",high,publish_gate=publish_ready,Text difference + trail link update,Record commit ID and summary,Check link arrival after reflection,template_ready,2026-03-01T22:23:00Z
U15,2,How should neurorights be mapped onto technical audit items?,standard,publish_gate=publish_ready,Text difference + trail link update,Record commit ID and summary,Check link arrival after reflection,template_ready,2026-03-01T22:23:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",high,publish_gate=publish_ready,Text difference + trail link update,Record commit ID and summary,Check link arrival after reflection,template_ready,2026-03-01T22:23:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,standard,publish_gate=publish_ready,Text difference + trail link update,Record commit ID and summary,Check link arrival after reflection,template_ready,2026-03-01T22:23:00Z
