uid,rq_index,rq_text,reopen_signal_ja,triage_step_1_ja,triage_step_2_ja,triage_step_3_ja,triage_rule_ja,triage_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,Differential recurrence or collision recurrence,Check the difference log,Recheck the reason for judgment,Inventory the lack of trails,Reopen candidate if 2 or more items match,triage_template_fixed,2026-03-01T23:15:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",Differential recurrence or collision recurrence,Check the difference log,Recheck the reason for judgment,Inventory the lack of trails,Reopen candidate if 2 or more items match,triage_template_fixed,2026-03-01T23:15:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,Differential recurrence or collision recurrence,Check the difference log,Recheck the reason for judgment,Inventory the lack of trails,Reopen candidate if 2 or more items match,triage_template_fixed,2026-03-01T23:15:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,Differential recurrence or collision recurrence,Check the difference log,Recheck the reason for judgment,Inventory the lack of trails,Reopen candidate if 2 or more items match,triage_template_fixed,2026-03-01T23:15:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",Differential recurrence or collision recurrence,Check the difference log,Recheck the reason for judgment,Inventory the lack of trails,Reopen candidate if 2 or more items match,triage_template_fixed,2026-03-01T23:15:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",Differential recurrence or collision recurrence,Check the difference log,Recheck the reason for judgment,Inventory the lack of trails,Reopen candidate if 2 or more items match,triage_template_fixed,2026-03-01T23:15:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",Differential recurrence or collision recurrence,Check the difference log,Recheck the reason for judgment,Inventory the lack of trails,Reopen candidate if 2 or more items match,triage_template_fixed,2026-03-01T23:15:00Z
U15,2,How should neurorights be mapped onto technical audit items?,Differential recurrence or collision recurrence,Check the difference log,Recheck the reason for judgment,Inventory the lack of trails,Reopen candidate if 2 or more items match,triage_template_fixed,2026-03-01T23:15:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",Differential recurrence or collision recurrence,Check the difference log,Recheck the reason for judgment,Inventory the lack of trails,Reopen candidate if 2 or more items match,triage_template_fixed,2026-03-01T23:15:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,Differential recurrence or collision recurrence,Check the difference log,Recheck the reason for judgment,Inventory the lack of trails,Reopen candidate if 2 or more items match,triage_template_fixed,2026-03-01T23:15:00Z
