uid,rq_index,rq_text,readiness_score,screening_threshold,screening_result,trigger_match,reopen_candidate,next_action_ja,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,52,70,hold,no,no,Continue high monitoring,2026-03-01T20:34:20Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",38,70,hold,no,no,Continue regular monitoring,2026-03-01T20:34:20Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,58,70,hold,no,no,Continue high monitoring,2026-03-01T20:34:20Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,41,70,hold,no,no,Continue regular monitoring,2026-03-01T20:34:20Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",45,70,hold,no,no,Continue regular monitoring,2026-03-01T20:34:20Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",43,70,hold,no,no,Continue regular monitoring,2026-03-01T20:34:20Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",55,70,hold,no,no,Continue high monitoring,2026-03-01T20:34:20Z
U15,2,How should neurorights be mapped onto technical audit items?,42,70,hold,no,no,Continue regular monitoring,2026-03-01T20:34:20Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",60,70,hold,no,no,Continue high monitoring,2026-03-01T20:34:20Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,40,70,hold,no,no,Continue regular monitoring,2026-03-01T20:34:20Z
