phase,topic,restop_trigger,closing_line,keep_asset,revisit_window,note_line,avoid_point
1,"EEG信号品質の限界検証","再計測しても品質閾値も failure mode も増えない時","今回は 更新済み品質基準を残して一度ここで再停止します","品質閾値表と再現手順","90日後","今回は 品質基準だけ保存して次条件待ちにする","全否定の文面にしない"
1,"高密度EEG空間分解能評価","密度を上げても利得条件が増えない時","今回は 利得が残る条件だけ整理して再停止します","密度比較図と設定表","90日後","今回は 有効条件だけを保存して追加高密度化を止める","空間情報ゼロと書かない"
1,"マルチモーダル統合の基礎","統合利得が再現せず同期条件も広がらない時","今回は 限定統合条件メモを残して再停止します","統合利得比較図と利用範囲メモ","120日後","今回は 利得が出た最小条件だけ残して次の paired data を待つ","EEG 全否定にしない"
1,"ノイズ除去・信号分離手法の比較","比較しても既定値候補が定まらない時","今回は 比較表と失敗例を残して再停止します","前処理比較表と failure case 一覧","90日後","今回は 既定値候補が定まる条件が出るまで止める","比較無意味と書かない"
1,"長時間記録の安定性評価","再校正しても運用上限が伸びない時","今回は 安定区間メモを残して再停止します","安定区間図と再校正条件メモ","120日後","今回は 使える区間だけ保存して長時間拡張を止める","連続計測全否定にしない"
2,"デコーディング精度ベンチマーク","新差分が出ず benchmark 更新価値も薄い時","今回は baseline 表だけ更新して再停止します","baseline 表と更新メモ","90日後","今回は 比較基盤だけ残して拡張更新を止める","精度競争に戻らない"
2,"クロスデータセット汎化","原因整理が進まず schema も固まらない時","今回は gap 表と schema メモを残して再停止します","汎化 gap 表と schema 対応表","120日後","今回は 整理できた gap だけ保存して広い汎化は止める","どこでも通用と語らない"
2,"リアルタイムデコーディング","軽量構成でも安定動作が残らない時","今回は 遅延精度図を残して再停止します","遅延精度図と軽量運用メモ","90日後","今回は 動いた構成の記録だけ保存して realtime 拡張を止める","完成システムとして語らない"
2,"Foundation Modelの適用","強い baseline を一貫して超えられない時","今回は 転移比較条件だけ残して再停止します","転移比較表と OOD 条件メモ","120日後","今回は 利いた条件だけ保存して基盤化の話を止める","基盤モデル完成と言わない"
2,"運動意図デコーディング","改善が消え校正コストだけが残る時","今回は 校正条件表を残して再停止します","MI baseline 表と校正条件表","90日後","今回は 使えた校正条件だけ保存して一般化を止める","普遍的読取りにしない"
2,"感覚知覚デコーディング","刺激条件を変えると差が消える時","今回は 限定課題の比較表を残して再停止します","知覚課題比較表と誤分類条件メモ","120日後","今回は 差が残った課題だけ保存して広い知覚主張を止める","知覚全体復元に広げない"
2,"言語/意味デコーディング","差が task confound から切れない時","今回は 安全域メモを残して再停止します","最小単位比較表と除外条件メモ","120日後","今回は 切れた条件だけ保存して広い意味主張を止める","思考解読にしない"
3,"感情状態の推定・分類","ラベル揺れが大きく安定しない時","今回は 安定ラベルだけ残して再停止します","感情ラベル頑健性表と利用範囲メモ","90日後","今回は 使えるラベル群だけ保存して広い分類を止める","感情断定にしない"
3,"記憶のエンコーディング/検索","proxy が戦略差から切れない時","今回は 追試条件メモを残して再停止します","記憶 proxy 比較表と追試条件メモ","120日後","今回は 追試基盤だけ保存して広い記憶主張を止める","記憶内容を読む話にしない"
3,"注意・ワーキングメモリ","drift に埋もれて差が安定しない時","今回は drift 条件メモを残して再停止します","負荷 proxy 比較表と drift メモ","90日後","今回は 使えた session 条件だけ保存して広い指標化を止める","万能指標にしない"
3,"意思決定過程","差が motor や難度から切れない時","今回は 残る差分メモを残して再停止します","意思決定 proxy 表と除外解釈メモ","120日後","今回は 残った差分だけ保存して広い過程主張を止める","自由意志論へ流れない"
3,"社会的認知","小課題でも再現差が残らない時","今回は pilot 条件だけ残して再停止します","社会課題最小条件表と pilot 仕様","120日後","今回は 回った小課題条件だけ保存して広い社会認知主張を止める","広い社会性判定にしない"
3,"創造性・問題解決","rubric を整えても proxy が安定しない時","今回は rubric メモを残して再停止します","創造性 proxy 図と rubric メモ","120日後","今回は 教材化できた比較軸だけ保存して広い創造性主張を止める","創造性そのものを測れたとしない"
3,"主観的経験の定量化","尺度を変えると対応が消える時","今回は 有効尺度メモを残して再停止します","自己評定対応表と尺度条件メモ","120日後","今回は 残った尺度だけ保存して広い定量化主張を止める","完全定量化と書かない"
4,"意識の神経相関（NCC）定量化","候補差が覚醒度や刺激差から切れない時","今回は 候補比較図を残して再停止します","NCC 候補比較図と条件メモ","120日後","今回は 残る contrast だけ保存して広い NCC 主張を止める","意識の正体解明としない"
4,"意識状態の分類（覚醒/睡眠/麻酔/DoC）","site を跨ぐと条件が保てない時","今回は benchmark 表を残して再停止します","状態分類 benchmark 表と外れ条件メモ","120日後","今回は 使える site 条件だけ保存して広い分類を止める","臨床診断代替にしない"
4,"統合情報理論(IIT)の実証的検証","近似 proxy が安定しない時","今回は 近似比較メモを残して再停止します","IIT proxy 比較表と理論注記","120日後","今回は 近似比較だけ保存して理論勝敗の議論を止める","理論証明にしない"
4,"Global Workspace Theory の検証","候補反応が代替説明から切れない時","今回は contrast メモを残して再停止します","GWT 候補反応図と代替説明メモ","120日後","今回は 再現した contrast だけ保存して広い理論主張を止める","理論の勝敗を決めたとしない"
4,"意識の連続性と同一性","drift と状態差から切れない時","今回は 個人内比較メモを残して再停止します","個人内安定性比較図と proxy メモ","180日後","今回は 残る条件だけ保存して広い同一性主張を止める","本人確認技術にしない"
4,mind-upload可能性の理論的枠組み,"claim ladder が新しい根拠で更新されない時","今回は 安全域だけ残して再停止します","claim ladder 更新版と不足要件表","180日後","今回は 安全域だけ保存して実現 narrative を止める","実現可能性を匂わせない"
