phase,topic,day_1_3,day_4_10,day_11_20,day_21_30,first_artifact,first_risk,avoid_point
1,"EEG信号品質の限界検証","品質指標と除外条件を固定する","候補公開EEGと欠損率の棚卸しを終える","前処理前後の品質比較表初版を作る","品質下限と失敗条件の1枚表を閉じる","品質比較表1枚","metadata 差で比較軸が揺れる","品質だけで高次主張に飛ばない"
1,"高密度EEG空間分解能評価","電極密度の比較条件を固定する","HD-EEG候補と局在評価指標を確定する","電極数削減の比較図初版を作る","必要十分な電極条件の表に閉じる","電極密度別局在比較図","ground truth 不足で主張が強くなる","精密局在を約束しない"
1,"マルチモーダル統合の基礎","同期監査条件を固定する","EEGと他計測の候補セットを絞る","unimodal vs fusion の比較表初版を作る","同期条件つきの利得比較1枚を閉じる","同期条件比較表","同期品質と統合利得が混ざる","統合で全体理解が進むと言い過ぎない"
1,"ノイズ除去・信号分離手法の比較","比較する前処理法と評価軸を固定する","annotation か synthetic 条件を1つ確保する","信号保持率と下流性能の比較表初版を作る","課題別の無難な既定値メモを閉じる","前処理比較表","公平条件が揺れて順位表化する","単一最強法を作らない"
1,"長時間記録の安定性評価","状態 family と drift 指標を固定する","長時間候補EEGと欠損処理を確定する","安定区間と崩れ条件の比較図初版を作る","再校正境目の短い手順メモを閉じる","安定区間比較図","状態差と計測差が混ざる","完全追跡の話にしない"
2,"デコーディング精度ベンチマーク","統一 split と metric を固定する","対象課題を MI ERP SSVEP に絞る","基準線の比較表初版を作る","被験者外 baseline 表を閉じる","共通基準線表","課題を増やして比較が崩れる","最高精度競争に寄せない"
2,"クロスデータセット汎化","共通ラベル空間だけに絞る","学習元と評価先の組合せを固定する","within と across の劣化表初版を作る","外部汎化 gap の1枚表に閉じる","汎化 gap 比較表","ラベル不一致を抱えたまま進む","どこでも通用と言わない"
2,"リアルタイムデコーディング","擬似リアルタイム条件を固定する","判定窓 更新間隔 遅延算出を決める","遅延別精度の比較図初版を作る","最小成立条件の1枚表を閉じる","遅延と精度の折り合い図","オンラインと言い切ってしまう","完成システムとして語らない"
2,"Foundation Modelの適用","事前学習条件と OOD 評価条件を固定する","baseline と比較する最小設定を決める","転移利得と劣化幅の表初版を作る","再利用可能な表現条件の1枚表に閉じる","表現転移比較表","foundation という語が先行する","規模だけで解ける話にしない"
2,"運動意図デコーディング","被験者外条件と較正試行数を固定する","MI 候補データと class balance を確認する","被験者内外比較表初版を作る","汎化限界と補助策の短いメモを閉じる","被験者外 benchmark 表","個人内高精度に引っ張られる","普遍的読取りと言わない"
2,"感覚知覚デコーディング","ERP 系と SSVEP 系を分けて固定する","対象刺激条件と confusion 軸を確定する","誤分類を含む比較表初版を作る","知覚課題の安全域1枚に閉じる","知覚課題比較表","刺激同期依存を無視する","知覚全体復元に寄せない"
2,"言語/意味デコーディング","ラベル単位と除外条件を固定する","公開言語EEG候補を最小単位で絞る","識別できる単位の比較表初版を作る","成立単位と崩れる単位の1枚表を閉じる","最小単位比較表","思考読取りに見える表現が混ざる","意味全体を読む話にしない"
3,"感情状態の推定・分類","主観ラベル軸と被験者外評価を固定する","label noise を見積もる条件を決める","校正あり/なし比較表初版を作る","粗い状態分類の安全域メモを閉じる","感情ラベル頑健性表","主観ラベルの揺れを後回しにする","感情断定にしない"
3,"記憶のエンコーディング/検索","成功失敗比較軸を固定する","記銘と検索で使う指標を絞る","proxy の再現表初版を作る","安定指標と不安定指標の1枚表を閉じる","記憶 proxy 比較表","内容読出しに寄っていく","記憶の本質解明と言わない"
3,"注意・ワーキングメモリ","負荷 proxy を複数固定する","注意課題とN-back の共通指標を決める","drift を含む比較表初版を作る","一般化しやすい proxy の1枚表に閉じる","負荷 proxy 比較表","単一スコア化してしまう","万能指標として売らない"
3,"意思決定過程","測れる proxy と除外解釈を固定する","報酬と選好の課題を小さく絞る","proxy 比較図初版を作る","測れる線と測れない線の表を閉じる","意思決定 proxy 表","理論全体へ広げる","自由意志の話にしない"
3,"社会的認知","最小共同課題を1つか2つに絞る","対照条件と失敗条件を固定する","差分検出の比較表初版を作る","少人数で回る条件の1枚表に閉じる","社会課題最小条件表","課題依存性が高いまま広げる","広い社会性判定にしない"
3,"創造性・問題解決","教材化する課題と差分軸を固定する","候補 ERP 成分と追試条件を決める","課題内差分の図初版を作る","教材化可能な proxy メモを閉じる","創造性 proxy 図","本質論へ寄り過ぎる","創造性を測れたと言わない"
3,"主観的経験の定量化","自己評定尺度と対応指標を固定する","ばらつきと除外条件を整理する","対応安定条件の比較表初版を作る","補助利用の範囲メモを閉じる","自己評定対応表","主観客観化の言い過ぎ","完全数値化にしない"
4,"意識の神経相関（NCC）定量化","状態境界と候補 proxy を固定する","報告条件あり/なしを分ける","境界での差分比較図初版を作る","候補指標一覧の1枚表を閉じる","NCC 候補比較図","報告関連成分が混ざる","意識の正体解明と言わない"
4,"意識状態の分類（覚醒/睡眠/麻酔/DoC）","状態ラベルと外れ条件を固定する","主要状態だけに絞り候補データを決める","分類枠の比較表初版を作る","benchmark と外れ条件表を閉じる","状態分類 benchmark 表","診断主張が混ざる","臨床判断代替にしない"
4,"統合情報理論(IIT)の実証的検証","近似 proxy と計算条件を固定する","対象状態と再計算条件を絞る","状態差比較表初版を作る","再現する差と再現しない差の表を閉じる","IIT proxy 比較表","理論証明の表現が混ざる","完全検証と言わない"
4,"Global Workspace Theory の検証","候補更新反応と条件差を固定する","対象課題と振幅潜時比較軸を決める","更新反応比較図初版を作る","予測適合度の1枚表を閉じる","GWT 候補反応図","理論勝敗へ流れる","決着をつける話にしない"
4,"意識の連続性と同一性","個人内安定性と変動成分の軸を固定する","cross-session 候補データと比較条件を決める","安定成分比較図初版を作る","連続性を語れる最小表を閉じる","個人内安定性比較図","本人性の証明へ寄る","本人確認技術にしない"
4,"mind-upload可能性の理論的枠組み","claim ladder の段と空白領域を固定する","支えられる範囲と不足要件を表にする","段階表初版を作る","評価軸と空白領域の1枚表を閉じる","claim ladder 表","実現論へ飛ぶ","mind-upload 実現を語らない"
