phase,topic,figure_talk_20s,opening_line,focus_line,closing_line,avoid_point
1,"EEG信号品質の限界検証","この図は公開EEGを同じ品質指標で並べ直し 再利用できる下限がどこかを見せています。重要なのは最高値ではなく 欠損や雑音でどこから崩れるかです。","この図は品質下限の比較です。","見てほしいのは欠損率と雑音条件で再利用可否がどう変わるかです。","品質条件の共通土台を置くための図として見てください。","品質だけで高次解読を語らない"
1,"高密度EEG空間分解能評価","この図は電極密度を減らしたときに局在誤差がどこで悪化するかを比較しています。大事なのは高密度化の利得と頭打ち条件の両方を見ることです。","この図は電極密度と局在誤差の関係です。","見てほしいのは必要十分な電極条件がどこにあるかです。","空間限界を保守的に整理するための図です。","精密局在ができると誇張しない"
1,"マルチモーダル統合の基礎","この図は単独利用と統合利用の差を 同期条件つきで比べています。重要なのは統合の派手さではなく どの同期条件で利得が安定するかです。","この図は同期条件と統合利得の比較です。","見てほしいのは同期ずれが小さい条件でだけ利得を読む点です。","統合条件の最小構成を示す図として見てください。","統合で全体理解が完成すると言わない"
1,"ノイズ除去・信号分離手法の比較","この図は前処理法ごとに信号保持率と下流性能を並べています。見るべき点は単純な順位ではなく 失敗しやすい条件と安定して使える条件です。","この図は前処理差の比較です。","見てほしいのは信号保持と下流性能の両方です。","課題別の無難な既定値を置くための図です。","単一最強法があると言わない"
1,"長時間記録の安定性評価","この図は長時間計測でどこから特徴量が崩れ始めるかを示しています。ポイントは平均精度より 再校正が必要になる境目を読むことです。","この図は長時間計測の崩れ方です。","見てほしいのは安定区間と再校正境目です。","縦断利用の前提条件を置く図として見てください。","連続追跡可能と言い切らない"
2,"デコーディング精度ベンチマーク","この図は主要公開課題に統一条件を当てた基準線です。見るべき点は最高精度ではなく 被験者外でも再現する比較土台がどこにあるかです。","この図は公開課題の共通基準線です。","見てほしいのは統一条件での被験者外成績です。","benchmark を整備するための図として見てください。","一つの高成績を全体代表にしない"
2,"クロスデータセット汎化","この図は学習元と評価先を変えたときの性能低下を並べています。重要なのは精度そのものより どの条件で外部汎化が崩れるかです。","この図はデータまたぎの落差です。","見てほしいのは dataset shift と subject shift の差です。","汎化できる条件だけを残すための図です。","どこでも通用すると言わない"
2,"リアルタイムデコーディング","この図は遅延条件を入れたときの精度低下を示しています。ポイントはオフラインの数字ではなく 実時間化できる最小条件がどこかです。","この図は遅延と精度の折り合いです。","見てほしいのは遅延別の成立下限です。","低遅延条件を保守的に置くための図です。","完全オンライン完成と書かない"
2,"Foundation Modelの適用","この図は自己教師あり表現の転移利得と劣化幅を並べています。見るべき点は規模ではなく 未知条件でも残る表現があるかどうかです。","この図は自己教師あり表現の比較です。","見てほしいのは未知条件での落ち方です。","転用可能性を評価する図として見てください。","規模を上げれば解けると単純化しない"
2,"運動意図デコーディング","この図は被験者内ではなく被験者外条件での成績を見せています。重要なのは少数例の高精度ではなく 他人のデータへ移ったときの下限です。","この図は被験者外の基準線です。","見てほしいのは被験者外で崩れる条件です。","汎化限界を benchmark として置く図です。","個人内の高精度だけを強調しない"
2,"感覚知覚デコーディング","この図は視覚と聴覚の課題で再現しやすい分類条件を比べています。ポイントは何が読めるかより どこで混同しやすいかです。","この図は知覚課題の安全域です。","見てほしいのは誤分類が増える条件です。","知覚課題を絞って比べるための図です。","知覚全体を読めると言わない"
2,"言語/意味デコーディング","この図は識別できる最小単位と崩れやすい単位を並べています。見るべき点は言語理解全体ではなく どこまでなら再現的に切り出せるかです。","この図は成立する最小単位の比較です。","見てほしいのはラベル単位ごとの差です。","最小単位の再現可能性を示す図です。","思考読取りと受け取られる表現を避ける"
3,"感情状態の推定・分類","この図は主観ラベルの揺れと被験者差が成績にどう効くかを示しています。重要なのは精度の高さより どのラベルなら安全に使えるかです。","この図は感情ラベルの揺れ幅です。","見てほしいのは揺れ込みで残る分類条件です。","粗い状態分類の安全域を置く図です。","感情を客観的に断定しない"
3,"記憶のエンコーディング/検索","この図は再現した記憶 proxy と不安定な proxy を並べています。見るべき点は記憶内容ではなく 成績関連の差がどこまで安定するかです。","この図は追試しやすい記憶 proxy です。","見てほしいのは安定する指標と不安定な指標の差です。","代理指標の再現から議論を始める図です。","記憶の本質解明を前に出さない"
3,"注意・ワーキングメモリ","この図は課題横断で一般化しやすい負荷指標を示しています。重要なのは単一の万能指標ではなく 時間ずれに強い proxy がどれかです。","この図は一般化しやすい負荷指標です。","見てほしいのは課題が変わっても残る proxy です。","小さく確かな指標を残すための図です。","集中力を万能評価できると示さない"
3,"意思決定過程","この図は測れる代理指標と解釈が危うい境界を分けています。見るべき点は理論の全体像ではなく 比較可能な小項目がどこにあるかです。","この図は測れる代理指標の範囲です。","見てほしいのは測れる線と測れない線の区切りです。","小さな比較可能項目へ分ける図です。","理論全体の検証に広げない"
3,"社会的認知","この図は少人数でも再現しやすい共同課題条件を並べています。ポイントは社会性一般ではなく 限定課題で差分検出が残るかです。","この図は最小限の共同課題条件です。","見てほしいのは失敗しやすい実験条件です。","最小実験条件を共有する図です。","広い社会性判定へ読み替えない"
3,"創造性・問題解決","この図は追試しやすい差分指標と教材化しやすい手順を示しています。見るべき点は創造性そのものではなく 課題内差分が残る条件です。","この図は教材化できる差分指標です。","見てほしいのは再現した差分と手順です。","小さな proxy を共有する図です。","創造性の本質を測れたと書かない"
3,"主観的経験の定量化","この図は自己評定とEEG指標の対応が安定する条件を示しています。重要なのは主観を数値化したと言うことではなく 補助的に使える範囲を切ることです。","この図は自己評定との対応条件です。","見てほしいのは対応が安定する限定条件です。","補助利用の範囲を置く図です。","主観の完全数値化と言わない"
