worker_id,file,lens
1,index.md,Improve the introduction for first-time readers
2,index.md,Clarify testable claims and pass/fail conditions
3,index.md,Reduce ambiguity and define terms more clearly
4,index.md,Cut redundancy and improve readability
5,index.md,Strengthen guidance to the next page to read
6,index.md,Make the next practical action more concrete
7,index.md,Separate external dependencies more clearly
8,index.md,Preempt likely misunderstandings
9,index.md,Tighten paragraph structure (one message per paragraph)
10,index.md,"Unify tone (polite, without overclaiming)"
11,verification.md,Improve the introduction for first-time readers
12,verification.md,Clarify testable claims and pass/fail conditions
13,verification.md,Reduce ambiguity and define terms more clearly
14,verification.md,Cut redundancy and improve readability
15,verification.md,Strengthen guidance to the next page to read
16,verification.md,Make the next practical action more concrete
17,verification.md,Separate external dependencies more clearly
18,verification.md,Preempt likely misunderstandings
19,verification.md,Tighten paragraph structure (one message per paragraph)
20,verification.md,"Unify tone (polite, without overclaiming)"
21,datasets.md,Improve the introduction for first-time readers
22,datasets.md,Clarify testable claims and pass/fail conditions
23,datasets.md,Reduce ambiguity and define terms more clearly
24,datasets.md,Cut redundancy and improve readability
25,datasets.md,Strengthen guidance to the next page to read
26,datasets.md,Make the next practical action more concrete
27,datasets.md,Separate external dependencies more clearly
28,datasets.md,Preempt likely misunderstandings
29,datasets.md,Tighten paragraph structure (one message per paragraph)
30,datasets.md,"Unify tone (polite, without overclaiming)"
31,hands_on.md,Improve the introduction for first-time readers
32,hands_on.md,Clarify testable claims and pass/fail conditions
33,hands_on.md,Reduce ambiguity and define terms more clearly
34,hands_on.md,Cut redundancy and improve readability
35,hands_on.md,Strengthen guidance to the next page to read
36,hands_on.md,Make the next practical action more concrete
37,hands_on.md,Separate external dependencies more clearly
38,hands_on.md,Preempt likely misunderstandings
39,hands_on.md,Tighten paragraph structure (one message per paragraph)
40,hands_on.md,"Unify tone (polite, without overclaiming)"
41,faq.md,Improve the introduction for first-time readers
42,faq.md,Clarify testable claims and pass/fail conditions
43,faq.md,Reduce ambiguity and define terms more clearly
44,faq.md,Cut redundancy and improve readability
45,faq.md,Strengthen guidance to the next page to read
46,faq.md,Make the next practical action more concrete
47,faq.md,Separate external dependencies more clearly
48,faq.md,Preempt likely misunderstandings
49,faq.md,Tighten paragraph structure (one message per paragraph)
50,faq.md,"Unify tone (polite, without overclaiming)"
51,issue.md,Improve the introduction for first-time readers
52,issue.md,Clarify testable claims and pass/fail conditions
53,issue.md,Reduce ambiguity and define terms more clearly
54,issue.md,Cut redundancy and improve readability
55,issue.md,Strengthen guidance to the next page to read
56,issue.md,Make the next practical action more concrete
57,issue.md,Separate external dependencies more clearly
58,issue.md,Preempt likely misunderstandings
59,issue.md,Tighten paragraph structure (one message per paragraph)
60,issue.md,"Unify tone (polite, without overclaiming)"
61,wbe_101.md,Improve the introduction for first-time readers
62,wbe_101.md,Clarify testable claims and pass/fail conditions
63,wbe_101.md,Reduce ambiguity and define terms more clearly
64,wbe_101.md,Cut redundancy and improve readability
65,wbe_101.md,Strengthen guidance to the next page to read
66,wbe_101.md,Make the next practical action more concrete
67,wbe_101.md,Separate external dependencies more clearly
68,wbe_101.md,Preempt likely misunderstandings
69,wbe_101.md,Tighten paragraph structure (one message per paragraph)
70,wbe_101.md,"Unify tone (polite, without overclaiming)"
71,eeg_101.md,Improve the introduction for first-time readers
72,eeg_101.md,Clarify testable claims and pass/fail conditions
73,eeg_101.md,Reduce ambiguity and define terms more clearly
74,eeg_101.md,Cut redundancy and improve readability
75,eeg_101.md,Strengthen guidance to the next page to read
76,eeg_101.md,Make the next practical action more concrete
77,eeg_101.md,Separate external dependencies more clearly
78,eeg_101.md,Preempt likely misunderstandings
79,eeg_101.md,Tighten paragraph structure (one message per paragraph)
80,eeg_101.md,"Unify tone (polite, without overclaiming)"
81,glossary.md,Improve the introduction for first-time readers
82,glossary.md,Clarify testable claims and pass/fail conditions
83,glossary.md,Reduce ambiguity and define terms more clearly
84,glossary.md,Cut redundancy and improve readability
85,glossary.md,Strengthen guidance to the next page to read
86,glossary.md,Make the next practical action more concrete
87,glossary.md,Separate external dependencies more clearly
88,glossary.md,Preempt likely misunderstandings
89,glossary.md,Tighten paragraph structure (one message per paragraph)
90,glossary.md,"Unify tone (polite, without overclaiming)"
91,casework.md,Improve the introduction for first-time readers
92,casework.md,Clarify testable claims and pass/fail conditions
93,casework.md,Reduce ambiguity and define terms more clearly
94,casework.md,Cut redundancy and improve readability
95,casework.md,Strengthen guidance to the next page to read
96,casework.md,Make the next practical action more concrete
97,casework.md,Separate external dependencies more clearly
98,casework.md,Preempt likely misunderstandings
99,casework.md,Tighten paragraph structure (one message per paragraph)
100,casework.md,"Unify tone (polite, without overclaiming)"
