phase,topic,halfyear_goal,month_1_2,month_3_4,month_5_6,halfyear_deliverable,avoid_point
1,"EEG信号品質の限界検証","品質閾値表を半年で安定版 package に仕上げる","品質閾値表を更新する","失敗条件と除外条件を安定化する","共有先1つへ安定版を渡す","品質閾値表 安定版メモ 共有用短文","品質から高次読取りへ飛ばない"
1,"高密度EEG空間分解能評価","密度比較図を半年で標準条件 package に仕上げる","密度比較図を更新する","頭打ち条件を安定化する","共有先1つへ標準条件版を渡す","密度比較図 標準条件メモ 共有用短文","局在技術の完成と語らない"
1,"マルチモーダル統合の基礎","最小統合利得表を半年で限定 benchmark package に仕上げる","同期条件比較表を更新する","unimodal 差と例外条件を安定化する","共有先1つへ限定版を渡す","同期条件比較表 利用範囲メモ 共有用短文","統合万能論にしない"
1,"ノイズ除去・信号分離手法の比較","前処理比較表を半年で実務既定値 package に仕上げる","比較表を更新する","失敗例と既定値候補を安定化する","共有先1つへ実務版を渡す","前処理比較表 実務メモ 共有用短文","最強法探しへ戻らない"
1,"長時間記録の安定性評価","安定区間図を半年で運用指針 package に仕上げる","安定区間図を更新する","再校正境目を安定化する","共有先1つへ運用版を渡す","安定区間比較図 運用メモ 共有用短文","完全追跡の話にしない"
2,"デコーディング精度ベンチマーク","共通 baseline 表を半年で benchmark commons package に仕上げる","共通 baseline 表を更新する","failure mode を安定化する","共有先1つへ commons 版を渡す","共通baseline表 更新告知メモ 共有用短文","最高精度競争に戻らない"
2,"クロスデータセット汎化","汎化 gap 表を半年で条件付き比較 package に仕上げる","汎化 gap 表を更新する","例外条件を安定化する","共有先1つへ条件付き版を渡す","汎化gap比較表 条件メモ 共有用短文","どこでも通用と語らない"
2,"リアルタイムデコーディング","遅延精度図を半年で軽量運用 package に仕上げる","遅延精度図を更新する","誤警報率と遅延域を安定化する","共有先1つへ軽量版を渡す","遅延精度折り合い図 軽量運用メモ 共有用短文","完成システムとして語らない"
2,"Foundation Modelの適用","転移比較表を半年で再現比較 package に仕上げる","転移比較表を更新する","OOD 条件と転移利得を安定化する","共有先1つへ比較版を渡す","表現転移比較表 比較メモ 共有用短文","基盤モデル完成と言わない"
2,"運動意図デコーディング","MI baseline 表を半年で被験者外基準 package に仕上げる","MI baseline 表を更新する","session 外差を安定化する","共有先1つへ基準版を渡す","MI baseline表 共有メモ 共有用短文","普遍的読取りにしない"
2,"感覚知覚デコーディング","知覚課題比較表を半年で限定課題 package に仕上げる","知覚課題比較表を更新する","誤分類条件を安定化する","共有先1つへ限定版を渡す","知覚課題比較表 注記 共有用短文","知覚全体復元と書かない"
2,"言語/意味デコーディング","最小単位比較表を半年で限定課題整理 package に仕上げる","最小単位比較表を更新する","除外条件を安定化する","共有先1つへ整理版を渡す","最小単位比較表 整理メモ 共有用短文","思考解読にしない"
3,"感情状態の推定・分類","感情ラベル頑健性表を半年で安全域 package に仕上げる","感情ラベル頑健性表を更新する","安全域と利用範囲を安定化する","共有先1つへ安全域版を渡す","感情ラベル頑健性表 利用範囲メモ 共有用短文","感情断定にしない"
3,"記憶のエンコーディング/検索","記憶 proxy 表を半年で追試基盤 package に仕上げる","記憶 proxy 表を更新する","proxy の安定性を安定化する","共有先1つへ追試版を渡す","記憶proxy比較表 追試メモ 共有用短文","記憶内容を読む話にしない"
3,"注意・ワーキングメモリ","負荷 proxy 表を半年で drift 比較 package に仕上げる","負荷 proxy 表を更新する","複数 proxy と drift 条件を安定化する","共有先1つへ比較版を渡す","負荷proxy比較表 driftメモ 共有用短文","万能指標にしない"
3,"意思決定過程","意思決定 proxy 表を半年で過程変数比較 package に仕上げる","意思決定 proxy 表を更新する","除外解釈を安定化する","共有先1つへ比較版を渡す","意思決定proxy表 除外解釈メモ 共有用短文","自由意志論へ流れない"
3,"社会的認知","社会課題最小条件表を半年で小規模 pilot package に仕上げる","社会課題最小条件表を更新する","失敗条件を安定化する","共有先1つへ pilot 版を渡す","社会課題最小条件表 追試案メモ 共有用短文","広い社会性判定にしない"
3,"創造性・問題解決","創造性 proxy 図を半年で教材化 package に仕上げる","創造性 proxy 図を更新する","差分軸を安定化する","共有先1つへ教材版を渡す","創造性proxy図 教材注記 共有用短文","創造性そのものを測れたにしない"
3,"主観的経験の定量化","自己評定対応表を半年で限定尺度 package に仕上げる","自己評定対応表を更新する","利用範囲を安定化する","共有先1つへ尺度版を渡す","自己評定対応表 利用範囲メモ 共有用短文","経験の完全定量化と書かない"
4,"意識の神経相関（NCC）定量化","NCC 候補比較図を半年で状態差 proxy package に仕上げる","NCC 候補比較図を更新する","境界条件を安定化する","共有先1つへ proxy 版を渡す","NCC候補比較図 条件メモ 共有用短文","意識の正体解明としない"
4,"意識状態の分類（覚醒/睡眠/麻酔/DoC）","状態分類 benchmark 表を半年で施設差比較 package に仕上げる","状態分類 benchmark 表を更新する","外れ条件を安定化する","共有先1つへ比較版を渡す","状態分類benchmark表 外れ条件メモ 共有用短文","臨床診断代替にしない"
4,"統合情報理論(IIT)の実証的検証","IIT proxy 比較表を半年で近似テスト package に仕上げる","IIT proxy 比較表を更新する","条件差を安定化する","共有先1つへ近似版を渡す","IIT proxy比較表 条件メモ 共有用短文","理論証明にしない"
4,"Global Workspace Theory の検証","GWT 候補反応図を半年で再現比較 package に仕上げる","GWT 候補反応図を更新する","候補反応を安定化する","共有先1つへ再現版を渡す","GWT候補反応図 再現メモ 共有用短文","理論の勝敗を決めたとしない"
4,"意識の連続性と同一性","個人内安定性比較図を半年で状態遷移 proxy package に仕上げる","個人内安定性比較図を更新する","安定成分と変動成分を安定化する","共有先1つへ proxy 版を渡す","個人内安定性比較図 proxyメモ 共有用短文","本人確認技術にしない"
4,mind-upload可能性の理論的枠組み,"claim ladder 年末版を半年で評価軸 commons package に仕上げる","claim ladder を更新する","不足要件と支えられる範囲を安定化する","共有先1つへ commons 版を渡す","claim ladder年末版 評価メモ 共有用短文","mind-upload 実現を語らない"
