uid,rq_index,rq_text,stability_condition_ja,stability_item_1_ja,stability_item_2_ja,stability_item_3_ja,stability_rule_ja,stability_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,After recheck_outcome_logged,Determine whether maintenance should continue,Recheck the threshold,Confirm that the monitoring window is maintained,watch_resync_stability_ready when 3 items are satisfied,stability_gate_fixed,2026-03-02T01:22:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",After recheck_outcome_logged,Determine whether maintenance should continue,Recheck the threshold,Confirm that the monitoring window is maintained,watch_resync_stability_ready when 3 items are satisfied,stability_gate_fixed,2026-03-02T01:22:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,After recheck_outcome_logged,Determine whether maintenance should continue,Recheck the threshold,Confirm that the monitoring window is maintained,watch_resync_stability_ready when 3 items are satisfied,stability_gate_fixed,2026-03-02T01:22:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,After recheck_outcome_logged,Determine whether maintenance should continue,Recheck the threshold,Confirm that the monitoring window is maintained,watch_resync_stability_ready when 3 items are satisfied,stability_gate_fixed,2026-03-02T01:22:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",After recheck_outcome_logged,Determine whether maintenance should continue,Recheck the threshold,Confirm that the monitoring window is maintained,watch_resync_stability_ready when 3 items are satisfied,stability_gate_fixed,2026-03-02T01:22:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",After recheck_outcome_logged,Determine whether maintenance should continue,Recheck the threshold,Confirm that the monitoring window is maintained,watch_resync_stability_ready when 3 items are satisfied,stability_gate_fixed,2026-03-02T01:22:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",After recheck_outcome_logged,Determine whether maintenance should continue,Recheck the threshold,Confirm that the monitoring window is maintained,watch_resync_stability_ready when 3 items are satisfied,stability_gate_fixed,2026-03-02T01:22:00Z
U15,2,How should neurorights be mapped onto technical audit items?,After recheck_outcome_logged,Determine whether maintenance should continue,Recheck the threshold,Confirm that the monitoring window is maintained,watch_resync_stability_ready when 3 items are satisfied,stability_gate_fixed,2026-03-02T01:22:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",After recheck_outcome_logged,Determine whether maintenance should continue,Recheck the threshold,Confirm that the monitoring window is maintained,watch_resync_stability_ready when 3 items are satisfied,stability_gate_fixed,2026-03-02T01:22:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,After recheck_outcome_logged,Determine whether maintenance should continue,Recheck the threshold,Confirm that the monitoring window is maintained,watch_resync_stability_ready when 3 items are satisfied,stability_gate_fixed,2026-03-02T01:22:00Z
