uid,rq_index,rq_text,priority_lane,execution_order,preflight_item_1_ja,preflight_item_2_ja,preflight_item_3_ja,preflight_status,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,high,1,Check the URL difference from the previous monitoring point,Prepare trigger match judgment field,Prepare threshold excess judgment field,ready_for_window,2026-03-01T21:18:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",standard,5,Check the URL difference from the previous monitoring point,Prepare trigger match judgment field,Prepare threshold excess judgment field,ready_for_window,2026-03-01T21:18:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,high,2,Check the URL difference from the previous monitoring point,Prepare trigger match judgment field,Prepare threshold excess judgment field,ready_for_window,2026-03-01T21:18:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,standard,6,Check the URL difference from the previous monitoring point,Prepare trigger match judgment field,Prepare threshold excess judgment field,ready_for_window,2026-03-01T21:18:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",standard,7,Check the URL difference from the previous monitoring point,Prepare trigger match judgment field,Prepare threshold excess judgment field,ready_for_window,2026-03-01T21:18:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",standard,8,Check the URL difference from the previous monitoring point,Prepare trigger match judgment field,Prepare threshold excess judgment field,ready_for_window,2026-03-01T21:18:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",high,3,Check the URL difference from the previous monitoring point,Prepare trigger match judgment field,Prepare threshold excess judgment field,ready_for_window,2026-03-01T21:18:00Z
U15,2,How should neurorights be mapped onto technical audit items?,standard,9,Check the URL difference from the previous monitoring point,Prepare trigger match judgment field,Prepare threshold excess judgment field,ready_for_window,2026-03-01T21:18:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",high,4,Check the URL difference from the previous monitoring point,Prepare trigger match judgment field,Prepare threshold excess judgment field,ready_for_window,2026-03-01T21:18:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,standard,10,Check the URL difference from the previous monitoring point,Prepare trigger match judgment field,Prepare threshold excess judgment field,ready_for_window,2026-03-01T21:18:00Z
