uid,rq_index,rq_text,reentry_condition_ja,reentry_gate_1_ja,reentry_gate_2_ja,reentry_gate_3_ja,reentry_rule_ja,reentry_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,After stable_checkpoint_pass or when detecting recurrence,Determine the presence or absence of recurrence signals,Determine the influence range with high_medium_low,Determine whether re-verification packet connection is possible,reentry_candidate for 1 or more recurrences,reentry_gate_fixed,2026-03-02T00:04:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",After stable_checkpoint_pass or when detecting recurrence,Determine the presence or absence of recurrence signals,Determine the influence range with high_medium_low,Determine whether re-verification packet connection is possible,reentry_candidate for 1 or more recurrences,reentry_gate_fixed,2026-03-02T00:04:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,After stable_checkpoint_pass or when detecting recurrence,Determine the presence or absence of recurrence signals,Determine the influence range with high_medium_low,Determine whether re-verification packet connection is possible,reentry_candidate for 1 or more recurrences,reentry_gate_fixed,2026-03-02T00:04:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,After stable_checkpoint_pass or when detecting recurrence,Determine the presence or absence of recurrence signals,Determine the influence range with high_medium_low,Determine whether re-verification packet connection is possible,reentry_candidate for 1 or more recurrences,reentry_gate_fixed,2026-03-02T00:04:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",After stable_checkpoint_pass or when detecting recurrence,Determine the presence or absence of recurrence signals,Determine the influence range with high_medium_low,Determine whether re-verification packet connection is possible,reentry_candidate for 1 or more recurrences,reentry_gate_fixed,2026-03-02T00:04:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",After stable_checkpoint_pass or when detecting recurrence,Determine the presence or absence of recurrence signals,Determine the influence range with high_medium_low,Determine whether re-verification packet connection is possible,reentry_candidate for 1 or more recurrences,reentry_gate_fixed,2026-03-02T00:04:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",After stable_checkpoint_pass or when detecting recurrence,Determine the presence or absence of recurrence signals,Determine the influence range with high_medium_low,Determine whether re-verification packet connection is possible,reentry_candidate for 1 or more recurrences,reentry_gate_fixed,2026-03-02T00:04:00Z
U15,2,How should neurorights be mapped onto technical audit items?,After stable_checkpoint_pass or when detecting recurrence,Determine the presence or absence of recurrence signals,Determine the influence range with high_medium_low,Determine whether re-verification packet connection is possible,reentry_candidate for 1 or more recurrences,reentry_gate_fixed,2026-03-02T00:04:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",After stable_checkpoint_pass or when detecting recurrence,Determine the presence or absence of recurrence signals,Determine the influence range with high_medium_low,Determine whether re-verification packet connection is possible,reentry_candidate for 1 or more recurrences,reentry_gate_fixed,2026-03-02T00:04:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,After stable_checkpoint_pass or when detecting recurrence,Determine the presence or absence of recurrence signals,Determine the influence range with high_medium_low,Determine whether re-verification packet connection is possible,reentry_candidate for 1 or more recurrences,reentry_gate_fixed,2026-03-02T00:04:00Z
