uid,rq_index,rq_text,pending_root_cause_ja,carryover_window_utc,carryover_task_1_ja,carryover_task_2_ja,carryover_task_3_ja,backlog_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,Trail not fulfilled or gate not reached,2026-03-15T14:38:23Z,Collect missing trails,Redetermine publish_gate,Record applicability next time,carryover_queued,2026-03-01T22:23:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",Trail not fulfilled or gate not reached,2026-03-15T14:38:23Z,Collect missing trails,Redetermine publish_gate,Record applicability next time,carryover_queued,2026-03-01T22:23:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,Trail not fulfilled or gate not reached,2026-03-15T14:38:23Z,Collect missing trails,Redetermine publish_gate,Record applicability next time,carryover_queued,2026-03-01T22:23:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,Trail not fulfilled or gate not reached,2026-03-15T14:38:23Z,Collect missing trails,Redetermine publish_gate,Record applicability next time,carryover_queued,2026-03-01T22:23:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",Trail not fulfilled or gate not reached,2026-03-15T14:38:23Z,Collect missing trails,Redetermine publish_gate,Record applicability next time,carryover_queued,2026-03-01T22:23:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",Trail not fulfilled or gate not reached,2026-03-15T14:38:23Z,Collect missing trails,Redetermine publish_gate,Record applicability next time,carryover_queued,2026-03-01T22:23:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",Trail not fulfilled or gate not reached,2026-03-15T14:38:23Z,Collect missing trails,Redetermine publish_gate,Record applicability next time,carryover_queued,2026-03-01T22:23:00Z
U15,2,How should neurorights be mapped onto technical audit items?,Trail not fulfilled or gate not reached,2026-03-15T14:38:23Z,Collect missing trails,Redetermine publish_gate,Record applicability next time,carryover_queued,2026-03-01T22:23:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",Trail not fulfilled or gate not reached,2026-03-15T14:38:23Z,Collect missing trails,Redetermine publish_gate,Record applicability next time,carryover_queued,2026-03-01T22:23:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,Trail not fulfilled or gate not reached,2026-03-15T14:38:23Z,Collect missing trails,Redetermine publish_gate,Record applicability next time,carryover_queued,2026-03-01T22:23:00Z
