uid,rq_index,rq_text,previous_state,current_state,transition_reason_ja,required_evidence_delta_ja,residual_risk_level,next_decision_gate_ja,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,ready_to_close,closed_final,Check gate judgment pass,Final report posting log,low,Final report template reflection completed,2026-03-01T18:38:40Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",ready_to_close,ready_to_close,Currently deferred due to waiting for new edition,Record of acceptance of new edition of current language,medium,Confirmation of judgment match of new version of point-in-time words,2026-03-01T18:38:40Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,hold_with_evidence,hold_with_evidence,Success streak progressed to 1/2,Second extraction success log and hold release memo,high,Confirmation of successive success 2/2,2026-03-01T18:38:40Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,ready_to_close,ready_to_close,Additional monitoring of audit terms remains,Difference log when adding audit word,medium,Check whether the audit word difference has no effect on the judgment word,2026-03-01T18:38:40Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",ready_to_close,ready_to_close,Synonym next edition monitoring remains,Synonym next version difference log,medium,Confirmation of maintenance of judgment after normalization,2026-03-01T18:38:40Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",ready_to_close,ready_to_close,Re-monitoring of notation update remains,Additional trail of differences between old and new notations,medium,Reconfirm that no trail items are missing.,2026-03-01T18:38:40Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",ready_to_close,closed_final,Check gate judgment pass,Final report posting log,low,Final report template reflection completed,2026-03-01T18:38:40Z
U15,2,How should neurorights be mapped onto technical audit items?,ready_to_close,ready_to_close,There are still inspections to be made regarding missing audit items.,Additional consistency logs with granularity support,medium,Complete match confirmation of granularity and audit items,2026-03-01T18:38:40Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",hold_with_evidence,hold_with_evidence,Success streak progressed to 1/2,Second successful extraction log and consistency memo,high,Confirmation of successive success 2/2,2026-03-01T18:38:40Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,ready_to_close,ready_to_close,Periodic word addition monitoring remains,Difference log when adding periodic words,medium,Reconfirmation of consistency with stop condition word,2026-03-01T18:38:40Z
