uid,rq_index,rq_text,must_read_1,must_read_1_tier,must_read_2,must_read_2_tier,supplementary_1,supplementary_1_tag,supplementary_1_tier,reading_track,layering_rule
U0,1,"When identity judgment is separated into ""observation matching"" and ""intervention response matching"", which one should be regarded as a necessary or sufficient condition?",https://doi.org/10.1017/9781009486309.002,must,https://doi.org/10.2139/ssrn.4560723,must,https://doi.org/10.1007/s11229-024-04744-3,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U0,2,"How to fix the correspondence between time synchronization (in ms) and state expression (behavior, neural activity, physiology).",https://doi.org/10.1017/9781009486309.002,must,https://doi.org/10.2139/ssrn.4560723,must,https://doi.org/10.1007/s11229-024-04744-3,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U0,3,How to set the threshold for identity judgment for each task and how to exclude overfitting models.,https://doi.org/10.1017/9781009486309.002,must,https://doi.org/10.2139/ssrn.4560723,must,https://doi.org/10.1007/s11229-024-04744-3,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U0,4,"Which evaluation axis should be used to determine the definition of ""same individual"" in the case of divergence/duplication?",https://doi.org/10.1017/9781009486309.002,must,https://doi.org/10.2139/ssrn.4560723,must,https://doi.org/10.1007/s11229-024-04744-3,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U1,1,Which prior distribution should be used to control ill-posedness in EEG/MEG inverse problems?,https://doi.org/10.1109/JSEN.2024.3502917,must,https://doi.org/10.1088/1361-6420/acf9c6,must,https://doi.org/10.1088/2057-1976/aca20b,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U1,2,"How to propagate uncertainties in cranial conductivity, electrode placement, and noise structure to estimated uncertainties.",https://doi.org/10.1109/JSEN.2024.3502917,must,https://doi.org/10.1088/1361-6420/acf9c6,must,https://doi.org/10.1088/2057-1976/aca20b,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U1,3,"How to set the decision rule when different inverse solution methods (MNE, beamformer, Champagne, etc.) differ for the same data.",https://doi.org/10.1109/JSEN.2024.3502917,must,https://doi.org/10.1088/1361-6420/acf9c6,must,https://doi.org/10.1088/2057-1976/aca20b,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U1,4,Should the publication criteria include confidence intervals/backward distributions in addition to estimates?,https://doi.org/10.1109/JSEN.2024.3502917,must,https://doi.org/10.1088/1361-6420/acf9c6,must,https://doi.org/10.1088/2057-1976/aca20b,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U3,1,How can we measure the predictive improvement when adding glial/humoral regulation to a neuron-centered model?,https://www.nature.com/articles/s41586-023-06808-9,must,https://pubmed.ncbi.nlm.nih.gov/39902809/,must,https://pubmed.ncbi.nlm.nih.gov/38762094/,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
U3,2,How can we compare the relationship between connectome completeness and functional prediction performance across species?,https://www.nature.com/articles/s41586-023-06808-9,must,https://pubmed.ncbi.nlm.nih.gov/39902809/,must,https://pubmed.ncbi.nlm.nih.gov/38762094/,experiment,support,experiment-track,"Read the two must-read items first, then the one supplementary item for the tag-specific purpose (round19-v1)"
