phase,topic,archive_focus,keep_asset,discard_asset,archive_trigger,note_line,avoid_point
1,EEG信号品質の限界検証,QC閾値と artifact 条件の再利用性,QC閾値表1枚,生波形の大量派生版,閾値更新が止まり比較基準だけ残せる時,品質比較に必要な閾値表だけを保存版にする,品質から高次主張へ飛ばない
1,高密度EEG空間分解能評価,density 利得条件の再利用性,密度比較図1枚,局在候補の過剰派生図,利得条件が固定され比較図1枚で説明できる時,空間利得を示す最小比較図だけを残す,局在完成の物語にしない
1,マルチモーダル統合の基礎,限定的な統合利得の再利用性,同期条件表1枚,統合失敗の大量ログ,同期条件が固定され限定利得を1枚で示せる時,統合の利得条件だけを短く保存する,統合万能論に戻らない
1,ノイズ除去・信号分離手法の比較,既定値候補の再利用性,前処理比較表1枚,全手法の中間出力一式,候補手法が絞れ比較表1枚で説明できる時,実務で再利用する比較表だけを残す,最強法探しへ戻らない
1,長時間記録の安定性評価,usable window の再利用性,安定区間図1枚,長時間セッションの全派生図,運用区間が固定され区間図1枚で足りる時,運用に効く安定区間図だけを保存する,長時間夢想に戻らない
2,デコーディング精度ベンチマーク,baseline 差分の再利用性,benchmark 比較表1枚,枝分かれした試行実験一式,baseline 差分が固定され表1枚で比較できる時,外部比較に使う差分表だけを残す,精度競争に戻らない
2,クロスデータセット汎化,gap 原因整理の再利用性,gap 比較表1枚,統合途中の暫定変換群,原因候補が絞れ表1枚で再説明できる時,汎化 gap の原因整理だけを残す,どこでも通用と語らない
2,リアルタイムデコーディング,遅延条件の再利用性,遅延比較図1枚,replay 実験の暫定ログ一式,遅延条件が固定され図1枚で再説明できる時,実装判断に効く遅延図だけを残す,true online 成功談へ戻らない
2,Foundation Modelの適用,限定利得の再利用性,probe 比較表1枚,重い中間 checkpoint 群,限定利得が固定され表1枚で説明できる時,表現学習の限定利得だけを残す,基盤モデル万能論に戻らない
2,運動意図デコーディング,cross-subject 条件の再利用性,MI比較表1枚,被験者別の細かな枝データ,被験者間条件が固定され表1枚で足りる時,被験者間条件を示す表だけを残す,操作一般知能の話へ飛ばない
2,感覚知覚デコーディング,成立条件の再利用性,成立条件表1枚,刺激別の細かな試行図一式,成立条件が固定され表1枚で説明できる時,知覚 decoding の条件表だけを残す,知覚全再構成の話にしない
2,言語/意味デコーディング,語彙条件の再利用性,語彙条件表1枚,暫定語彙群の派生比較一式,限定条件が固定され表1枚で説明できる時,意味 decoding の限定条件だけを残す,意味読取りの強弁に戻らない
3,感情状態の推定・分類,ラベル条件の再利用性,感情比較表1枚,被験者別感情スコアの全派生版,被験者間条件が固定され表1枚で説明できる時,感情ラベル条件の比較表だけを残す,心の読心へ飛ばない
3,記憶のエンコーディング/検索,encoding と retrieval 差分の再利用性,差分図1枚,課題別の細かな派生図一式,差分条件が固定され図1枚で説明できる時,記憶課題の差分図だけを残す,記憶内容復元の話にしない
3,注意・ワーキングメモリ,workload 指標範囲の再利用性,負荷比較表1枚,細かな window 別試算群,usable 範囲が固定され表1枚で足りる時,負荷指標の比較表だけを残す,万能な集中度指標にしない
3,意思決定過程,選好 proxy 条件の再利用性,条件比較図1枚,探索的な細分化分析一式,限定条件が固定され図1枚で再説明できる時,意思決定 proxy の条件図だけを残す,自由意志の決着にしない
3,社会的認知,対人 proxy 条件の再利用性,条件メモ1枚,相互作用の大量派生記録,限定条件が固定されメモ1枚で足りる時,対人 proxy の条件メモだけを残す,対人理解の一般論に飛ばない
3,創造性・問題解決,task 別 proxy の再利用性,task 比較表1枚,探索的指標の大量候補,proxy 条件が固定され表1枚で説明できる時,task ごとの差分表だけを残す,創造性の本質説明にしない
3,主観的経験の定量化,自己報告対応条件の再利用性,対応表1枚,細かな rating 派生図一式,対応条件が固定され表1枚で足りる時,自己報告との対応表だけを残す,クオリア測定の断言にしない
4,意識の神経相関（NCC）定量化,boundary proxy 条件の再利用性,boundary 図1枚,複雑性指標の枝分かれ試算群,proxy 条件が固定され図1枚で説明できる時,NCC proxy の境界図だけを残す,意識の本質説明にしない
4,意識状態の分類（覚醒/睡眠/麻酔/DoC）,state 分類条件の再利用性,分類比較表1枚,派生 classifier 群の全記録,benchmark 条件が固定され表1枚で足りる時,state 分類 benchmark の比較表だけを残す,人格や本人性へ飛ばない
4,統合情報理論(IIT)の実証的検証,複雑性 proxy 条件の再利用性,proxy 比較表1枚,理論別の過剰派生試算群,proxy 条件が固定され表1枚で説明できる時,IIT proxy の比較表だけを残す,理論決着の話にしない
4,Global Workspace Theory の検証,ignition proxy 条件の再利用性,成立条件表1枚,task 別の細かな派生図一式,成立条件が固定され表1枚で足りる時,GWT proxy の成立条件表だけを残す,理論証明の話にしない
4,意識の連続性と同一性,縦断 proxy 条件の再利用性,安定性図1枚,本人性解釈の長文メモ群,縦断条件が固定され図1枚で説明できる時,個人内安定性の図だけを残す,同一性証明にすり替えない
4,mind-upload可能性の理論的枠組み,検証可能域整理の再利用性,クレーム階段表1枚,包括的未来構想メモ一式,検証可能域が固定され表1枚で共有できる時,検証可能域の階段表だけを残す,実現証明の物語にしない
