phase,topic,republish_focus,republish_condition,hold_condition,do_not_republish,republish_asset,note_line,avoid_point
1,EEG信号品質の限界検証,QC差分が他 dataset でも伝わるか,閾値差分が表1枚で再説明できる,新旧条件の差がまだ未固定,閾値差分が曖昧で再利用も止まる,QC閾値表1枚,品質差分が1表で伝わる時だけ再公開する,品質から読心へ飛ばない
1,高密度EEG空間分解能評価,density 利得条件が図1枚で伝わるか,利得条件が図1枚で比較できる,条件差がまだ揺れている,利得条件が消え図でも説明できない,密度比較図1枚,空間利得が限定条件つきで伝わる時だけ再公開する,局在完成の物語にしない
1,マルチモーダル統合の基礎,統合利得の限定条件が短く伝わるか,同期条件と利得が1枚で示せる,統合利得の条件がまだ未固定,利得が曖昧で再説明に耐えない,同期条件表1枚,限定利得が短く示せる時だけ再公開する,統合万能論に戻らない
1,ノイズ除去・信号分離手法の比較,既定値候補の差分が表1枚で伝わるか,候補手法の比較表が安定している,候補がまだ入れ替わる,比較軸が定まらず再説明できない,前処理比較表1枚,既定値候補が安定した時だけ再公開する,最強法探しへ戻らない
1,長時間記録の安定性評価,usable window の差分が図1枚で伝わるか,安定区間の差分図が固定された,再校正条件がまだ揺れている,usable window が曖昧で再利用も止まる,安定区間図1枚,運用区間の差分が図1枚で伝わる時だけ再公開する,長時間夢想に戻らない
2,デコーディング精度ベンチマーク,baseline 差分が外部比較で伝わるか,比較表が benchmark 更新として使える,比較対象の揺れがまだ大きい,差分が小さく外部比較にも使えない,benchmark 比較表1枚,意味のある差分が比較表で示せる時だけ再公開する,精度競争に戻らない
2,クロスデータセット汎化,gap 原因整理が表1枚で伝わるか,原因候補が表1枚に絞れている,schema 調整がまだ未固定,原因整理が散って再説明できない,gap 比較表1枚,汎化 gap の原因が1表で伝わる時だけ再公開する,どこでも通用と語らない
2,リアルタイムデコーディング,遅延差分が実装判断として伝わるか,遅延図が replay 条件つきで固定された,遅延条件がまだ揺れている,遅延差分が小さく再説明価値がない,遅延比較図1枚,実装判断に効く遅延差分だけ再公開する,true online 成功談へ戻らない
2,Foundation Modelの適用,限定利得が表1枚で伝わるか,probe 比較表が task 横断で安定した,利得が task 依存でまだ揺れる,限定利得が消えて再説明価値がない,probe 比較表1枚,限定利得が表1枚で伝わる時だけ再公開する,基盤モデル万能論に戻らない
2,運動意図デコーディング,cross-subject 差分が短く伝わるか,subject holdout 差分が表1枚で固定された,被験者差がまだ揺れている,差分が曖昧で再利用も止まる,MI比較表1枚,被験者間差分が表1枚で伝わる時だけ再公開する,操作一般知能の話へ飛ばない
2,感覚知覚デコーディング,成立条件が表1枚で伝わるか,P300 や SSVEP 条件が短く整理された,刺激条件差がまだ未固定,成立条件が散って再説明できない,成立条件表1枚,知覚 decoding 条件が短く伝わる時だけ再公開する,知覚全再構成の話にしない
2,言語/意味デコーディング,語彙条件の限定が短く伝わるか,語彙条件が表1枚で整理された,語彙境界がまだ揺れている,意味 decoding の限定が曖昧で危ない,語彙条件表1枚,限定条件を短く示せる時だけ再公開する,意味読取りの強弁に戻らない
3,感情状態の推定・分類,ラベル条件が表1枚で伝わるか,被験者間条件が比較表で安定した,ラベル差がまだ未固定,感情差分が曖昧で誤読されやすい,感情比較表1枚,感情ラベル条件が表1枚で伝わる時だけ再公開する,心の読心へ飛ばない
3,記憶のエンコーディング/検索,encoding と retrieval 差分が図1枚で伝わるか,差分図が task 条件つきで固定された,課題条件がまだ揺れている,差分が小さく再説明価値がない,差分図1枚,記憶課題の差分が図1枚で伝わる時だけ再公開する,記憶内容復元の話にしない
3,注意・ワーキングメモリ,workload 指標範囲が表1枚で伝わるか,usable 範囲が比較表で固定された,window 条件がまだ未固定,指標範囲が曖昧で誤読されやすい,負荷比較表1枚,usable 範囲が短く伝わる時だけ再公開する,万能な集中度指標にしない
3,意思決定過程,選好 proxy の限定が図1枚で伝わるか,条件比較図が限定つきで固定された,task 依存がまだ揺れている,限定が曖昧で高い主張に見える,条件比較図1枚,限定条件が図1枚で伝わる時だけ再公開する,自由意志の決着にしない
3,社会的認知,対人 proxy 条件がメモ1枚で伝わるか,条件メモが1論点に整理された,課題条件がまだ未固定,対人 proxy が曖昧で一般論に見える,条件メモ1枚,限定条件を1論点で示せる時だけ再公開する,対人理解の一般論に飛ばない
3,創造性・問題解決,task 別 proxy 差分が表1枚で伝わるか,task 比較表が安定した,proxy 候補がまだ揺れている,proxy 差分が曖昧で誤読されやすい,task 比較表1枚,task 差分が表1枚で伝わる時だけ再公開する,創造性の本質説明にしない
3,主観的経験の定量化,自己報告対応が表1枚で伝わるか,対応条件が表1枚に固定された,rating 条件がまだ揺れている,主観報告対応が曖昧で危ない,対応表1枚,対応条件を限定つきで示せる時だけ再公開する,クオリア測定の断言にしない
4,意識の神経相関（NCC）定量化,boundary proxy 条件が図1枚で伝わるか,boundary 図が限定条件つきで固定された,proxy 条件がまだ揺れている,proxy が曖昧で高い理論主張に見える,boundary 図1枚,NCC proxy の限定条件が図1枚で伝わる時だけ再公開する,意識の本質説明にしない
4,意識状態の分類（覚醒/睡眠/麻酔/DoC）,state 分類条件が表1枚で伝わるか,分類比較表が benchmark として安定した,評価条件がまだ揺れている,state 分類の差分が曖昧で誤読される,分類比較表1枚,state 分類 benchmark が短く示せる時だけ再公開する,人格や本人性へ飛ばない
4,統合情報理論(IIT)の実証的検証,複雑性 proxy の限定が表1枚で伝わるか,proxy 比較表が算出条件つきで固定された,算出条件がまだ揺れている,proxy が曖昧で理論決着に読める,proxy 比較表1枚,複雑性 proxy の限定が短く伝わる時だけ再公開する,理論決着の話にしない
4,Global Workspace Theory の検証,ignition proxy 条件が表1枚で伝わるか,成立条件表が task 差分つきで固定された,task 条件がまだ揺れている,proxy が曖昧で理論証明に見える,成立条件表1枚,GWT proxy 条件が短く伝わる時だけ再公開する,理論証明の話にしない
4,意識の連続性と同一性,縦断 proxy 条件が図1枚で伝わるか,安定性図が個人内条件つきで固定された,縦断条件がまだ揺れている,縦断 proxy が本人性主張に誤読される,安定性図1枚,縦断 proxy を限定つきで示せる時だけ再公開する,同一性証明にすり替えない
4,mind-upload可能性の理論的枠組み,検証可能域整理が表1枚で伝わるか,クレーム階段表が停止条件つきで固定された,停止条件がまだ揺れている,整理が実現証明に誤読される,クレーム階段表1枚,検証可能域が短く伝わる時だけ再公開する,実現証明の物語にしない
