phase,topic,retry_trigger,first_retry_unit,success_probe,note_line,avoid_point
1,"EEG信号品質の限界検証","新しい記録条件か公開 benchmark が追加される","QC 条件1本と再計測1セット","品質閾値が1条件でも更新される","新条件が入った時だけ品質基準の再挑戦を行う","惜しいからで再挑戦しない"
1,"高密度EEG空間分解能評価","新 montage 条件か source 制約が追加される","密度比較図1枚と設定差分1本","利得条件が1つでも増える","新条件で密度利得が変わる時だけ再挑戦する","装置更新だけで再挑戦しない"
1,"マルチモーダル統合の基礎","paired data か同期手順の改善が入る","同期比較1本と paired data 1セット","限定条件で統合利得が再現する","paired 条件が整った時だけ最小統合利得を再挑戦する","統合期待だけで戻らない"
1,"ノイズ除去・信号分離手法の比較","共通 benchmark 条件が明確になる","前処理比較表1枚と failure case 1件","既定値候補が1つでも安定する","共通 benchmark ができた時だけ既定値候補を再挑戦する","最強法探しへ戻らない"
1,"長時間記録の安定性評価","装着条件か再校正 protocol が改善する","安定区間図1枚と再校正条件1本","usable window が1条件でも延びる","再校正条件が改善した時だけ長時間運用を再挑戦する","長時間夢想に戻らない"
2,"デコーディング精度ベンチマーク","新 dataset family か評価軸が追加される","baseline 表1枚と評価設定1本","新差分が1つでも出る","新しい比較軸が入った時だけ benchmark 更新を再挑戦する","精度競争に戻らない"
2,"クロスデータセット汎化","共有 schema か外部 dataset が追加される","gap 表1枚と schema 対応表1本","gap 原因が1つでも整理される","共有 schema が整った時だけ汎化整理を再挑戦する","どこでも通用と語らない"
2,"リアルタイムデコーディング","軽量 pipeline か hardware 条件が改善する","遅延精度図1枚と実行ログ1本","目標 latency を1条件でも満たす","現実条件が改善した時だけ realtime 条件を再挑戦する","完成システムとして語らない"
2,"Foundation Modelの適用","大規模 unlabeled EEG か pretraining 条件が増える","転移比較表1枚と事前学習設定1本","強い baseline を1条件でも超える","新しい事前学習条件が入った時だけ転移比較を再挑戦する","基盤モデル完成と言わない"
2,"運動意図デコーディング","適応校正条件か MI 課題設計が改善する","MI baseline 表1枚と校正条件1本","被験者外精度が1条件でも改善する","校正条件が改善した時だけ MI baseline を再挑戦する","普遍的読取りにしない"
2,"感覚知覚デコーディング","刺激制御か課題設計が改善する","課題比較表1枚と刺激条件1本","限定課題で安定差が1つでも出る","課題設計が整った時だけ限定知覚課題を再挑戦する","知覚全体復元に広げない"
2,"言語/意味デコーディング","annotation か task design が改善する","最小単位比較表1枚と annotation 条件1本","最小単位で安定差が1つでも出る","annotation 条件が整った時だけ最小単位比較を再挑戦する","思考解読にしない"
3,"感情状態の推定・分類","安定ラベル設計か課題条件が追加される","頑健性表1枚とラベル条件1本","ラベル一貫性が1条件でも上がる","安定ラベル条件が入った時だけ感情分類を再挑戦する","感情断定にしない"
3,"記憶のエンコーディング/検索","統制課題か追加追試が入る","proxy 表1枚と課題条件1本","proxy が1条件でも再現する","統制課題が整った時だけ記憶 proxy を再挑戦する","記憶内容を読む話にしない"
3,"注意・ワーキングメモリ","drift 制御条件か repeated session が追加される","負荷比較表1枚と drift 条件1本","負荷差が1条件でも安定する","drift 制御が整った時だけ負荷 proxy を再挑戦する","万能指標にしない"
3,"意思決定過程","motor matched design か別課題追試が入る","proxy 表1枚と除外解釈メモ1本","過程差が1条件でも残る","design 改善が入った時だけ過程変数比較を再挑戦する","自由意志論へ流れない"
3,"社会的認知","共有可能な小課題か協力先が追加される","最小条件表1枚と pilot 1回分","小課題で差が1つでも再現する","小課題共有ができた時だけ社会課題を再挑戦する","広い社会性判定にしない"
3,"創造性・問題解決","採点 rubric か限定課題条件が改善する","proxy 図1枚と rubric 1本","採点一致が1条件でも上がる","rubric が整った時だけ創造性 proxy を再挑戦する","創造性そのものを測れたとしない"
3,"主観的経験の定量化","安定尺度か同一手順の追試が入る","対応表1枚と尺度条件1本","対応が1条件でも再現する","尺度条件が整った時だけ対応表を再挑戦する","完全定量化と書かない"
4,"意識の神経相関（NCC）定量化","状態統制 contrast か新 dataset が追加される","候補比較図1枚と contrast 条件1本","候補差が1条件でも再現する","状態統制が強まった時だけ NCC 候補比較を再挑戦する","意識の正体解明としない"
4,"意識状態の分類（覚醒/睡眠/麻酔/DoC）","multi-site ラベル整理か追加施設データが入る","benchmark 表1枚と site 条件1本","cross-site で使える条件が1つでも残る","site 条件が整った時だけ状態分類を再挑戦する","臨床診断代替にしない"
4,"統合情報理論(IIT)の実証的検証","sharper approximation か contrast 設計が入る","proxy 比較表1枚と近似条件1本","近似 proxy が1条件でも安定する","近似条件が改善した時だけ IIT proxy 比較を再挑戦する","理論証明にしない"
4,"Global Workspace Theory の検証","preregistered contrast か新課題設計が入る","候補反応図1枚と contrast 条件1本","候補反応が1条件でも再現する","contrast が強化された時だけ GWT 候補比較を再挑戦する","理論の勝敗を決めたとしない"
4,"意識の連続性と同一性","高頻度 longitudinal data か状態遷移設計が入る","個人内比較図1枚と longitudinal 条件1本","個人内安定性が1条件でも確認できる","longitudinal 条件が整った時だけ個人内比較を再挑戦する","本人確認技術にしない"
4,mind-upload可能性の理論的枠組み,"新しい empirical anchor か理論制約整理が入る","claim ladder 1枚と不足要件表1本","安全域が1段でも更新される","empirical anchor が増えた時だけ claim ladder を再挑戦する","実現可能性を匂わせない"
