phase,topic,annual_goal,review_1,review_2,review_3,year_end_asset,next_year_bridge,avoid_point
1,"EEG信号品質の限界検証","品質下限と失敗条件を年次 benchmark commons として閉じる","外部再利用された品質閾値が維持されたか","失敗条件が削られず残ったか","高次解釈へ飛ばず説明できるか","品質下限表 QC notebook 失敗例メモ","公開 benchmark の年次更新へ接続する","品質だけで心的内容を語らない"
1,"高密度EEG空間分解能評価","電極密度依存の利得と頭打ち条件を標準比較表として閉じる","密度比較図が年度末まで再生成できるか","必要十分条件が短文化されたか","局在 claim が混ざっていないか","密度比較図 条件メモ 推奨設定表","測定標準条件の更新へ接続する","精密局在の達成と書かない"
1,"マルチモーダル統合の基礎","同期条件つき最小統合利得を限定 benchmark として閉じる","同期監査条件が最後まで維持されたか","単独条件との差が残ったか","万能統合の表現を切れたか","同期条件比較表 利得図 再現手順","限定的 multimodal 更新へ接続する","統合が全課題で有利と語らない"
1,"ノイズ除去・信号分離手法の比較","前処理安定域と既定値候補を課題別標準として閉じる","品質指標と下流性能の両方が残ったか","失敗例が比較表に残ったか","最強法探しに戻っていないか","前処理比較表 既定値メモ 失敗例一覧","標準前処理提案の年次更新へ接続する","万能前処理の主張にしない"
1,"長時間記録の安定性評価","安定区間と再校正境目を長時間運用指針として閉じる","状態 family ごとの差が残ったか","崩れ始め地点が共有可能な図になったか","完全追跡の表現を切れたか","安定区間比較図 再校正メモ 実務指針","長時間運用 benchmark 更新へ接続する","連続追跡できると書かない"
2,"デコーディング精度ベンチマーク","共通 baseline と failure mode を年次参照基盤として閉じる","統一 split と metric が守られたか","被験者外 baseline が更新されたか","最高精度競争に流れていないか","基準線表 failure mode 集 notebook","公開 benchmark commons の更新へ接続する","最高精度だけを成果にしない"
2,"クロスデータセット汎化","外部汎化 gap の分解を年次比較資産として閉じる","共通ラベル空間で比較し続けたか","within と across の差を説明できるか","どこでも通用の表現を避けたか","汎化 gap 比較表 条件メモ 例外一覧","汎化条件付き benchmark 更新へ接続する","普遍汎化と書かない"
2,"リアルタイムデコーディング","遅延下限と成立条件を低遅延運用表として閉じる","擬似リアルタイム条件が守られたか","遅延別精度と誤警報率が残ったか","完成システムの話へ流れていないか","遅延精度折り合い図 条件メモ 軽量手順","軽量運用条件の更新へ接続する","完成製品のように見せない"
2,"Foundation Modelの適用","転移条件と OOD gap を自己教師あり比較基盤として閉じる","baseline と OOD 条件が固定されたか","転移利得が再現可能に残ったか","基盤モデル完成の表現を避けたか","表現転移比較表 条件メモ notebook","自己教師あり再現比較の更新へ接続する","万能基盤モデルと語らない"
2,"運動意図デコーディング","被験者外汎化限界を MI 実務 baseline として閉じる","被験者外条件が維持されたか","session 外との差が残ったか","個別最適化の物語へ流れていないか","被験者外 benchmark 表 補助策メモ 例外一覧","MI baseline の年次更新へ接続する","普遍的読取りにしない"
2,"感覚知覚デコーディング","知覚課題の安全域を限定課題比較として閉じる","ERP 系と SSVEP 系の区別が保たれたか","誤分類条件が残ったか","知覚全体復元の表現を切れたか","知覚課題比較表 confusion メモ 手順","限定課題の再現比較へ接続する","知覚全体の復元と書かない"
2,"言語/意味デコーディング","成立する最小単位と崩れる単位を年次比較表として閉じる","ラベル定義が最後まで維持されたか","最小単位比較が外部共有可能か","思考読取りに見える表現を切れたか","最小単位比較表 除外条件メモ 例文集","言語 EEG の限定課題整理へ接続する","思考解読と書かない"
3,"感情状態の推定・分類","粗い状態分類の安全域を外部比較表として閉じる","主観ラベル軸が固定されたか","被験者外頑健性が残ったか","感情断定の表現を切れたか","感情ラベル頑健性表 条件メモ 例外一覧","粗い状態分類 benchmark 更新へ接続する","情動の真値推定と書かない"
3,"記憶のエンコーディング/検索","成績関連 proxy の再現性を年次比較資産として閉じる","成功失敗軸が維持されたか","安定 proxy が残ったか","内容読出しの表現を切れたか","記憶 proxy 比較表 条件メモ 追試手順","記憶課題 benchmark 更新へ接続する","記憶内容を読めると書かない"
3,"注意・ワーキングメモリ","一般化しやすい負荷 proxy 束を年次基準として閉じる","複数 proxy が残ったか","drift 条件が残ったか","万能指標の表現を避けたか","負荷 proxy 比較表 drift メモ notebook","負荷評価の再現比較へ接続する","単一指数で測れるとしない"
3,"意思決定過程","測れる proxy と除外解釈の線を年次整理として閉じる","proxy と除外線が維持されたか","共有可能な比較図が残ったか","自由意志論へ流れていないか","意思決定 proxy 表 除外解釈メモ 例題","小さな過程変数比較へ接続する","意思決定の本質解明としない"
3,"社会的認知","最小共同課題条件を差分検出 benchmark として閉じる","対象課題が狭いまま保たれたか","失敗条件が残ったか","広い社会性判定へ流れていないか","社会課題最小条件表 条件メモ 追試案","小規模 social pilot 更新へ接続する","社会性全般を測れるとしない"
3,"創造性・問題解決","教材化できる差分 proxy を年次教材資産として閉じる","差分軸が維持されたか","追試手順が残ったか","創造性の本質論へ流れていないか","創造性 proxy 図 追試メモ 教材案","教材化可能な課題比較へ接続する","創造性そのものを測れたとしない"
3,"主観的経験の定量化","自己評定対応条件を限定利用範囲として閉じる","尺度が固定されたか","対応安定条件が残ったか","完全数値化の表現を避けたか","自己評定対応表 条件メモ 利用範囲表","限定尺度の対応比較へ接続する","経験を完全に数値化したとしない"
4,"意識の神経相関（NCC）定量化","状態境界 proxy 候補を年次比較表として閉じる","境界条件が維持されたか","報告条件を分けたか","正体解明の表現を切れたか","NCC 候補比較図 条件メモ 再現手順","状態差 proxy 比較更新へ接続する","意識の正体解明と書かない"
4,"意識状態の分類（覚醒/睡眠/麻酔/DoC）","状態分類 benchmark を施設差込みの比較枠として閉じる","状態ラベルが維持されたか","外れ条件が残ったか","診断代替の表現を避けたか","状態分類 benchmark 表 外れ条件メモ","施設差込み比較の更新へ接続する","臨床診断の代替としない"
4,"統合情報理論(IIT)の実証的検証","近似 proxy の状態差比較を年次テスト資産として閉じる","近似指標と条件が維持されたか","再現する差としない差が残ったか","完全検証の表現を切れたか","IIT proxy 比較表 条件メモ 例外集","近似テスト更新へ接続する","理論を証明したとしない"
4,"Global Workspace Theory の検証","更新反応候補の条件差比較を年次候補表として閉じる","候補反応と比較軸が維持されたか","予測適合度が残ったか","勝敗表現を切れたか","GWT 候補反応図 条件メモ 再現案","候補指標の再現比較へ接続する","理論の勝敗を決めたとしない"
4,"意識の連続性と同一性","安定成分と変動成分の最小枠を個人内比較資産として閉じる","個人内比較条件が維持されたか","安定成分と変動成分が残ったか","本人性表現を切れたか","個人内安定性比較図 条件メモ proxy 一覧","状態遷移比較の proxy 整理へ接続する","本人確認技術にしない"
4,"mind-upload可能性の理論的枠組み","claim ladder と空白領域を年次評価軸 commons として閉じる","支えられる範囲が維持されたか","空白領域が残ったか","実現論へ流れていないか","claim ladder 表 不足要件メモ 更新履歴","評価軸 commons の年次更新へ接続する","mind-upload 実現を語らない"
