uid,rq_index,rq_text,focus_check_point_ja,primary_check_pages,evidence_to_capture_ja,update_trigger_ja,no_update_rule_ja,based_on_round24_status,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,Identification of branch entity/change in definition of legal personality (personhood/identity),https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453 | https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://eur-lex.europa.eu/procedure/EN/2021_106 | https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225 | https://www.coe.int/en/web/conventions/recent-changes,"Revision date, update history line, applicable clause heading, difference URL",If there is an update to the wording/obligations/definition of the relevant clause and the basis for RQ judgment changes.,"If the only change is the URL route and there is no change to the clause content, the main text will remain unchanged.",Access route change: Determine whether there is a real difference by manually checking the browser,2026-03-01T14:35:13Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?","Is there any update to the provisions/interpretations regarding the timing of succession of responsibilities, rights, and consent?",https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453 | https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://eur-lex.europa.eu/procedure/EN/2021_106 | https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225 | https://www.coe.int/en/web/conventions/recent-changes,"Revision date, update history line, applicable clause heading, difference URL",If there is an update to the wording/obligations/definition of the relevant clause and the basis for RQ judgment changes.,"If the only change is the URL route and there is no change to the clause content, the main text will remain unchanged.",Access route change: Determine whether there is a real difference by manually checking the browser,2026-03-01T14:35:13Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,Is there an update to the interpretation that deals with the discrepancy between psychological continuity and legal individual standards?,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453 | https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://eur-lex.europa.eu/procedure/EN/2021_106 | https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225 | https://www.coe.int/en/web/conventions/recent-changes,"Revision date, update history line, applicable clause heading, difference URL",If there is an update to the wording/obligations/definition of the relevant clause and the basis for RQ judgment changes.,"If the only change is the URL route and there is no change to the clause content, the main text will remain unchanged.",Access route change: Determine whether there is a real difference by manually checking the browser,2026-03-01T14:35:13Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,Whether to add operational regulations to connect technical evaluation indicators and personality attribution judgments,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453 | https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://eur-lex.europa.eu/procedure/EN/2021_106 | https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225 | https://www.coe.int/en/web/conventions/recent-changes,"Revision date, update history line, applicable clause heading, difference URL",If there is an update to the wording/obligations/definition of the relevant clause and the basis for RQ judgment changes.,"If the only change is the URL route and there is no change to the clause content, the main text will remain unchanged.",Access route change: Determine whether there is a real difference by manually checking the browser,2026-03-01T14:35:13Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",Is there any additional auditing requirement regarding subject ID reorganization during memory editing/resynchronization?,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453 | https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://eur-lex.europa.eu/procedure/EN/2021_106 | https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225 | https://www.coe.int/en/web/conventions/recent-changes,"Revision date, update history line, applicable clause heading, difference URL",If there is an update to the wording/obligations/definition of the relevant clause and the basis for RQ judgment changes.,"If the only change is the URL route and there is no change to the clause content, the main text will remain unchanged.",Access route change: Determine whether there is a real difference by manually checking the browser,2026-03-01T14:35:13Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",Revocation of privileges and audit trail obligations upon withdrawal of consent?,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453 | https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://eur-lex.europa.eu/procedure/EN/2021_106 | https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225 | https://www.coe.int/en/web/conventions/recent-changes,"Revision date, update history line, applicable clause heading, difference URL",If there is an update to the wording/obligations/definition of the relevant clause and the basis for RQ judgment changes.,"If the only change is the URL route and there is no change to the clause content, the main text will remain unchanged.",Access route change: Determine whether there is a real difference by manually checking the browser,2026-03-01T14:35:13Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",Whether the definition of legal classification of neural data (personal information/sensitive information) has been updated,https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://www.nist.gov/itl/ai-risk-management-framework/ai-rmf-development | https://legalinstruments.oecd.org/en/instruments/OECD-LEGAL-0449 | https://www.oecd.org/en/about/news/press-releases/2024/05/oecd-updates-ai-principles-to-stay-abreast-of-rapid-technological-developments.html,"Revision date, update history line, applicable clause heading, difference URL",If there is an update to the wording/obligations/definition of the relevant clause and the basis for RQ judgment changes.,"If the only change is the URL route and there is no change to the clause content, the main text will remain unchanged.",No difference: Continue regular monitoring,2026-03-01T14:35:13Z
U15,2,How should neurorights be mapped onto technical audit items?,Is there an update to the practical guide for mapping neurorights to audit items?,https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://www.nist.gov/itl/ai-risk-management-framework/ai-rmf-development | https://legalinstruments.oecd.org/en/instruments/OECD-LEGAL-0449 | https://www.oecd.org/en/about/news/press-releases/2024/05/oecd-updates-ai-principles-to-stay-abreast-of-rapid-technological-developments.html,"Revision date, update history line, applicable clause heading, difference URL",If there is an update to the wording/obligations/definition of the relevant clause and the basis for RQ judgment changes.,"If the only change is the URL route and there is no change to the clause content, the main text will remain unchanged.",No difference: Continue regular monitoring,2026-03-01T14:35:13Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",Minimum common operation across jurisdictions (interoperability/cross-border transfer) renewal status,https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://www.nist.gov/itl/ai-risk-management-framework/ai-rmf-development | https://legalinstruments.oecd.org/en/instruments/OECD-LEGAL-0449 | https://www.oecd.org/en/about/news/press-releases/2024/05/oecd-updates-ai-principles-to-stay-abreast-of-rapid-technological-developments.html,"Revision date, update history line, applicable clause heading, difference URL",If there is an update to the wording/obligations/definition of the relevant clause and the basis for RQ judgment changes.,"If the only change is the URL route and there is no change to the clause content, the main text will remain unchanged.",No difference: Continue regular monitoring,2026-03-01T14:35:13Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,Changes in governance procedures for suspension conditions and renewal conditions?,https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://www.nist.gov/itl/ai-risk-management-framework/ai-rmf-development | https://legalinstruments.oecd.org/en/instruments/OECD-LEGAL-0449 | https://www.oecd.org/en/about/news/press-releases/2024/05/oecd-updates-ai-principles-to-stay-abreast-of-rapid-technological-developments.html,"Revision date, update history line, applicable clause heading, difference URL",If there is an update to the wording/obligations/definition of the relevant clause and the basis for RQ judgment changes.,"If the only change is the URL route and there is no change to the clause content, the main text will remain unchanged.",No difference: Continue regular monitoring,2026-03-01T14:35:13Z
