phase,topic,annual_goal,quarter_1_2,quarter_3_4,year_deliverable,next_anchor,avoid_point
1,"EEG信号品質の限界検証","品質閾値表を年次で更新し QC benchmark の年末版を残す","品質閾値表を更新して失敗条件を安定化する","共有先1つへ年末版 package を渡す","品質閾値表 年末版メモ 共有用短文","次年度の QC benchmark 更新へつなぐ","品質から高次読取りへ飛ばない"
1,"高密度EEG空間分解能評価","密度比較図を年次で更新し標準条件の年末版を残す","密度比較図を更新して頭打ち条件を安定化する","共有先1つへ標準条件の年末版を渡す","密度比較図 標準条件メモ 共有用短文","次年度の測定標準条件更新へつなぐ","局在技術の完成と語らない"
1,"マルチモーダル統合の基礎","最小統合利得表を年次で更新し限定 benchmark の年末版を残す","同期条件比較表を更新して例外条件を安定化する","共有先1つへ限定版の年末版を渡す","同期条件比較表 利用範囲メモ 共有用短文","次年度の限定 multimodal benchmark 更新へつなぐ","統合万能論にしない"
1,"ノイズ除去・信号分離手法の比較","前処理比較表を年次で更新し実務既定値の年末版を残す","比較表を更新して失敗例と既定値候補を安定化する","共有先1つへ実務版の年末版を渡す","前処理比較表 実務メモ 共有用短文","次年度の標準前処理提案更新へつなぐ","最強法探しへ戻らない"
1,"長時間記録の安定性評価","安定区間図を年次で更新し運用指針の年末版を残す","安定区間図を更新して再校正境目を安定化する","共有先1つへ運用版の年末版を渡す","安定区間比較図 運用メモ 共有用短文","次年度の長時間運用 benchmark 更新へつなぐ","完全追跡の話にしない"
2,"デコーディング精度ベンチマーク","共通 baseline 表を年次で更新し benchmark commons の年末版を残す","共通 baseline 表を更新して failure mode を安定化する","共有先1つへ commons の年末版を渡す","共通baseline表 更新告知メモ 共有用短文","次年度の公開 benchmark commons 更新へつなぐ","最高精度競争に戻らない"
2,"クロスデータセット汎化","汎化 gap 表を年次で更新し条件付き比較の年末版を残す","汎化 gap 表を更新して例外条件を安定化する","共有先1つへ条件付き版の年末版を渡す","汎化gap比較表 条件メモ 共有用短文","次年度の条件付き benchmark 更新へつなぐ","どこでも通用と語らない"
2,"リアルタイムデコーディング","遅延精度図を年次で更新し軽量運用の年末版を残す","遅延精度図を更新して遅延域を安定化する","共有先1つへ軽量版の年末版を渡す","遅延精度折り合い図 軽量運用メモ 共有用短文","次年度の軽量運用条件更新へつなぐ","完成システムとして語らない"
2,"Foundation Modelの適用","転移比較表を年次で更新し再現比較の年末版を残す","転移比較表を更新して OOD 条件を安定化する","共有先1つへ比較版の年末版を渡す","表現転移比較表 比較メモ 共有用短文","次年度の自己教師あり再現比較更新へつなぐ","基盤モデル完成と言わない"
2,"運動意図デコーディング","MI baseline 表を年次で更新し被験者外基準の年末版を残す","MI baseline 表を更新して session 外差を安定化する","共有先1つへ基準版の年末版を渡す","MI baseline表 共有メモ 共有用短文","次年度の MI benchmark 更新へつなぐ","普遍的読取りにしない"
2,"感覚知覚デコーディング","知覚課題比較表を年次で更新し限定課題の年末版を残す","知覚課題比較表を更新して誤分類条件を安定化する","共有先1つへ限定版の年末版を渡す","知覚課題比較表 注記 共有用短文","次年度の限定課題再現比較へつなぐ","知覚全体復元と書かない"
2,"言語/意味デコーディング","最小単位比較表を年次で更新し限定課題整理の年末版を残す","最小単位比較表を更新して除外条件を安定化する","共有先1つへ整理版の年末版を渡す","最小単位比較表 整理メモ 共有用短文","次年度の言語 EEG 限定課題整理へつなぐ","思考解読にしない"
3,"感情状態の推定・分類","感情ラベル頑健性表を年次で更新し安全域の年末版を残す","感情ラベル頑健性表を更新して利用範囲を安定化する","共有先1つへ安全域版の年末版を渡す","感情ラベル頑健性表 利用範囲メモ 共有用短文","次年度の粗い状態分類 benchmark 更新へつなぐ","感情断定にしない"
3,"記憶のエンコーディング/検索","記憶 proxy 表を年次で更新し追試基盤の年末版を残す","記憶 proxy 表を更新して安定性を安定化する","共有先1つへ追試版の年末版を渡す","記憶proxy比較表 追試メモ 共有用短文","次年度の記憶課題 benchmark 更新へつなぐ","記憶内容を読む話にしない"
3,"注意・ワーキングメモリ","負荷 proxy 表を年次で更新し drift 比較の年末版を残す","負荷 proxy 表を更新して drift 条件を安定化する","共有先1つへ比較版の年末版を渡す","負荷proxy比較表 driftメモ 共有用短文","次年度の負荷評価再現比較へつなぐ","万能指標にしない"
3,"意思決定過程","意思決定 proxy 表を年次で更新し過程変数比較の年末版を残す","意思決定 proxy 表を更新して除外解釈を安定化する","共有先1つへ比較版の年末版を渡す","意思決定proxy表 除外解釈メモ 共有用短文","次年度の小さな過程変数比較へつなぐ","自由意志論へ流れない"
3,"社会的認知","社会課題最小条件表を年次で更新し小規模 pilot の年末版を残す","社会課題最小条件表を更新して失敗条件を安定化する","共有先1つへ pilot 版の年末版を渡す","社会課題最小条件表 追試案メモ 共有用短文","次年度の小規模 social pilot 更新へつなぐ","広い社会性判定にしない"
3,"創造性・問題解決","創造性 proxy 図を年次で更新し教材化の年末版を残す","創造性 proxy 図を更新して差分軸を安定化する","共有先1つへ教材版の年末版を渡す","創造性proxy図 教材注記 共有用短文","次年度の教材化可能な課題比較へつなぐ","創造性そのものを測れたにしない"
3,"主観的経験の定量化","自己評定対応表を年次で更新し限定尺度の年末版を残す","自己評定対応表を更新して利用範囲を安定化する","共有先1つへ尺度版の年末版を渡す","自己評定対応表 利用範囲メモ 共有用短文","次年度の限定尺度対応比較へつなぐ","経験の完全定量化と書かない"
