uid,rq_index,rq_text,trigger_signal_ja,drift_score_0_to_100,drift_threshold,threshold_exceeded,drift_basis_ja,next_monitor_window_utc,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,Definition word revision line,18,40,no,Low drift due to no addition of revised lines,2026-03-08T14:38:23Z,2026-03-01T19:31:15Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",Current language version updated,14,40,no,No new language updates available at this time,2026-03-08T14:38:23Z,2026-03-01T19:31:15Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,Clause extraction condition word,26,40,no,Medium-low drift without conditional word change detection,2026-03-08T14:38:23Z,2026-03-01T19:31:15Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,Add audit word,16,40,no,Low drift without adding audit words,2026-03-08T14:38:23Z,2026-03-01T19:31:15Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",Add synonym,22,40,no,Medium-low drift without change in synonym table,2026-03-08T14:38:23Z,2026-03-01T19:31:15Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",Notation generation updated,20,40,no,Low drift without updating the notation generation,2026-03-08T14:38:23Z,2026-03-01T19:31:15Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",Revised legal definition,24,40,no,Medium-low drift without adding legal text revision lines,2026-03-08T14:38:23Z,2026-03-01T19:31:15Z
U15,2,How should neurorights be mapped onto technical audit items?,Map word granularity update,19,40,no,Low drift without granularity rule updates,2026-03-08T14:38:23Z,2026-03-01T19:31:15Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",Changes in the three common requirements,28,40,no,Medium and low drift without three requirements change,2026-03-08T14:38:23Z,2026-03-01T19:31:15Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,Periodic word official addition,17,40,no,Low drift without adding periodic words,2026-03-08T14:38:23Z,2026-03-01T19:31:15Z
