uid,rq_index,rq_text,publish_gate_1_ja,publish_gate_2_ja,publish_gate_3_ja,gate_rule_ja,gate_state,next_action_ja,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,Main text difference draft completed,Trail link added,Next monitoring date updated,publish_ready when 3 conditions are met,pending_review,Complete only missing items,2026-03-01T21:57:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",Main text difference draft completed,Trail link added,Next monitoring date updated,publish_ready when 3 conditions are met,pending_review,Complete only missing items,2026-03-01T21:57:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,Main text difference draft completed,Trail link added,Next monitoring date updated,publish_ready when 3 conditions are met,pending_review,Complete only missing items,2026-03-01T21:57:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,Main text difference draft completed,Trail link added,Next monitoring date updated,publish_ready when 3 conditions are met,pending_review,Complete only missing items,2026-03-01T21:57:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",Main text difference draft completed,Trail link added,Next monitoring date updated,publish_ready when 3 conditions are met,pending_review,Complete only missing items,2026-03-01T21:57:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",Main text difference draft completed,Trail link added,Next monitoring date updated,publish_ready when 3 conditions are met,pending_review,Complete only missing items,2026-03-01T21:57:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",Main text difference draft completed,Trail link added,Next monitoring date updated,publish_ready when 3 conditions are met,pending_review,Complete only missing items,2026-03-01T21:57:00Z
U15,2,How should neurorights be mapped onto technical audit items?,Main text difference draft completed,Trail link added,Next monitoring date updated,publish_ready when 3 conditions are met,pending_review,Complete only missing items,2026-03-01T21:57:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",Main text difference draft completed,Trail link added,Next monitoring date updated,publish_ready when 3 conditions are met,pending_review,Complete only missing items,2026-03-01T21:57:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,Main text difference draft completed,Trail link added,Next monitoring date updated,publish_ready when 3 conditions are met,pending_review,Complete only missing items,2026-03-01T21:57:00Z
