uid,rq_index,rq_text,primary_source_class_ja,secondary_source_class_ja,cross_check_point_ja,agreement_required_ja,mismatch_signal_ja,mismatch_action_ja,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,official institutional documents,Revision history page,Definition of subject identification and legal personality,Definition words and headings must match,"Definition words match, but headings do not match",Reconfirm with heading priority and rerun consistency table,2026-03-01T16:47:05Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",official institutional documents,Revision history page,Clause words at start and branch points,The time words must match in both sources.,"Only the starting word matches, but the branch word does not match.",Normalize the current word and re-evaluate it,2026-03-01T16:47:05Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,official institutional documents,Explanatory guide,Presence of conflict resolution rules and conditional words,Conditional word and clause heading must match,Only the explanation side retains the condition word,Deferred or suspended judgment with priority given to official documents,2026-03-01T16:47:05Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,official institutional documents,Operation guide,Connectivity requirements and audit requirement terms,Connection requirement words must match in both sources,Audit requirement words are on one side,Add the missing source and recheck,2026-03-01T16:47:05Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",official institutional documents,Revision history page,Subject ID reorganization and audit trail words,The reword word and the trail word must match,"Only the reworded word matches, but the trail word does not match.",Unify and re-record the trail words with the preferred source,2026-03-01T16:47:05Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",official institutional documents,Revision history page,Withdrawal of consent and deprivation of authority,The revocation word and the deprivation word must match.,The deprived words have been updated and the revoked words have the old notation.,Normalize to new notation and re-evaluate,2026-03-01T16:47:05Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",official regulatory documents,Official news release,Legal classification terms and definition headings,The category word and heading must match,Mismatch between news description and legal definition,Leave the legal text as a priority and leave a difference note.,2026-03-01T16:47:05Z
U15,2,How should neurorights be mapped onto technical audit items?,official regulatory documents,audit frame document,Mapping words and audit item words,The map word must match in both sources,Audit item word granularity mismatch,Adjust the grain size to the higher side and re-record.,2026-03-01T16:47:05Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",official regulatory documents,international guidance document,Number of common requirements and cross-border requirement words,Ability to extract three or more common requirements,Unmatched when the number of requirements is less than 3 points,Review the extraction conditions as pending,2026-03-01T16:47:05Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,official regulatory documents,Operational standards document,Stop condition words and re-evaluation period words,Stop words and period words must match,Periodic words are updated only in secondary sources,Record pending while waiting for official revision,2026-03-01T16:47:05Z
