uid,rq_index,rq_text,closure_state,closure_basis_ja,reopen_watch_required,reopen_trigger_summary_ja,closure_approved_by,closure_approved_at_utc,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,closed_final,Gate judgment pass and posting completed,yes,Add definition word revision line,U12_monitor_owner,2026-03-01T19:05:20Z,2026-03-01T19:05:20Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",closed_final,Second judgment pass and transcription completed,no,Restarts only when the current language version is updated,U12_monitor_owner,2026-03-01T19:05:20Z,2026-03-01T19:05:20Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,closed_final,Consecutive success 2/2 achieved and pending release reflected,yes,Detect new condition words with clause extraction,U12_monitor_owner,2026-03-01T19:05:20Z,2026-03-01T19:05:20Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,closed_final,Second judgment pass and transcription completed,no,Restart when adding audit word,U12_monitor_owner,2026-03-01T19:05:20Z,2026-03-01T19:05:20Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",closed_final,Second judgment pass and transcription completed,no,Restart when synonym added,U12_monitor_owner,2026-03-01T19:05:20Z,2026-03-01T19:05:20Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",closed_final,Second judgment pass and transcription completed,no,Restart when notation generation is updated,U12_monitor_owner,2026-03-01T19:05:20Z,2026-03-01T19:05:20Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",closed_final,Gate judgment pass and posting completed,yes,Revised legal text definition line,U15_monitor_owner,2026-03-01T19:05:20Z,2026-03-01T19:05:20Z
U15,2,How should neurorights be mapped onto technical audit items?,closed_final,Second judgment pass and transcription completed,no,Restart on map word granularity rule update,U15_monitor_owner,2026-03-01T19:05:20Z,2026-03-01T19:05:20Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",closed_final,Consecutive success 2/2 achieved and pending release reflected,yes,Changes in extraction of three common requirements,U15_monitor_owner,2026-03-01T19:05:20Z,2026-03-01T19:05:20Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,closed_final,Second judgment pass and transcription completed,no,Restarts when periodic words are officially added.,U15_monitor_owner,2026-03-01T19:05:20Z,2026-03-01T19:05:20Z
