uid,rq_index,rq_text,focus_check_point_ja,trigger_condition_ja,update_sentence_template_ja,no_change_sentence_template_ja,required_evidence_ja,text_insert_position,current_round26_decision,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,Identification of branch entity/change in definition of legal personality (personhood/identity),"Additions/changes to provisions and official interpretations regarding legal personality, identifiers, and subject definitions","[Updated U12-RQ1] As we have confirmed additions/changes to provisions and official interpretations regarding legal personality, identifiers, and subject definitions, we have updated the basis for this question and added the reference to the audit guideline, date of update, and relevant clause headings.","[U12-RQ1 Maintained] The main text will be left as is because no entity update was confirmed for the monitoring target, and there was only a URL path difference (or no difference).",Update date/Revision history line/Clause heading/Confirmation URL/Confirmation time (UTC),Directly under the corresponding U section “Audit Line” of research_harvest_50.md,Main text deferred (no substance updated),2026-03-01T14:41:16Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?","Is there any update to the provisions/interpretations regarding the timing of succession of responsibilities, rights, and consent?","Changes in regulations regarding the start point and branching point of inheritance of responsibilities, rights, and consent","[Updated U12-RQ2] As we have confirmed changes in the regulations regarding the start point and branching point of inheritance of responsibilities, rights, and consent, we have updated the basis for this question and added the reference to the audit guideline, date of update, and applicable clause heading.","[U12-RQ2 maintained] The main text will be left as is because no entity update was confirmed for the monitoring target, and there was only a URL route difference (or no difference).",Update date/Revision history line/Clause heading/Confirmation URL/Confirmation time (UTC),Directly under the corresponding U section “Audit Line” of research_harvest_50.md,Main text deferred (no substance updated),2026-03-01T14:41:16Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,Is there an update to the interpretation that deals with the discrepancy between psychological continuity and legal individual standards?,Changes in conflict resolution rules between psychological continuity and legal individual standards,"[Updated U12-RQ3] As we have confirmed the change in the conflict resolution rules for psychological continuity and legal individual standards, we have updated the basis for this question and added the reference to the audit guideline, date of update, and applicable clause heading.","[U12-RQ3 maintained] Since no entity update was confirmed for the monitoring target, and only a URL path difference (or no difference), the main text will be left unchanged.",Update date/Revision history line/Clause heading/Confirmation URL/Confirmation time (UTC),Directly under the corresponding U section “Audit Line” of research_harvest_50.md,Main text deferred (no substance updated),2026-03-01T14:41:16Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,Whether to add operational regulations to connect technical evaluation indicators and personality attribution judgments,Changes in audit requirements that connect technical evaluation KPIs and personality attribution judgments,"[Updated U12-RQ4] As we have confirmed changes in the audit requirements that connect technical evaluation KPIs and personality attribution judgments, we have updated the basis for this question's judgment and added the audit guideline references, update date, and relevant clause headings.","[U12-RQ4 Maintained] Since no entity update was confirmed for the monitoring target, and there was only a URL route difference (or no difference), the main text will be left as is.",Update date/Revision history line/Clause heading/Confirmation URL/Confirmation time (UTC),Directly under the corresponding U section “Audit Line” of research_harvest_50.md,Main text deferred (no substance updated),2026-03-01T14:41:16Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",Is there any additional auditing requirement regarding subject ID reorganization during memory editing/resynchronization?,Changes in subject ID reorganization standards and audit trail requirements during memory editing/resynchronization,"[Updated U12-RQ5] As we have confirmed changes in subject ID reorganization standards and audit trail requirements during memory editing and resynchronization, we have updated the basis for this question and added the audit guideline reference, update date, and applicable clause heading.","[U12-RQ5 Maintained] Since no entity update was confirmed for the monitoring target, and there was only a URL route difference (or no difference), the main text will be left as is.",Update date/Revision history line/Clause heading/Confirmation URL/Confirmation time (UTC),Directly under the corresponding U section “Audit Line” of research_harvest_50.md,Main text deferred (no substance updated),2026-03-01T14:41:16Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",Revocation of privileges and audit trail obligations upon withdrawal of consent?,"Deprivation of privileges, access blocking, and changes in follow-up audit obligations when consent is withdrawn","[Updated U12-RQ6] As we have confirmed the changes in the revocation of authority, blocking of access, and follow-up audit obligations when consent is withdrawn, we have updated the basis for this question and added the reference to the audit guideline, date of update, and applicable clause heading.","[U12-RQ6 Maintained] The main text will be left as is because no entity update was confirmed for the monitoring target, and there was only a URL path difference (or no difference).",Update date/Revision history line/Clause heading/Confirmation URL/Confirmation time (UTC),Directly under the corresponding U section “Audit Line” of research_harvest_50.md,Main text deferred (no substance updated),2026-03-01T14:41:16Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",Whether the definition of legal classification of neural data (personal information/sensitive information) has been updated,"Change in definition of legal classification of neural data (individual/sensitive/biological, etc.)","[Updated U15-RQ1] As we have confirmed the change in the definition of the legal classification of neural data (individual/sensitive/biological, etc.), we have updated the basis for this question and added the references, update date, and applicable clause headings for the audit guideline.","[U15-RQ1 Maintained] Since no entity update was confirmed for the monitoring target, and there was only a URL route difference (or no difference), the main text will be left unchanged.",Update date/Revision history line/Clause heading/Confirmation URL/Confirmation time (UTC),Directly under the corresponding U section “Audit Line” of research_harvest_50.md,Main text deferred (no differences),2026-03-01T14:41:16Z
U15,2,How should neurorights be mapped onto technical audit items?,Is there an update to the practical guide for mapping neurorights to audit items?,Official guide to mapping neurorights to audit items/interpretation updates,"[Updated U15-RQ2] As we have confirmed that the official guide/interpretation for mapping neurorights to audit items has been updated, we have updated the basis for this question and added the references, update date, and applicable clause headings for the audit guideline.","[U15-RQ2 maintained] Since no entity update was confirmed for the monitoring target, and there was only a URL route difference (or no difference), the main text will be left as is.",Update date/Revision history line/Clause heading/Confirmation URL/Confirmation time (UTC),Directly under the corresponding U section “Audit Line” of research_harvest_50.md,Main text deferred (no differences),2026-03-01T14:41:16Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",Minimum common operation across jurisdictions (interoperability/cross-border transfer) renewal status,Changes in essential requirements for cross-jurisdictional operations (cross-border transfers and interoperability),"[Updated U15-RQ3] As we have confirmed changes in the essential requirements for cross-jurisdictional operations (cross-border transfers and interoperability), we have updated the basis for this question and added the audit guideline reference, update date, and applicable clause heading.","[U15-RQ3 Maintained] Since no entity update was confirmed for the monitoring target, and there was only a URL route difference (or no difference), the main text will be left as is.",Update date/Revision history line/Clause heading/Confirmation URL/Confirmation time (UTC),Directly under the corresponding U section “Audit Line” of research_harvest_50.md,Main text deferred (no differences),2026-03-01T14:41:16Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,Changes in governance procedures for suspension conditions and renewal conditions?,"Changes in governance regulations regarding suspension conditions, renewal conditions, and re-evaluation cycles","[Updated U15-RQ4] As we have confirmed changes in the governance regulations regarding suspension conditions, renewal conditions, and re-evaluation cycles, we have updated the basis for this question and added the audit guideline reference, update date, and applicable clause heading.","[U15-RQ4 Maintained] The main text will be left as is because no entity update was confirmed for the monitoring target, and there was only a URL route difference (or no difference).",Update date/Revision history line/Clause heading/Confirmation URL/Confirmation time (UTC),Directly under the corresponding U section “Audit Line” of research_harvest_50.md,Main text deferred (no differences),2026-03-01T14:41:16Z
