phase,topic,hard_to_pass_framing,easier_to_pass_framing,danger_word,preferred_support_type
1,EEG信号品質の限界検証,EEGだけで脳計測の限界を証明する,公開EEG横断における信号品質指標の再現性評価,品質から脳を完全に読む,research_grant
1,高密度EEG空間分解能評価,高密度EEGで脳内位置を正確に特定する,高密度EEGソース推定の空間限界と電極数依存性の評価,高密度EEGで脳内位置を特定する,research_grant
1,マルチモーダル統合の基礎,複数モダリティを足せば脳状態が分かる,EEG-fNIRS・視線統合における時系列同期誤差の定量化,融合で認知状態を完全把握する,research_grant>activity_grant
1,ノイズ除去・信号分離手法の比較,ノイズを完全除去する最強前処理を作る,公開EEGにおける ASR/ICA 系前処理の横断比較,ノイズを完全除去する,research_grant
1,長時間記録の安定性評価,長時間EEGで心の状態を途切れなく追跡する,長時間EEG記録におけるドリフトと状態遷移の安定性評価,長時間でも脳状態を完全追跡する,research_grant
2,デコーディング精度ベンチマーク,公開EEGで最高精度を達成する,公開EEGデコーディング課題における統一ベンチマーク構築,最高精度を達成する,research_grant>award_or_prize
2,クロスデータセット汎化,どのEEGデータでもそのまま汎化するモデルを作る,公開EEG横断での cross-dataset generalization 限界測定,どのデータでも汎化する,research_grant
2,リアルタイムデコーディング,公開EEGだけでリアルタイム制御を実現する,replay ベースで評価するリアルタイムEEG decoding の遅延限界,リアルタイム制御を実現する,loan_or_finance>research_grant
2,Foundation Modelの適用,脳の基盤モデルを構築する,公開EEG自己教師あり表現学習の基盤性能評価,脳の基盤モデルを作る,research_grant
2,運動意図デコーディング,運動意図を普遍的に読み取る,cross-subject motor imagery decoding の汎化限界評価,運動意図を普遍的に読む,award_or_prize>research_grant
2,感覚知覚デコーディング,知覚内容をEEGから復元する,ERP/P300/SSVEP による感覚知覚 decoding の再現性評価,知覚内容を完全復元する,research_grant>award_or_prize
2,言語/意味デコーディング,思考や意味内容をEEGから読む,imagined speech EEG decoding の成立条件に関する比較研究,思考や文章を読む,research_grant
3,感情状態の推定・分類,感情をEEGだけで正確に読む,emotion/stress EEG の被験者間頑健性評価,感情を正確に読む,research_grant>award_or_prize
3,記憶のエンコーディング/検索,記憶内容の保存と想起をEEGで読む,working memory と retrieval EEG 指標の再現性検証,記憶内容を読む,research_grant
3,注意・ワーキングメモリ,集中度をEEGで完全測定する,attention/workload EEG の汎化評価と作業負荷指標の標準化,集中度を完全測定する,research_grant>award_or_prize
3,意思決定過程,意思決定の中身をEEGで解明する,リスク選択・報酬予測に関するEEG指標の比較研究,意思決定を解明する,research_grant
3,社会的認知,社会性をEEGだけで測定する,social stress と joint attention に関するEEG基礎評価,社会性を測定する,activity_grant>research_grant
3,創造性・問題解決,創造性の高さをEEGで判定する,問題解決過程のEEG proxy 指標探索,創造性を判定する,award_or_prize>research_grant
3,主観的経験の定量化,主観を客観指標に還元する,subjective rating と EEG 指標の対応づけに関する比較研究,主観を客観化する,research_grant
4,意識の神経相関（NCC）定量化,意識の正体をEEGで解明する,覚醒・睡眠・夢・眠気境界におけるEEG proxy の定量比較,意識の正体を解明する,research_grant
4,意識状態の分類（覚醒/睡眠/麻酔/DoC）,EEGで意識の有無を決定する,consciousness boundary classification の公開EEGベンチマーク,意識の有無を決定する,research_grant
4,統合情報理論(IIT)の実証的検証,IITをEEGで証明する,EEG複雑性指標を用いた IIT proxy の再計算と比較,IIT を証明する,research_grant
4,Global Workspace Theory の検証,GWTをEEGで実証する,P300/ignition proxy に基づく Global Workspace 指標の比較研究,GWT を実証する,research_grant
4,意識の連続性と同一性,本人性をEEGで証明する,縦断EEGによる個人内安定性と状態連続性の指標化,本人性を証明する,research_grant
4,mind-upload可能性の理論的枠組み,mind-uploadの実現可能性をEEGで示す,EEGベース検証可能性のクレーム階段設計と benchmark commons,mind-upload の実現を示す,activity_grant>research_grant
