phase,topic,hard_to_pass_curated,easier_to_pass_curated,abstract_200_curated
1,EEG信号品質の限界検証,EEGだけで脳情報の観測限界を確定する,公開EEGにおける信号品質指標と下流解析性能の関係評価,公開EEGデータセットからSNR、チャネル欠損、アーチファクト率などの品質指標を統一算出し、睡眠段階判別や安静時状態推定の性能との関係を比較する。品質閾値の違いが再現性とクロスデータセット汎化に与える影響を定量化し、再利用時の最小品質要件を整理する。
1,高密度EEG空間分解能評価,高密度EEGでMRI並みの空間分解能を実現する,公開高密度EEGにおける電極数削減が識別性能と空間安定性に与える影響,公開高密度EEGを対象に、128chから64ch、32chへの電極サブサンプリングを行い、運動想起や安静時特徴の識別性能、頭皮トポグラフィの安定性、簡易ソース推定の一貫性を比較する。電極数削減による性能低下と解釈可能性の変化を定量化し、必要十分な空間サンプリング条件を整理する。
1,マルチモーダル統合の基礎,EEGと他モダリティ統合で意識内容を再構成する,公開同時計測データにおけるEEGと付随生体信号の補完効果評価,EEGと同時収録されたEOG、EMG、ECG、行動ログを含む公開データを用い、付随信号の追加がアーチファクト検出、睡眠判定、状態分類の再現性に与える効果を検証する。同期メタデータの欠損や粒度差も併せて監査し、公開マルチモーダルEEG再利用の実務条件を整理する。
1,ノイズ除去・信号分離手法の比較,前処理で真の脳信号を完全分離する,公開EEGにおける前処理差が再現性と汎化性能に与える影響比較,公開EEGを対象に、ICA系、回帰系、ASR系など複数の前処理パイプラインを固定条件で比較し、運動想起、ERP、睡眠判定の下流性能と結果のばらつきを評価する。手法ごとの性能差だけでなく、データセット間の再現性、失敗しやすい条件、計算コストを併記し、保守的な標準前処理候補を示す。
1,長時間記録の安定性評価,長時間EEGで個人の脳状態を恒常的に追跡する,夜間睡眠・長時間安静EEGにおける時間ドリフトと指標安定性の評価,夜間睡眠や長時間安静時の公開EEGを用い、記録前半と後半、セッション内の時間帯差、チャネル劣化が特徴量と分類性能に及ぼす影響を調べる。長時間記録で生じるドリフトを定量化し、再校正の要否や解析単位の切り方に関する実務的な目安を示す。
2,デコーディング精度ベンチマーク,主要認知機能のEEGデコーディングSoTAを確立する,公開EEG主要タスクにおける基準モデル群の再現ベンチマーク,運動想起、ERP/P300、SSVEPなど公開EEGの代表課題を対象に、古典的機械学習と軽量深層モデルを統一前処理・固定分割で再評価する。平均精度だけでなく、被験者外性能、効果量、信頼区間をそろえて報告し、今後の比較に使える保守的な基準線を整備する。
2,クロスデータセット汎化,データセットを超えて通用する普遍的EEGデコーダを作る,公開EEG間ドメインシフトに対する被験者外・データセット外性能評価,複数の公開EEGデータセット間で学習と評価を分離し、被験者外、施設外、装置外の各条件で性能低下を測定する。前処理、チャネル数、課題設計の差が汎化性能に与える影響を分解し、どの条件なら再現可能な転移が期待できるかを保守的に整理する。
2,リアルタイムデコーディング,EEGでリアルタイムに思考を読み取る,公開EEGで模擬オンライン評価した低遅延判別性能の検証,公開EEGを用いて因果フィルタ、逐次更新、固定長スライディング窓による模擬オンライン評価を行い、遅延と精度のトレードオフを比較する。運動想起やERP課題で意思決定更新頻度を変えたときの性能変化を定量化し、実時間応用を主張しない範囲で低遅延条件の実現可能性を示す。
2,Foundation Modelの適用,Foundation ModelでEEG理解を一般化する,公開EEGに対する自己教師あり事前学習表現の低ラベル転移評価,大規模公開EEGで自己教師あり事前学習した表現と、タスクごとにゼロから学習した表現を比較し、少量ラベル条件での転移性能を評価する。対象は運動想起、睡眠、ERPなど複数課題とし、データ量、前処理、チャネル構成の違いが事前学習の利得に与える影響を整理する。
2,運動意図デコーディング,EEGから運動意図を高精度で完全解読する,公開運動想起EEGにおける被験者外の運動カテゴリ判別再現,公開運動想起EEGを対象に、左手、右手、足などの運動カテゴリ判別を被験者外条件で再評価する。セッション差、チャネル削減、前処理差が性能に与える影響を系統比較し、個人内高精度ではなく個人外でどこまで安定に判別できるかを保守的に見積もる。
