uid,rq_index,rq_text,resume_condition_ja,resume_item_1_ja,resume_item_2_ja,resume_item_3_ja,resume_rule_ja,resume_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,After restart_ledger_logged,Determine whether reconnection is necessary,Update resume priority,Check the monitoring continuation conditions,reconnect_resume_ready when 3 items are satisfied,resume_gate_fixed,2026-03-02T00:58:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",After restart_ledger_logged,Determine whether reconnection is necessary,Update resume priority,Check the monitoring continuation conditions,reconnect_resume_ready when 3 items are satisfied,resume_gate_fixed,2026-03-02T00:58:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,After restart_ledger_logged,Determine whether reconnection is necessary,Update resume priority,Check the monitoring continuation conditions,reconnect_resume_ready when 3 items are satisfied,resume_gate_fixed,2026-03-02T00:58:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,After restart_ledger_logged,Determine whether reconnection is necessary,Update resume priority,Check the monitoring continuation conditions,reconnect_resume_ready when 3 items are satisfied,resume_gate_fixed,2026-03-02T00:58:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",After restart_ledger_logged,Determine whether reconnection is necessary,Update resume priority,Check the monitoring continuation conditions,reconnect_resume_ready when 3 items are satisfied,resume_gate_fixed,2026-03-02T00:58:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",After restart_ledger_logged,Determine whether reconnection is necessary,Update resume priority,Check the monitoring continuation conditions,reconnect_resume_ready when 3 items are satisfied,resume_gate_fixed,2026-03-02T00:58:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",After restart_ledger_logged,Determine whether reconnection is necessary,Update resume priority,Check the monitoring continuation conditions,reconnect_resume_ready when 3 items are satisfied,resume_gate_fixed,2026-03-02T00:58:00Z
U15,2,How should neurorights be mapped onto technical audit items?,After restart_ledger_logged,Determine whether reconnection is necessary,Update resume priority,Check the monitoring continuation conditions,reconnect_resume_ready when 3 items are satisfied,resume_gate_fixed,2026-03-02T00:58:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",After restart_ledger_logged,Determine whether reconnection is necessary,Update resume priority,Check the monitoring continuation conditions,reconnect_resume_ready when 3 items are satisfied,resume_gate_fixed,2026-03-02T00:58:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,After restart_ledger_logged,Determine whether reconnection is necessary,Update resume priority,Check the monitoring continuation conditions,reconnect_resume_ready when 3 items are satisfied,resume_gate_fixed,2026-03-02T00:58:00Z
