uid,rq_index,rq_text,raise_condition_ja,evidence_packet_1_ja,evidence_packet_2_ja,evidence_packet_3_ja,fallback_if_not_met_ja,owner,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,trigger matched and threshold exceeded,URL difference snapshot,Gate judgment log,Body update candidate sentence,Next time monitor as keep_watch,U12_monitor_owner,2026-03-01T21:05:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",trigger matched and threshold exceeded,URL difference snapshot,Gate judgment log,Body update candidate sentence,Next time monitor as keep_watch,U12_monitor_owner,2026-03-01T21:05:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,trigger matched and threshold exceeded,URL difference snapshot,Gate judgment log,Body update candidate sentence,Next time monitor as keep_watch,U12_monitor_owner,2026-03-01T21:05:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,trigger matched and threshold exceeded,URL difference snapshot,Gate judgment log,Body update candidate sentence,Next time monitor as keep_watch,U12_monitor_owner,2026-03-01T21:05:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",trigger matched and threshold exceeded,URL difference snapshot,Gate judgment log,Body update candidate sentence,Next time monitor as keep_watch,U12_monitor_owner,2026-03-01T21:05:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",trigger matched and threshold exceeded,URL difference snapshot,Gate judgment log,Body update candidate sentence,Next time monitor as keep_watch,U12_monitor_owner,2026-03-01T21:05:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",trigger matched and threshold exceeded,URL difference snapshot,Gate judgment log,Body update candidate sentence,Next time monitor as keep_watch,U15_monitor_owner,2026-03-01T21:05:00Z
U15,2,How should neurorights be mapped onto technical audit items?,trigger matched and threshold exceeded,URL difference snapshot,Gate judgment log,Body update candidate sentence,Next time monitor as keep_watch,U15_monitor_owner,2026-03-01T21:05:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",trigger matched and threshold exceeded,URL difference snapshot,Gate judgment log,Body update candidate sentence,Next time monitor as keep_watch,U15_monitor_owner,2026-03-01T21:05:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,trigger matched and threshold exceeded,URL difference snapshot,Gate judgment log,Body update candidate sentence,Next time monitor as keep_watch,U15_monitor_owner,2026-03-01T21:05:00Z
