qa_id,question,phase_anchor_topic,eeg_data_verdict,deep_reason,grant_theme,recommended_support_type,candidate_programs,eeg_data_slices,candidate_dataset_examples,first_metrics,12_week_deliverable,main_risk
P0,「マインドアップロード」の操作的定義は？（何を再現する？）,Meta: 前進定義,△,P0 は一部要件のみ公開EEGで検証できる。強い主張は避け、測定基盤; カタログメタデータ で条件差と失敗条件を先に確定する必要がある。,公開EEGで検証可能な範囲に限定した「マインドアップロード」の操作的定義は（何を再現する）の条件比較,activity_grant,会議開催費助成公募 / 日本万国博覧会記念基金,測定基盤; カタログメタデータ,A Comparative Dataset of Commercial Portable Brain Monitoring Devices / Synthetic EEG Dataset for CNN Training: Clean and Artifact-Contaminated Signals,主張レベル整合率; 監査可能性,p0_scope_and_gap_note,定義が抽象に流れる
P1,主張レベル（クレーム階段）をどこに置く？,Meta: 前進定義,△,P1 は一部要件のみ公開EEGで検証できる。強い主張は避け、測定基盤; カタログメタデータ で条件差と失敗条件を先に確定する必要がある。,公開EEGで検証可能な範囲に限定した主張レベル（クレーム階段）をどこに置くの条件比較,activity_grant,会議開催費助成公募 / 日本万国博覧会記念基金,測定基盤; カタログメタデータ,A Comparative Dataset of Commercial Portable Brain Monitoring Devices / Synthetic EEG Dataset for CNN Training: Clean and Artifact-Contaminated Signals,主張レベル整合率; 監査可能性,p1_scope_and_gap_note,定義が抽象に流れる
P2,最低限の成果物は何？（データ・コード・評価・監査）,Meta: 前進定義,△,P2 は一部要件のみ公開EEGで検証できる。強い主張は避け、測定基盤; カタログメタデータ で条件差と失敗条件を先に確定する必要がある。,公開EEGで検証可能な範囲に限定した最低限の成果物は何（データ・コード・評価・監査）の条件比較,activity_grant,会議開催費助成公募 / 日本万国博覧会記念基金,測定基盤; カタログメタデータ,A Comparative Dataset of Commercial Portable Brain Monitoring Devices / Synthetic EEG Dataset for CNN Training: Clean and Artifact-Contaminated Signals,主張レベル整合率; 監査可能性,p2_scope_and_gap_note,定義が抽象に流れる
M0,計測の前提：in vivo / 侵襲 / 破壊スキャンのどれを想定？,Phase1: 計測基盤,△,M0 は一部要件のみ公開EEGで検証できる。強い主張は避け、測定基盤; 睡眠/意識状態 で条件差と失敗条件を先に確定する必要がある。,公開EEGで検証可能な範囲に限定した計測の前提：in vivo / 侵襲 / 破壊スキャンのどれを想定の条件比較,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,測定基盤; 睡眠/意識状態,A Comparative Dataset of Commercial Portable Brain Monitoring Devices / Synthetic EEG Dataset for CNN Training: Clean and Artifact-Contaminated Signals / 101-nights / Physiological Indicators of Driver Sleepiness,SNR; QC通過率; 再現率,m0_scope_and_gap_note,測定条件の異質性
M1,観測変数：電気（EEG）/血流（fMRI）/スパイク（侵襲）で何が違う？,Phase1: 計測基盤,△,M1 は一部要件のみ公開EEGで検証できる。強い主張は避け、測定基盤; 睡眠/意識状態 で条件差と失敗条件を先に確定する必要がある。,公開EEGで検証可能な範囲に限定した観測変数：電気（EEG）/血流（fMRI）/スパイク（侵襲）で何が違うの条件比較,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,測定基盤; 睡眠/意識状態,A Comparative Dataset of Commercial Portable Brain Monitoring Devices / Synthetic EEG Dataset for CNN Training: Clean and Artifact-Contaminated Signals / 101-nights / Physiological Indicators of Driver Sleepiness,SNR; QC通過率; 再現率,m1_scope_and_gap_note,測定条件の異質性
M2,時間解像度の下限：どの時間スケールを“保存”すべき？,Phase1: 時間解像度評価,○,M2 は既存公開EEGのタスク群で評価軸を固定しやすく、測定基盤; ERP/P300; 睡眠/意識状態 の横断比較で12週の再現成果まで到達可能。,公開EEGでの時間解像度の下限：どの時間スケールを“保存”すべきの再現ベンチマーク化,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,測定基盤; ERP/P300; 睡眠/意識状態,A Comparative Dataset of Commercial Portable Brain Monitoring Devices / Synthetic EEG Dataset for CNN Training: Clean and Artifact-Contaminated Signals / Predicting Navigational Decisions Through Visually Evoked P300 Event-Related Potentials / Data from P300-based Neurofeedback Training,SNR; QC通過率; 再現率,m2_benchmark_v1,測定条件の異質性
M3,空間解像度の下限：どの粒度（領域/カラム/ニューロン/シナプス）を目指す？,Phase1: 計測基盤,△,M3 は一部要件のみ公開EEGで検証できる。強い主張は避け、測定基盤; 睡眠/意識状態 で条件差と失敗条件を先に確定する必要がある。,公開EEGで検証可能な範囲に限定した空間解像度の下限：どの粒度（領域/カラム/ニューロン/シナプス）を目指すの条件比較,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,測定基盤; 睡眠/意識状態,A Comparative Dataset of Commercial Portable Brain Monitoring Devices / Synthetic EEG Dataset for CNN Training: Clean and Artifact-Contaminated Signals / 101-nights / Physiological Indicators of Driver Sleepiness,SNR; QC通過率; 再現率,m3_scope_and_gap_note,測定条件の異質性
M4,全脳カバレッジ：どこまで“全体”を測る必要がある？,Phase1: 全脳カバレッジ限界,×,M4 はEEG単独で完結しない。制度・理論・実装要件へ依存するため、multimodal; 測定基盤 を使って前段の可観測指標だけを助成テーマ化する。,公開EEGで前段課題へ分解した全脳カバレッジ：どこまで“全体”を測る必要があるの要件定義,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,multimodal; 測定基盤,CuBiAAD / Data of Multimodal Fusion System for Cognitive Load Assessment in Psychological Experiments / A Comparative Dataset of Commercial Portable Brain Monitoring Devices / Synthetic EEG Dataset for CNN Training: Clean and Artifact-Contaminated Signals,SNR; QC通過率; 再現率,m4_precondition_memo,測定条件の異質性
M5,マルチモーダル統合：位置合わせ（MRI/EEG/fMRI）をどう保証する？,Phase1: 計測基盤,△,M5 は一部要件のみ公開EEGで検証できる。強い主張は避け、測定基盤; 睡眠/意識状態 で条件差と失敗条件を先に確定する必要がある。,公開EEGで検証可能な範囲に限定したマルチモーダル統合：位置合わせ（MRI/EEG/fMRI）をどう保証するの条件比較,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,測定基盤; 睡眠/意識状態,A Comparative Dataset of Commercial Portable Brain Monitoring Devices / Synthetic EEG Dataset for CNN Training: Clean and Artifact-Contaminated Signals / 101-nights / Physiological Indicators of Driver Sleepiness,SNR; QC通過率; 再現率,m5_scope_and_gap_note,測定条件の異質性
M6,介入・刺激：同定可能性を上げる“実験デザイン”は？,Phase1: 計測基盤,△,M6 は一部要件のみ公開EEGで検証できる。強い主張は避け、測定基盤; 睡眠/意識状態 で条件差と失敗条件を先に確定する必要がある。,公開EEGで検証可能な範囲に限定した介入・刺激：同定可能性を上げる“実験デザイン”はの条件比較,research_grant,高齢社会課題解決研究（AI）への助成 / 教育研究助成事業 / リバネス研究費,測定基盤; 睡眠/意識状態,A Comparative Dataset of Commercial Portable Brain Monitoring Devices / Synthetic EEG Dataset for CNN Training: Clean and Artifact-Contaminated Signals / 101-nights / Physiological Indicators of Driver Sleepiness,SNR; QC通過率; 再現率,m6_scope_and_gap_note,測定条件の異質性
