uid,rq_index,rq_text,priority_lane,first_pass_result,second_pass_check_ja,second_pass_result,aggregate_verdict,next_action_ja,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,medium,pass,No need for second judgment (previous pass maintained),not_required,closed_final,Keep watch after final report is reflected.,2026-03-01T18:54:10Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",medium,conditional_pass,Reconfirmation of acceptance of the new version of the current version,pass,ready_to_close,Post to final report template,2026-03-01T18:54:10Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,high,conditional_pass,Confirmed second success in official clause extraction,pass,ready_to_close,Posted to reflect hold release memo,2026-03-01T18:54:10Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,medium,conditional_pass,Reconfirmation that the audit word difference has no effect on the judgment word,pass,ready_to_close,Post to final report template,2026-03-01T18:54:10Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",medium,conditional_pass,Reconfirm that there is no difference in judgment with the next version of the synonym.,pass,ready_to_close,Post to final report template,2026-03-01T18:54:10Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",medium,conditional_pass,Reconfirm that there are no missing trails when updating the notation.,pass,ready_to_close,Post to final report template,2026-03-01T18:54:10Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",low,pass,No need for second judgment (previous pass maintained),not_required,closed_final,Keep watch after final report is reflected.,2026-03-01T18:54:10Z
U15,2,How should neurorights be mapped onto technical audit items?,medium,conditional_pass,Reconfirm the consistency of granularity and audit items,pass,ready_to_close,Post to final report template,2026-03-01T18:54:10Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",high,conditional_pass,Confirmed the success of the second extraction of three requirements,pass,ready_to_close,Posted to reflect hold release memo,2026-03-01T18:54:10Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,medium,conditional_pass,Reconfirm that no periodic words are added and that the stop conditions match.,pass,ready_to_close,Post to final report template,2026-03-01T18:54:10Z
