uid,rq_index,rq_text,review_basis_ja,trigger_match,threshold_exceeded,raise_candidate,review_comment_ja,next_review_utc,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,high surveillance review,no,no,no,keep_watch because difference not detected,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",Regular monitoring review,no,no,no,keep_watch because no update detected,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,high surveillance review,no,no,no,keep_watch because there is no conditional change,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,Regular monitoring review,no,no,no,keep_watch because no audit word is added,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",Regular monitoring review,no,no,no,keep_watch because no synonyms added,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",Regular monitoring review,no,no,no,keep_watch because the notation has not been updated,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",high surveillance review,no,no,no,keep_watch because there is no revision of the legal text,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
U15,2,How should neurorights be mapped onto technical audit items?,Regular monitoring review,no,no,no,keep_watch due to no granularity updates,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",high surveillance review,no,no,no,keep_watch because three requirements do not change,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,Regular monitoring review,no,no,no,keep_watch because periodic words are not added,2026-03-08T14:38:23Z,2026-03-01T20:46:55Z
