uid,rq_index,rq_text,must_watch_terms_ja_en,non_trigger_terms_ja,primary_check_pages,capture_minimum_ja,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,personhood | identity | legal person | responsibility | consent withdrawal | traceability,UI change only | Layout change only | URL redirect only,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453 | https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://eur-lex.europa.eu/procedure/EN/2021_106 | https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225 | https://www.coe.int/en/web/conventions/recent-changes,Page title/update date/time/difference keyword/final URL,2026-03-01T14:41:16Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",personhood | identity | legal person | responsibility | consent withdrawal | traceability,UI change only | Layout change only | URL redirect only,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453 | https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://eur-lex.europa.eu/procedure/EN/2021_106 | https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225 | https://www.coe.int/en/web/conventions/recent-changes,Page title/update date/time/difference keyword/final URL,2026-03-01T14:41:16Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,personhood | identity | legal person | responsibility | consent withdrawal | traceability,UI change only | Layout change only | URL redirect only,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453 | https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://eur-lex.europa.eu/procedure/EN/2021_106 | https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225 | https://www.coe.int/en/web/conventions/recent-changes,Page title/update date/time/difference keyword/final URL,2026-03-01T14:41:16Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,personhood | identity | legal person | responsibility | consent withdrawal | traceability,UI change only | Layout change only | URL redirect only,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453 | https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://eur-lex.europa.eu/procedure/EN/2021_106 | https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225 | https://www.coe.int/en/web/conventions/recent-changes,Page title/update date/time/difference keyword/final URL,2026-03-01T14:41:16Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",personhood | identity | legal person | responsibility | consent withdrawal | traceability,UI change only | Layout change only | URL redirect only,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453 | https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://eur-lex.europa.eu/procedure/EN/2021_106 | https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225 | https://www.coe.int/en/web/conventions/recent-changes,Page title/update date/time/difference keyword/final URL,2026-03-01T14:41:16Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",personhood | identity | legal person | responsibility | consent withdrawal | traceability,UI change only | Layout change only | URL redirect only,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453 | https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://eur-lex.europa.eu/procedure/EN/2021_106 | https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225 | https://www.coe.int/en/web/conventions/recent-changes,Page title/update date/time/difference keyword/final URL,2026-03-01T14:41:16Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",sensitive data | neurorights | risk management | governance | conformity assessment | oversight,UI change only | Layout change only | URL redirect only,https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://www.nist.gov/itl/ai-risk-management-framework/ai-rmf-development | https://legalinstruments.oecd.org/en/instruments/OECD-LEGAL-0449 | https://www.oecd.org/en/about/news/press-releases/2024/05/oecd-updates-ai-principles-to-stay-abreast-of-rapid-technological-developments.html,Page title/update date/time/difference keyword/final URL,2026-03-01T14:41:16Z
U15,2,How should neurorights be mapped onto technical audit items?,sensitive data | neurorights | risk management | governance | conformity assessment | oversight,UI change only | Layout change only | URL redirect only,https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://www.nist.gov/itl/ai-risk-management-framework/ai-rmf-development | https://legalinstruments.oecd.org/en/instruments/OECD-LEGAL-0449 | https://www.oecd.org/en/about/news/press-releases/2024/05/oecd-updates-ai-principles-to-stay-abreast-of-rapid-technological-developments.html,Page title/update date/time/difference keyword/final URL,2026-03-01T14:41:16Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",sensitive data | neurorights | risk management | governance | conformity assessment | oversight,UI change only | Layout change only | URL redirect only,https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://www.nist.gov/itl/ai-risk-management-framework/ai-rmf-development | https://legalinstruments.oecd.org/en/instruments/OECD-LEGAL-0449 | https://www.oecd.org/en/about/news/press-releases/2024/05/oecd-updates-ai-principles-to-stay-abreast-of-rapid-technological-developments.html,Page title/update date/time/difference keyword/final URL,2026-03-01T14:41:16Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,sensitive data | neurorights | risk management | governance | conformity assessment | oversight,UI change only | Layout change only | URL redirect only,https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689 | https://www.nist.gov/itl/ai-risk-management-framework/ai-rmf-development | https://legalinstruments.oecd.org/en/instruments/OECD-LEGAL-0449 | https://www.oecd.org/en/about/news/press-releases/2024/05/oecd-updates-ai-principles-to-stay-abreast-of-rapid-technological-developments.html,Page title/update date/time/difference keyword/final URL,2026-03-01T14:41:16Z
