uid,rq_index,supplementary_1,domain,source_class,quality_grade,assessment_note,recommended_action,basis
U0,1,https://doi.org/10.1007/s11229-024-04744-3,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U0,2,https://doi.org/10.1007/s11229-024-04744-3,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U0,3,https://doi.org/10.1007/s11229-024-04744-3,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U0,4,https://doi.org/10.1007/s11229-024-04744-3,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U1,1,https://doi.org/10.1088/2057-1976/aca20b,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U1,2,https://doi.org/10.1088/2057-1976/aca20b,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U1,3,https://doi.org/10.1088/2057-1976/aca20b,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U1,4,https://doi.org/10.1088/2057-1976/aca20b,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U3,1,https://pubmed.ncbi.nlm.nih.gov/38762094/,pubmed.ncbi.nlm.nih.gov,index_db_pubmed,A,Listed in PubMed. We recommend checking the research design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U3,2,https://pubmed.ncbi.nlm.nih.gov/38762094/,pubmed.ncbi.nlm.nih.gov,index_db_pubmed,A,Listed in PubMed. We recommend checking the research design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U3,3,https://pubmed.ncbi.nlm.nih.gov/38762094/,pubmed.ncbi.nlm.nih.gov,index_db_pubmed,A,Listed in PubMed. We recommend checking the research design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U3,4,https://pubmed.ncbi.nlm.nih.gov/38762094/,pubmed.ncbi.nlm.nih.gov,index_db_pubmed,A,Listed in PubMed. We recommend checking the research design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U3,5,https://pubmed.ncbi.nlm.nih.gov/38762094/,pubmed.ncbi.nlm.nih.gov,index_db_pubmed,A,Listed in PubMed. We recommend checking the research design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U3,6,https://pubmed.ncbi.nlm.nih.gov/38762094/,pubmed.ncbi.nlm.nih.gov,index_db_pubmed,A,Listed in PubMed. We recommend checking the research design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U4,1,https://doi.org/10.1109/TNSRE.2021.3123964,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U4,2,https://doi.org/10.1109/TNSRE.2021.3123964,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U4,3,https://doi.org/10.1109/TNSRE.2021.3123964,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U4,4,https://doi.org/10.1109/TNSRE.2021.3123964,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U7,1,https://doi.org/10.1162/imag.a.136,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U7,2,https://doi.org/10.1162/imag.a.136,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U7,3,https://doi.org/10.1162/imag.a.136,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U7,4,https://doi.org/10.1162/imag.a.136,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U7,5,https://doi.org/10.1162/imag.a.136,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U7,6,https://doi.org/10.1162/imag.a.136,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U8,1,https://doi.org/10.1093/brain/awad429,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U8,2,https://doi.org/10.1093/brain/awad429,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U8,3,https://doi.org/10.1093/brain/awad429,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U8,4,https://doi.org/10.1093/brain/awad429,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U8,5,https://doi.org/10.1093/brain/awad429,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U8,6,https://doi.org/10.1093/brain/awad429,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U10,1,https://doi.org/10.1016/j.tics.2024.03.009,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U10,2,https://doi.org/10.1016/j.tics.2024.03.009,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U10,3,https://doi.org/10.1016/j.tics.2024.03.009,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U10,4,https://doi.org/10.1016/j.tics.2024.03.009,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U11,1,https://doi.org/10.1093/nc/niad016,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U11,2,https://doi.org/10.1093/nc/niad016,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U11,3,https://doi.org/10.1093/nc/niad016,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U11,4,https://doi.org/10.1093/nc/niad016,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U12,1,https://doi.org/10.1111/bioe.70045,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U12,2,https://doi.org/10.1111/bioe.70045,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U12,3,https://doi.org/10.1111/bioe.70045,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U12,4,https://doi.org/10.1111/bioe.70045,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U12,5,https://doi.org/10.1111/bioe.70045,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U12,6,https://doi.org/10.1111/bioe.70045,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U13,1,https://doi.org/10.1609/aaai.v39i17.33998,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U13,2,https://doi.org/10.1609/aaai.v39i17.33998,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U13,3,https://doi.org/10.1609/aaai.v39i17.33998,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U13,4,https://doi.org/10.1609/aaai.v39i17.33998,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U13,5,https://doi.org/10.1609/aaai.v39i17.33998,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U13,6,https://doi.org/10.1609/aaai.v39i17.33998,doi.org,doi_source,A,Primary DOI source. Confirm the study design in the main text.,Maintain,Automatic classification based on URL type (Round 14)
U14,1,https://zenodo.org/records/18201723,zenodo.org,spec_or_dataset,A,Valid as specifications/data assets. Separate from the basis of experimental results,Maintain,Automatic classification based on URL type (Round 14)
U14,2,https://zenodo.org/records/18201723,zenodo.org,spec_or_dataset,A,Valid as specifications/data assets. Separate from the basis of experimental results,Maintain,Automatic classification based on URL type (Round 14)
U14,3,https://zenodo.org/records/18201723,zenodo.org,spec_or_dataset,A,Valid as specifications/data assets. Separate from the basis of experimental results,Maintain,Automatic classification based on URL type (Round 14)
U14,4,https://zenodo.org/records/18201723,zenodo.org,spec_or_dataset,A,Valid as specifications/data assets. Separate from the basis of experimental results,Maintain,Automatic classification based on URL type (Round 14)
