phase,topic,best_counterpart,second_counterpart,first_message_angle,first_artifact,meeting_goal,do_not_lead_with
1,EEG信号品質の限界検証,analysis_lab,dataset_curator,品質指標と前処理比較を小さく揃えたい,qc_benchmark_v1,品質比較の主要条件を固定する,portable EEG 全体の将来像
1,高密度EEG空間分解能評価,analysis_lab,dataset_curator,ground truth と電極密度条件の解釈を確認したい,source_limit_note,空間限界の比較条件を固定する,HD-EEG で全脳を解明する話
1,マルチモーダル統合の基礎,analysis_lab,dataset_curator,同期条件と前処理の擦り合わせだけ先に見たい,multimodal_alignment_note,同期条件の最小比較単位を決める,全モダリティ統合構想
1,ノイズ除去・信号分離手法の比較,analysis_lab,pilot_partner,前処理比較表の見方を短く相談したい,preprocessing_comparison_table,比較軸を増やしすぎない条件を決める,全部の前処理法を一度に回す話
1,長時間記録の安定性評価,analysis_lab,dataset_curator,session drift と欠損の解釈を確認したい,longitudinal_stability_note,長時間比較の主要指標を決める,長期追跡全般の壮大な話
2,デコーディング精度ベンチマーク,analysis_lab,pilot_partner,benchmark 化の主要条件を揃えたい,decoding_benchmark_v1,評価条件と主要ベースラインを固定する,最高性能競争の話
2,クロスデータセット汎化,analysis_lab,dataset_curator,ラベル空間と評価条件の擦り合わせを相談したい,cross_dataset_gap_report,cross-dataset 比較条件を固定する,全部のデータを一気に統合する話
2,リアルタイムデコーディング,pilot_partner,analysis_lab,replay ベースの小規模検証だけ先に見たい,replay_latency_note,最小検証単位と止め時を決める,完全リアルタイム運用構想
2,Foundation Modelの適用,analysis_lab,pilot_partner,自己教師あり表現の比較基盤を小さく確認したい,ssl_pretrain_baseline,比較対象と計算条件を固定する,大規模基盤モデル構想
2,運動意図デコーディング,analysis_lab,pilot_partner,運動意図の subject holdout 条件を短く擦り合わせたい,mi_generalization_note,主要条件と評価指標を決める,BCI 全面実装の話
2,感覚知覚デコーディング,analysis_lab,pilot_partner,ERP と SSVEP の比較条件を小さく整理したい,perception_benchmark_note,主要課題と評価条件を固定する,知覚一般を全部扱う話
2,言語/意味デコーディング,analysis_lab,dataset_curator,ラベル定義と課題差の確認を先にしたい,semantic_decoding_feasibility_note,使うラベル条件と除外条件を決める,意味理解全般の大きい話
3,感情状態の推定・分類,analysis_lab,pilot_partner,被験者間頑健性の見方を短く相談したい,emotion_robustness_note,主要指標と応用接続の境界を決める,感情理解全般の話
3,記憶のエンコーディング/検索,analysis_lab,dataset_curator,課題設計と retrieval label の扱いを確認したい,wm_retrieval_note,主要比較軸を固定する,記憶の本質の話
3,注意・ワーキングメモリ,analysis_lab,activity_partner,workload 系の比較条件を整理したい,workload_generalization_note,解析条件を固定し教材化の余地も見る,教育イベント中心の話
3,意思決定過程,analysis_lab,pilot_partner,proxy として何を最小成果物にするかを相談したい,decision_proxy_note,construct を広げすぎない条件を決める,意思決定全体理論の話
3,社会的認知,activity_partner,analysis_lab,hyperscanning 課題を教材化できる範囲で相談したい,hyperscanning_pilot_note,活動化と最小 pilot の境界を決める,大規模社会実装の話
3,創造性・問題解決,activity_partner,analysis_lab,課題設計の共有と教材化の相性を見たい,creative_proxy_note,1回分の教材化範囲を決める,創造性の本質解明の話
3,主観的経験の定量化,analysis_lab,pilot_partner,subjective rating と proxy の整理を短く確認したい,subjective_proxy_note,主要指標と除外条件を決める,主観経験全体の一般論
4,意識の神経相関（NCC）定量化,analysis_lab,dataset_curator,状態境界の proxy 指標を過大主張なく整理したい,ncc_proxy_note,主要 complexity proxy と止め時を決める,意識の本質解明の話
4,意識状態の分類（覚醒/睡眠/麻酔/DoC）,analysis_lab,pilot_partner,boundary classifier の条件を短く揃えたい,boundary_classifier_v1,主要状態と評価指標を固定する,臨床全般への拡張話
4,統合情報理論(IIT)の実証的検証,analysis_lab,dataset_curator,proxy 指標の条件整理だけ先に見たい,complexity_proxy_note,理論過剰主張を避ける境界を決める,IIT の全面実証の話
4,Global Workspace Theory の検証,analysis_lab,dataset_curator,P300 proxy の比較条件を整理したい,gwt_proxy_note,proxy 定義と除外条件を決める,GWT の決着をつける話
4,意識の連続性と同一性,analysis_lab,dataset_curator,縦断安定性 proxy の扱いを確認したい,stability_proxy_note,identity overclaim を避ける条件を決める,自己同一性の哲学議論
4,mind-upload可能性の理論的枠組み,activity_partner,analysis_lab,claim ladder と benchmark commons の共有設計を相談したい,claim_ladder_memo,共有可能な範囲と次段接続を決める,mind-upload 可能性そのものの断定
