uid,rq_index,rq_text,reopen_risk_signal_ja,guard_action_1_ja,guard_action_2_ja,guard_action_3_ja,reopen_decision_rule_ja,guard_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,System difference or judgment conflict recurrence,Check the difference detection log,Re-auditing the reasons for the judgment,Escalation re-registration when necessary,Reopen candidate when 2 conditions match,guard_template_fixed,2026-03-01T23:02:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",System difference or judgment conflict recurrence,Check the difference detection log,Re-auditing the reasons for the judgment,Escalation re-registration when necessary,Reopen candidate when 2 conditions match,guard_template_fixed,2026-03-01T23:02:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,System difference or judgment conflict recurrence,Check the difference detection log,Re-auditing the reasons for the judgment,Escalation re-registration when necessary,Reopen candidate when 2 conditions match,guard_template_fixed,2026-03-01T23:02:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,System difference or judgment conflict recurrence,Check the difference detection log,Re-auditing the reasons for the judgment,Escalation re-registration when necessary,Reopen candidate when 2 conditions match,guard_template_fixed,2026-03-01T23:02:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",System difference or judgment conflict recurrence,Check the difference detection log,Re-auditing the reasons for the judgment,Escalation re-registration when necessary,Reopen candidate when 2 conditions match,guard_template_fixed,2026-03-01T23:02:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",System difference or judgment conflict recurrence,Check the difference detection log,Re-auditing the reasons for the judgment,Escalation re-registration when necessary,Reopen candidate when 2 conditions match,guard_template_fixed,2026-03-01T23:02:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",System difference or judgment conflict recurrence,Check the difference detection log,Re-auditing the reasons for the judgment,Escalation re-registration when necessary,Reopen candidate when 2 conditions match,guard_template_fixed,2026-03-01T23:02:00Z
U15,2,How should neurorights be mapped onto technical audit items?,System difference or judgment conflict recurrence,Check the difference detection log,Re-auditing the reasons for the judgment,Escalation re-registration when necessary,Reopen candidate when 2 conditions match,guard_template_fixed,2026-03-01T23:02:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",System difference or judgment conflict recurrence,Check the difference detection log,Re-auditing the reasons for the judgment,Escalation re-registration when necessary,Reopen candidate when 2 conditions match,guard_template_fixed,2026-03-01T23:02:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,System difference or judgment conflict recurrence,Check the difference detection log,Re-auditing the reasons for the judgment,Escalation re-registration when necessary,Reopen candidate when 2 conditions match,guard_template_fixed,2026-03-01T23:02:00Z
