uid,rq_index,supplementary_1,domain,tag_primary,tag_secondary,tag_reason,tag_rule_version
U0,1,https://doi.org/10.1007/s11229-024-04744-3,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U0,2,https://doi.org/10.1007/s11229-024-04744-3,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U0,3,https://doi.org/10.1007/s11229-024-04744-3,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U0,4,https://doi.org/10.1007/s11229-024-04744-3,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U1,1,https://doi.org/10.1088/2057-1976/aca20b,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U1,2,https://doi.org/10.1088/2057-1976/aca20b,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U1,3,https://doi.org/10.1088/2057-1976/aca20b,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U1,4,https://doi.org/10.1088/2057-1976/aca20b,doi.org,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U3,1,https://pubmed.ncbi.nlm.nih.gov/38762094/,pubmed.ncbi.nlm.nih.gov,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U3,2,https://pubmed.ncbi.nlm.nih.gov/38762094/,pubmed.ncbi.nlm.nih.gov,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
U3,3,https://pubmed.ncbi.nlm.nih.gov/38762094/,pubmed.ncbi.nlm.nih.gov,experiment,empirical_or_theoretical_evidence,Prioritize evidence-oriented reading as experimental results or theoretical review,round16-v1
