uid,rq_index,rq_text,request_ticket_id,requested_evidence_ja,request_owner,next_due_utc,acceptance_condition_ja,fallback_action_ja,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,U12-RQ1-ER42,Definition term revision difference log and heading match log,U12_monitor_owner,2026-03-08T14:38:23Z,Both the revision difference log and heading match log have been submitted,Re-request after 1 business day and record the reason for non-delivery,2026-03-01T18:22:30Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",U12-RQ2-ER42,New version of current word comparison table and clause heading differences,U12_monitor_owner,2026-03-08T14:38:23Z,The new version of the current word comparison table and clause differences are the same version.,"If the deadline is exceeded, the previous version will be deferred and monitoring will continue.",2026-03-01T18:22:30Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,U12-RQ3-ER42,Two official clause extraction logs and update memo for suspension reasons,U12_monitor_owner,2026-03-08T14:38:23Z,Two successful extractions and a memo for updating the reason for suspension are included.,"If the target is not reached, maintain hold and readjust the extraction conditions",2026-03-01T18:22:30Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,U12-RQ4-ER42,Connective term differential log and audit term differential log,U12_monitor_owner,2026-03-08T14:38:23Z,Conjunction word difference log and audit word difference log indicate judgment word match,"If not achieved, redefine the difference confirmation perspective and re-request",2026-03-01T18:22:30Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",U12-RQ5-ER42,Synonym addition log and judgment difference after normalization,U12_monitor_owner,2026-03-08T14:38:23Z,A synonym addition log and a record of no judgment differences are available.,"If the target is not reached, temporarily exclude additional words and re-evaluate.",2026-03-01T18:22:30Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",U12-RQ6-ER42,Comparison of old and new notations and new version and trail item fulfillment log,U12_monitor_owner,2026-03-08T14:38:23Z,The new version of the notation comparison and the trail sufficiency log are submitted at the same time.,"If the target is not achieved, specify the missing items and move on to re-monitoring.",2026-03-01T18:22:30Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",U15-RQ1-ER42,Legal text definition difference log and revision date update record,U15_monitor_owner,2026-03-08T14:38:23Z,The legal text difference log and revision date record match the latest version.,"If not achieved, maintain closed_watch and postpone to next window",2026-03-01T18:22:30Z
U15,2,How should neurorights be mapped onto technical audit items?,U15-RQ2-ER42,Particle size correspondence table new version and update date comparison log,U15_monitor_owner,2026-03-08T14:38:23Z,The new version of the granularity correspondence table and update date comparison log are now consistent.,"If the target is not reached, the existing granularity will be maintained temporarily and the request will be made again.",2026-03-01T18:22:30Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",U15-RQ3-ER42,New version of Jurisdictional Requirements Table and three requirements extraction log twice,U15_monitor_owner,2026-03-08T14:38:23Z,The new version of the Jurisdictional Requirements Table and the fixed results of the three requirements are now available.,"If the target is not reached, hold and reset the extraction conditions.",2026-03-01T18:22:30Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,U15-RQ4-ER42,Periodic word addition confirmation log and stop condition difference log,U15_monitor_owner,2026-03-08T14:38:23Z,The periodic word log and the stop condition difference log are the same version and match.,"If the target is not reached, continue re-monitoring by maintaining closed_watch",2026-03-01T18:22:30Z
