uid,rq_index,rq_text,followup_gate_condition_ja,followup_gate_item_1_ja,followup_gate_item_2_ja,followup_gate_item_3_ja,followup_gate_rule_ja,followup_gate_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,followup_reconnect_followup_reconnect_followup_reconnect_followup_reevaluation_followup_logged after,Determine whether continuation is appropriate,Update the priority,Update the monitoring window,followup_reconnect_followup_reconnect_followup_reconnect_followup_watch_resync_followup_ready when 3 items are satisfied,followup_gate_fixed,2026-03-02T04:52:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",followup_reconnect_followup_reconnect_followup_reconnect_followup_reevaluation_followup_logged after,Determine whether continuation is appropriate,Update the priority,Update the monitoring window,followup_reconnect_followup_reconnect_followup_reconnect_followup_watch_resync_followup_ready when 3 items are satisfied,followup_gate_fixed,2026-03-02T04:52:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,followup_reconnect_followup_reconnect_followup_reconnect_followup_reevaluation_followup_logged after,Determine whether continuation is appropriate,Update the priority,Update the monitoring window,followup_reconnect_followup_reconnect_followup_reconnect_followup_watch_resync_followup_ready when 3 items are satisfied,followup_gate_fixed,2026-03-02T04:52:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,followup_reconnect_followup_reconnect_followup_reconnect_followup_reevaluation_followup_logged after,Determine whether continuation is appropriate,Update the priority,Update the monitoring window,followup_reconnect_followup_reconnect_followup_reconnect_followup_watch_resync_followup_ready when 3 items are satisfied,followup_gate_fixed,2026-03-02T04:52:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",followup_reconnect_followup_reconnect_followup_reconnect_followup_reevaluation_followup_logged after,Determine whether continuation is appropriate,Update the priority,Update the monitoring window,followup_reconnect_followup_reconnect_followup_reconnect_followup_watch_resync_followup_ready when 3 items are satisfied,followup_gate_fixed,2026-03-02T04:52:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",followup_reconnect_followup_reconnect_followup_reconnect_followup_reevaluation_followup_logged after,Determine whether continuation is appropriate,Update the priority,Update the monitoring window,followup_reconnect_followup_reconnect_followup_reconnect_followup_watch_resync_followup_ready when 3 items are satisfied,followup_gate_fixed,2026-03-02T04:52:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",followup_reconnect_followup_reconnect_followup_reconnect_followup_reevaluation_followup_logged after,Determine whether continuation is appropriate,Update the priority,Update the monitoring window,followup_reconnect_followup_reconnect_followup_reconnect_followup_watch_resync_followup_ready when 3 items are satisfied,followup_gate_fixed,2026-03-02T04:52:00Z
U15,2,How should neurorights be mapped onto technical audit items?,followup_reconnect_followup_reconnect_followup_reconnect_followup_reevaluation_followup_logged after,Determine whether continuation is appropriate,Update the priority,Update the monitoring window,followup_reconnect_followup_reconnect_followup_reconnect_followup_watch_resync_followup_ready when 3 items are satisfied,followup_gate_fixed,2026-03-02T04:52:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",followup_reconnect_followup_reconnect_followup_reconnect_followup_reevaluation_followup_logged after,Determine whether continuation is appropriate,Update the priority,Update the monitoring window,followup_reconnect_followup_reconnect_followup_reconnect_followup_watch_resync_followup_ready when 3 items are satisfied,followup_gate_fixed,2026-03-02T04:52:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,followup_reconnect_followup_reconnect_followup_reconnect_followup_reevaluation_followup_logged after,Determine whether continuation is appropriate,Update the priority,Update the monitoring window,followup_reconnect_followup_reconnect_followup_reconnect_followup_watch_resync_followup_ready when 3 items are satisfied,followup_gate_fixed,2026-03-02T04:52:00Z
