phase,topic,review_comment_1,review_comment_2,main_weakness,response_strategy,avoid_phrase
1,EEG信号品質の限界検証,"既存のQC研究との差分が弱い","metadata が不均一で比較が壊れないか",metadata_heterogeneity,"新規手法ではなく公開EEG横断の品質閾値整理と監査基準整備として返す","品質から脳を完全に読む"
1,高密度EEG空間分解能評価,"ground-truth が乏しい","EEGだけで局在妥当性を言い切れない",ground_truth_scarcity,"解剖学的真値ではなく電極数依存の利得と上限評価に限定する","高密度EEGで脳内位置を特定する"
1,マルチモーダル統合の基礎,"同期誤差で融合効果が不安定では","EEG単独との差が小さいのでは",modality_alignment,"限定課題で unimodal vs fusion を比較し導入コストも報告する","融合で認知状態を完全把握する"
1,ノイズ除去・信号分離手法の比較,"正解信号が分からず比較困難","手法選択が恣意的では",artifact_label_mismatch,"synthetic と annotation 付き実測を併用し下流解析安定性まで比較する","ノイズを完全除去する"
1,長時間記録の安定性評価,"長時間ほどラベル品質が怪しい","睡眠と疲労を混ぜると曖昧",session_protocol_gap,"state family を分け drift と欠損率を運用条件として整理する","長時間でも脳状態を完全追跡する"
2,デコーディング精度ベンチマーク,"既存ベンチが多い","タスク横断比較が不公平では",task_definition_mismatch,"accuracy 競争ではなく fixed split と failure mode を含む再現基盤として返す","最高精度を達成する"
2,クロスデータセット汎化,"ラベル空間が揃っていない","汎化低下は当然では",label_space_mismatch,"対応サブ課題だけを束ね劣化要因の分解自体を成果に置く","どのデータでも汎化する"
2,リアルタイムデコーディング,"replay は真のオンラインではない","実運用UIまで繋がっていない",true_online_absence,"事前検証段階と明示し遅延下限と誤警報率の基準線として返す","リアルタイム制御を実現する"
2,Foundation Modelの適用,"foundation model という表現が誇大","課題差が大きく一般化し過ぎ",compute_and_label_bias,"自己教師あり表現学習 baseline と呼び OOD gap を限界として報告する","脳の基盤モデルを作る"
2,運動意図デコーディング,"MI は既存研究が多い","被験者差が大き過ぎる",subject_shift,"較正試行数削減と被験者外性能に絞り実務 benchmark として返す","運動意図を普遍的に読む"
2,感覚知覚デコーディング,"ERP と SSVEP を同列比較できない","刺激条件差が大きい",protocol_variation,"ERP 系と SSVEP 系を分けて共通 metric のみ横串比較する","知覚内容を完全復元する"
2,言語/意味デコーディング,"EEGで言語 decoding は無理がある","imagined speech と semantic task は別物",label_definition_gap,"文復元ではなくカテゴリ分類と congruency 判定に限定する","思考や文章を読む"
3,感情状態の推定・分類,"感情ラベルが主観依存でノイジー","文化差や被験者差で崩れやすい",subjective_label_noise,"精度最大化ではなく頑健性 benchmark と calibration を成果にする","感情を正確に読む"
3,記憶のエンコーディング/検索,"encoding と retrieval が分離できない","効果量が小さい",retrieval_label_sparsity,"WM と retrieval proxy に絞り longitudinal drift を含めて限定主張する","記憶内容を読む"
3,注意・ワーキングメモリ,"attention と workload が混同される","単チャネル応用性が弱い",task_scale_mismatch,"task family を分け lightweight lower bound と upper bound を整理する","集中度を完全測定する"
3,意思決定過程,"意思決定という概念が広過ぎる","reward/risk の意味が課題ごとに違う",construct_ambiguity,"報酬・損失・不確実性の condition contrast に限定して返す","意思決定を解明する"
3,社会的認知,"hyperscanning はサンプルが小さい","社会的認知というラベルが広い",sample_size_small,"joint attention や social stress など狭い課題へ限定し pilot として出す","社会性を測定する"
3,創造性・問題解決,"採点が主観的で再現性が低い","exploratory で結論が弱い",low_reproducibility,"trait 測定ではなく problem-solving process の proxy 探索として返す","創造性を判定する"
3,主観的経験の定量化,"self-report の信頼性が低い","主観を還元しているように見える",annotation_variability,"correspondence と限界測定が目的で還元主張ではないと明示する","主観を客観化する"
4,意識の神経相関（NCC）定量化,"proxy 比較だけでは NCC と言えない","状態横断比較が危うい",proxy_overclaim,"NCC の決着ではなく state family ごとの proxy 順位付けとして返す","意識の正体を解明する"
4,意識状態の分類（覚醒/睡眠/麻酔/DoC）,"臨床ラベルと研究ラベルの粒度差が大きい","データセット外で急落するのでは",domain_shift,"family 別基準線を持ち cross-dataset 劣化幅を主要成果にする","意識の有無を決定する"
4,統合情報理論(IIT)の実証的検証,"proxy では IIT 検証にならない","EEG指標が理論に対して粗い",theory_overreach,"理論の真偽ではなく複雑性 proxy 群の挙動比較と限界整理に限定する","IIT を証明する"
4,Global Workspace Theory の検証,"P300 は GWT 固有ではない","report/no-report の交絡が強い",proxy_definition_instability,"broadcast/ignition 類似指標の比較研究として位置づけ課題依存性も結果に含める","GWT を実証する"
4,意識の連続性と同一性,"EEG biometrics を本人性に読み替えている","安定性だけでは同一性に足りない",identity_overclaim,"identity ではなく stability proxy と self-related feature 比較に限定する","本人性を証明する"
4,mind-upload可能性の理論的枠組み,"理論整理だけで実証性が弱い","scope が広過ぎる",scope_inflation,"claim ladder と dataset atlas と benchmark commons という納品物を前面に出す","mind-upload の実現を示す"
