uid,rq_index,rq_text,diff_detected_round21,matched_changed_urls_round21,matched_changed_final_urls_round21,change_reason_round21,update_decision_round22,section_target,update_template_ja,evidence_files,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,yes,https://doi.org/10.1016/j.patter.2023.100861,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453,The DOI resolution destination is confirmed to the publisher's official URL (not recorded at the time of the first audit),Reflection of normalization of main text links (URL replacement or combination),U12 RQ1,1 item reflected as a difference on monitoring date 2026-03-01T14:18:24Z.1) Updated the main text link to the regular URL.2) Note whether the entity change is only URL canonicalization.3) Set the next monitoring date one week later.,rq_regulation_link_diff_round21_2026-03-01.csv | rq_regulation_priority_queue_status_round21_2026-03-01.csv,2026-03-01T14:25:17Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",yes,https://doi.org/10.1016/j.patter.2023.100861,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453,The DOI resolution destination is confirmed to the publisher's official URL (not recorded at the time of the first audit),Reflection of normalization of main text links (URL replacement or combination),U12 RQ2,1 item reflected as a difference on monitoring date 2026-03-01T14:18:24Z.1) Updated the main text link to the regular URL.2) Note whether the entity change is only URL canonicalization.3) Set the next monitoring date one week later.,rq_regulation_link_diff_round21_2026-03-01.csv | rq_regulation_priority_queue_status_round21_2026-03-01.csv,2026-03-01T14:25:17Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,yes,https://doi.org/10.1016/j.patter.2023.100861,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453,The DOI resolution destination is confirmed to the publisher's official URL (not recorded at the time of the first audit),Reflection of normalization of main text links (URL replacement or combination),U12 RQ3,1 item reflected as a difference on monitoring date 2026-03-01T14:18:24Z.1) Updated the main text link to the regular URL.2) Note whether the entity change is only URL canonicalization.3) Set the next monitoring date one week later.,rq_regulation_link_diff_round21_2026-03-01.csv | rq_regulation_priority_queue_status_round21_2026-03-01.csv,2026-03-01T14:25:17Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,yes,https://doi.org/10.1016/j.patter.2023.100861,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453,The DOI resolution destination is confirmed to the publisher's official URL (not recorded at the time of the first audit),Reflection of normalization of main text links (URL replacement or combination),U12 RQ4,1 item reflected as a difference on monitoring date 2026-03-01T14:18:24Z.1) Updated the main text link to the regular URL.2) Note whether the entity change is only URL canonicalization.3) Set the next monitoring date one week later.,rq_regulation_link_diff_round21_2026-03-01.csv | rq_regulation_priority_queue_status_round21_2026-03-01.csv,2026-03-01T14:25:17Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",yes,https://doi.org/10.1016/j.patter.2023.100861,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453,The DOI resolution destination is confirmed to the publisher's official URL (not recorded at the time of the first audit),Reflection of normalization of main text links (URL replacement or combination),U12 RQ5,1 item reflected as a difference on monitoring date 2026-03-01T14:18:24Z.1) Updated the main text link to the regular URL.2) Note whether the entity change is only URL canonicalization.3) Set the next monitoring date one week later.,rq_regulation_link_diff_round21_2026-03-01.csv | rq_regulation_priority_queue_status_round21_2026-03-01.csv,2026-03-01T14:25:17Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",yes,https://doi.org/10.1016/j.patter.2023.100861,https://linkinghub.elsevier.com/retrieve/pii/S2666389923002453,The DOI resolution destination is confirmed to the publisher's official URL (not recorded at the time of the first audit),Reflection of normalization of main text links (URL replacement or combination),U12 RQ6,1 item reflected as a difference on monitoring date 2026-03-01T14:18:24Z.1) Updated the main text link to the regular URL.2) Note whether the entity change is only URL canonicalization.3) Set the next monitoring date one week later.,rq_regulation_link_diff_round21_2026-03-01.csv | rq_regulation_priority_queue_status_round21_2026-03-01.csv,2026-03-01T14:25:17Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",yes,https://oecd.ai/ai-principles/,https://oecd.ai/en/ai-principles/,OECD AI Principles URL unified to regular URL with /en/,Reflection of normalization of main text links (URL replacement or combination),U15 RQ1,1 item reflected as a difference on monitoring date 2026-03-01T14:18:24Z.1) Updated the main text link to the regular URL.2) Note whether the entity change is only URL canonicalization.3) Set the next monitoring date one week later.,rq_regulation_link_diff_round21_2026-03-01.csv | rq_regulation_priority_queue_status_round21_2026-03-01.csv,2026-03-01T14:25:17Z
U15,2,How should neurorights be mapped onto technical audit items?,yes,https://oecd.ai/ai-principles/,https://oecd.ai/en/ai-principles/,OECD AI Principles URL unified to regular URL with /en/,Reflection of normalization of main text links (URL replacement or combination),U15 RQ2,1 item reflected as a difference on monitoring date 2026-03-01T14:18:24Z.1) Updated the main text link to the regular URL.2) Note whether the entity change is only URL canonicalization.3) Set the next monitoring date one week later.,rq_regulation_link_diff_round21_2026-03-01.csv | rq_regulation_priority_queue_status_round21_2026-03-01.csv,2026-03-01T14:25:17Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",yes,https://oecd.ai/ai-principles/,https://oecd.ai/en/ai-principles/,OECD AI Principles URL unified to regular URL with /en/,Reflection of normalization of main text links (URL replacement or combination),U15 RQ3,1 item reflected as a difference on monitoring date 2026-03-01T14:18:24Z.1) Updated the main text link to the regular URL.2) Note whether the entity change is only URL canonicalization.3) Set the next monitoring date one week later.,rq_regulation_link_diff_round21_2026-03-01.csv | rq_regulation_priority_queue_status_round21_2026-03-01.csv,2026-03-01T14:25:17Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,yes,https://oecd.ai/ai-principles/,https://oecd.ai/en/ai-principles/,OECD AI Principles URL unified to regular URL with /en/,Reflection of normalization of main text links (URL replacement or combination),U15 RQ4,1 item reflected as a difference on monitoring date 2026-03-01T14:18:24Z.1) Updated the main text link to the regular URL.2) Note whether the entity change is only URL canonicalization.3) Set the next monitoring date one week later.,rq_regulation_link_diff_round21_2026-03-01.csv | rq_regulation_priority_queue_status_round21_2026-03-01.csv,2026-03-01T14:25:17Z
