phase,topic,continue_signal,shrink_signal,close_signal,preserve_asset,note_line,avoid_point
1,"EEG信号品質の限界検証","品質閾値が外部比較や別課題で再利用される","閾値は使えるが更新幅が小さい","再計測しても閾値も failure mode も増えない","品質閾値表と再現手順","今回は 品質基準は残しつつ広い更新は閉じる","品質改善の未達を全否定にしない"
1,"高密度EEG空間分解能評価","密度利得が限定条件で継続して再現する","利得はあるが条件が狭い","密度を上げても利得が増えない","密度比較図と設定表","今回は 利得が残る条件だけ縮小して残す","高密度停止を空間情報ゼロと書かない"
1,"マルチモーダル統合の基礎","統合利得が限定条件で再利用される","利得はあるが paired 条件が狭い","統合利得が再現せず同期条件も広がらない","統合利得比較図と利用範囲メモ","今回は 限定統合条件だけを残して広い統合は閉じる","統合停止を EEG 全否定にしない"
1,"ノイズ除去・信号分離手法の比較","既定値候補が複数条件で保つ","既定値候補はあるが課題依存が強い","比較しても既定値候補が定まらない","前処理比較表と failure case 一覧","今回は 既定値候補だけ残して最強法探索は閉じる","比較不調を手法研究無意味と書かない"
1,"長時間記録の安定性評価","usable window が運用指針として使われる","安定区間はあるが用途が狭い","再校正しても運用上限が伸びない","安定区間図と再校正条件メモ","今回は 使える区間だけ残して長時間拡張は閉じる","長時間停止を連続計測全否定にしない"
2,"デコーディング精度ベンチマーク","比較表が外部比較に継続利用される","差分はあるが dataset family が限定的","新差分が出ず benchmark 更新価値も薄い","baseline 表と更新メモ","今回は 比較基盤だけ残して拡張更新は閉じる","精度競争に戻らない"
2,"クロスデータセット汎化","gap 原因整理が他 dataset に転用される","gap 整理はできるが適用範囲が狭い","原因整理が進まず schema も固まらない","汎化 gap 表と schema 対応表","今回は 整理できた gap だけ残して広い汎化主張は閉じる","どこでも通用と語らない"
2,"リアルタイムデコーディング","現実条件で動く構成が再現する","動く構成はあるが用途が限定的","軽量構成でも安定動作が残らない","遅延精度図と軽量運用メモ","今回は 動く構成だけ残して広い realtime 化は閉じる","完成システムとして語らない"
2,"Foundation Modelの適用","転移条件が比較基盤として継続利用される","一部条件で利得はあるが不安定","強い baseline を一貫して超えられない","転移比較表と OOD 条件メモ","今回は 利く条件だけ残して基盤化の話は閉じる","基盤モデル完成と言わない"
2,"運動意図デコーディング","被験者外改善が安定して再現する","改善はあるが校正依存が強い","改善が消え校正コストだけが残る","MI baseline 表と校正条件表","今回は 使える校正条件だけ残して広い一般化は閉じる","普遍的読取りにしない"
2,"感覚知覚デコーディング","限定課題の差が安定して残る","差はあるが課題 family が狭い","刺激条件を変えると差が消える","知覚課題比較表と誤分類条件メモ","今回は 限定課題だけ残して広い知覚主張は閉じる","知覚全体復元に広げない"
2,"言語/意味デコーディング","最小単位差が限定条件で再現する","差はあるが annotation 依存が強い","差が task confound から切れない","最小単位比較表と除外条件メモ","今回は 安全域だけ残して広い意味主張は閉じる","思考解読にしない"
3,"感情状態の推定・分類","ラベル一貫性が再利用水準まで上がる","一貫性はあるが用途が狭い","ラベル揺れが大きく安定しない","感情ラベル頑健性表と利用範囲メモ","今回は 安定ラベルだけ残して広い感情分類は閉じる","感情断定にしない"
3,"記憶のエンコーディング/検索","proxy が追試基盤として残る","proxy はあるが課題依存が強い","proxy が戦略差から切れない","記憶 proxy 比較表と追試条件メモ","今回は 追試可能な proxy だけ残して広い記憶主張は閉じる","記憶内容を読む話にしない"
3,"注意・ワーキングメモリ","負荷差が drift より強く残る","負荷差はあるがセッション依存が強い","drift に埋もれて差が安定しない","負荷 proxy 比較表と drift メモ","今回は 使える session 条件だけ残して広い指標化は閉じる","万能指標にしない"
3,"意思決定過程","過程差が task confound を越えて残る","差はあるが task 限定的","差が motor や難度から切れない","意思決定 proxy 表と除外解釈メモ","今回は 残る差分だけ残して広い過程主張は閉じる","自由意志論へ流れない"
3,"社会的認知","小課題が別場面でも回る","pilot は回るがスケールしない","小課題でも再現差が残らない","社会課題最小条件表と pilot 仕様","今回は 回る小課題だけ残して広い社会認知主張は閉じる","広い社会性判定にしない"
3,"創造性・問題解決","採点一致が再利用水準まで上がる","一致は上がるが課題限定的","rubric を整えても proxy が安定しない","創造性 proxy 図と rubric メモ","今回は 教材化できる比較軸だけ残して広い創造性主張は閉じる","創造性そのものを測れたとしない"
