uid,rq_index,rq_text,relink_condition_ja,relink_item_1_ja,relink_item_2_ja,relink_item_3_ja,relink_rule_ja,relink_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,propagation_logged when reached,Connect to reentry_candidate_triage,Connect to reentry_execution_packet,Check whether monitoring can be continued,reentry_relink_ready with 3 connections satisfied,relink_gate_fixed,2026-03-02T00:34:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",propagation_logged when reached,Connect to reentry_candidate_triage,Connect to reentry_execution_packet,Check whether monitoring can be continued,reentry_relink_ready with 3 connections satisfied,relink_gate_fixed,2026-03-02T00:34:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,propagation_logged when reached,Connect to reentry_candidate_triage,Connect to reentry_execution_packet,Check whether monitoring can be continued,reentry_relink_ready with 3 connections satisfied,relink_gate_fixed,2026-03-02T00:34:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,propagation_logged when reached,Connect to reentry_candidate_triage,Connect to reentry_execution_packet,Check whether monitoring can be continued,reentry_relink_ready with 3 connections satisfied,relink_gate_fixed,2026-03-02T00:34:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",propagation_logged when reached,Connect to reentry_candidate_triage,Connect to reentry_execution_packet,Check whether monitoring can be continued,reentry_relink_ready with 3 connections satisfied,relink_gate_fixed,2026-03-02T00:34:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",propagation_logged when reached,Connect to reentry_candidate_triage,Connect to reentry_execution_packet,Check whether monitoring can be continued,reentry_relink_ready with 3 connections satisfied,relink_gate_fixed,2026-03-02T00:34:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",propagation_logged when reached,Connect to reentry_candidate_triage,Connect to reentry_execution_packet,Check whether monitoring can be continued,reentry_relink_ready with 3 connections satisfied,relink_gate_fixed,2026-03-02T00:34:00Z
U15,2,How should neurorights be mapped onto technical audit items?,propagation_logged when reached,Connect to reentry_candidate_triage,Connect to reentry_execution_packet,Check whether monitoring can be continued,reentry_relink_ready with 3 connections satisfied,relink_gate_fixed,2026-03-02T00:34:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",propagation_logged when reached,Connect to reentry_candidate_triage,Connect to reentry_execution_packet,Check whether monitoring can be continued,reentry_relink_ready with 3 connections satisfied,relink_gate_fixed,2026-03-02T00:34:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,propagation_logged when reached,Connect to reentry_candidate_triage,Connect to reentry_execution_packet,Check whether monitoring can be continued,reentry_relink_ready with 3 connections satisfied,relink_gate_fixed,2026-03-02T00:34:00Z
