phase,topic,headline,why_now,core_asset,first_move,success_line,avoid_point
1,EEG信号品質の限界検証,品質閾値を公共財として更新する,QC benchmark の更新余地が最も明確だから,品質閾値表 年末メモ 更新候補1件,追加データ1本で閾値表を更新する,再利用される品質 benchmark 更新が1件残る,品質から高次読取りへ飛ばない
1,高密度EEG空間分解能評価,密度比較を標準条件へ寄せる,測定条件の標準化に直結するから,密度比較図 標準条件メモ 更新候補1件,比較図を再生成して標準条件を固定する,測定標準条件の更新が1件残る,局在技術の完成と語らない
1,マルチモーダル統合の基礎,最小統合利得の条件を絞って更新する,限定 benchmark に接続しやすいから,同期条件比較表 利用範囲メモ 更新候補1件,同期条件を固定して比較表を1回更新する,限定 multimodal benchmark 更新が1件残る,統合万能論にしない
1,ノイズ除去・信号分離手法の比較,前処理既定値を実務寄りに更新する,実務メモとして再利用しやすいから,前処理比較表 実務メモ 更新候補1件,既定値候補だけを再比較する,標準前処理提案の更新が1件残る,最強法探しへ戻らない
1,長時間記録の安定性評価,安定区間を運用指針として更新する,長時間運用条件にそのまま効くから,安定区間比較図 運用メモ 更新候補1件,長時間条件1本で図を更新する,長時間運用 benchmark 更新が1件残る,完全追跡の話にしない
2,デコーディング精度ベンチマーク,baseline を共通基盤として更新する,複数課題へ最も横展開しやすいから,共通baseline表 更新告知メモ 更新候補1件,統一 split と metric で1回更新する,公開 benchmark commons 更新が1件残る,最高精度競争に戻らない
2,クロスデータセット汎化,汎化 gap を条件付きで更新する,外部汎化の限界を最も明確に示せるから,汎化gap比較表 条件メモ 更新候補1件,共通ラベル空間だけで再比較する,条件付き benchmark 更新が1件残る,どこでも通用と語らない
2,リアルタイムデコーディング,低遅延条件を軽量運用へ寄せる,小さな運用条件として再利用しやすいから,遅延精度折り合い図 軽量運用メモ 更新候補1件,低遅延条件1本で折り合い図を更新する,軽量運用条件の更新が1件残る,完成システムとして語らない
2,Foundation Modelの適用,転移比較を再現基盤として更新する,自己教師あり比較に接続しやすいから,表現転移比較表 比較メモ 更新候補1件,OOD 条件を固定して1回更新する,自己教師あり再現比較の更新が1件残る,基盤モデル完成と言わない
2,運動意図デコーディング,MI baseline を実務基準として更新する,被験者外条件の比較価値が高いから,MI baseline表 共有メモ 更新候補1件,被験者外条件だけで1回更新する,MI benchmark 更新が1件残る,普遍的読取りにしない
2,感覚知覚デコーディング,限定課題の比較を絞って更新する,課題 family ごとの安全域を示しやすいから,知覚課題比較表 注記 更新候補1件,ERP か SSVEP の1系統だけ更新する,限定課題の再現比較が1件残る,知覚全体復元と書かない
2,言語/意味デコーディング,最小単位比較を限定課題へ寄せる,思考解読に見せず価値を出しやすいから,最小単位比較表 整理メモ 更新候補1件,ラベル定義を固定して1回更新する,言語 EEG の限定課題整理が1件残る,思考解読にしない
3,感情状態の推定・分類,粗い状態分類の安全域を更新する,利用範囲メモとして外へ出しやすいから,感情ラベル頑健性表 利用範囲メモ 更新候補1件,主観ラベル軸だけで1回更新する,粗い状態分類 benchmark 更新が1件残る,感情断定にしない
3,記憶のエンコーディング/検索,記憶 proxy を追試軸として更新する,成績関連 proxy の再利用価値が高いから,記憶proxy比較表 追試メモ 更新候補1件,成功失敗軸だけで1回更新する,記憶課題 benchmark 更新が1件残る,記憶内容を読む話にしない
3,注意・ワーキングメモリ,負荷 proxy を再現比較へ寄せる,drift 条件つきで再利用しやすいから,負荷proxy比較表 driftメモ 更新候補1件,複数 proxy 構成を固定して1回更新する,負荷評価の再現比較が1件残る,万能指標にしない
3,意思決定過程,proxy と除外線を小さく更新する,過程変数比較として最も安全に残せるから,意思決定proxy表 除外解釈メモ 更新候補1件,小課題1本で比較図を更新する,小さな過程変数比較が1件残る,自由意志論へ流れない
3,社会的認知,最小共同課題を pilot 更新へ寄せる,小規模共有に最も向いているから,社会課題最小条件表 追試案メモ 更新候補1件,対象課題1本で条件表を更新する,小規模 social pilot 更新が1件残る,広い社会性判定にしない
3,創造性・問題解決,差分 proxy を教材利用へ寄せる,教材化可能な更新として残しやすいから,創造性proxy図 教材注記 更新候補1件,追試1本で差分図を更新する,教材化可能な課題比較が1件残る,創造性そのものを測れたにしない
3,主観的経験の定量化,自己評定対応を限定尺度へ寄せる,利用範囲を安全に説明しやすいから,自己評定対応表 利用範囲メモ 更新候補1件,尺度固定で1回更新する,限定尺度の対応比較が1件残る,経験の完全定量化と書かない
4,意識の神経相関（NCC）定量化,NCC 候補を状態差 proxy として更新する,評価軸の更新として最も扱いやすいから,NCC候補比較図 条件メモ 更新候補1件,境界条件を固定して1回更新する,状態差 proxy 比較更新が1件残る,意識の正体解明としない
4,意識状態の分類（覚醒/睡眠/麻酔/DoC）,状態分類を施設差比較へ寄せる,外れ条件つき比較として残しやすいから,状態分類benchmark表 外れ条件メモ 更新候補1件,状態ラベルを固定して1回更新する,施設差込み比較が1件残る,臨床診断代替にしない
4,統合情報理論(IIT)の実証的検証,IIT proxy を近似テストへ寄せる,近似指標の更新として扱いやすいから,IIT proxy比較表 条件メモ 更新候補1件,近似指標を固定して1回更新する,近似テスト更新が1件残る,理論証明にしない
4,Global Workspace Theory の検証,GWT 候補を再現比較へ寄せる,候補指標比較として更新しやすいから,GWT候補反応図 再現メモ 更新候補1件,比較軸を固定して1回更新する,候補指標の再現比較が1件残る,理論の勝敗を決めたとしない
4,意識の連続性と同一性,個人内安定性を状態遷移比較へ寄せる,proxy 整理として安全に残せるから,個人内安定性比較図 proxyメモ 更新候補1件,状態遷移1本で比較図を更新する,状態遷移 proxy 整理が1件残る,本人確認技術にしない
4,mind-upload可能性の理論的枠組み,claim ladder を評価軸 commons として更新する,広い議論を安全に整理できるから,claim ladder年末版 評価メモ 更新候補1件,不足要件を1回更新する,評価軸 commons 更新が1件残る,mind-upload 実現を語らない
