uid,rq_index,rq_text,step_1_url,step_1_jurisdiction,step_2_url,step_2_jurisdiction,step_3_url,step_3_jurisdiction,jurisdiction_combo,update_audit_flag,label_rule
U12,1,On what basis should identifiers be assigned to post-branch entities?,https://doi.org/10.1016/j.patter.2023.100861,Other,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,EU,https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,CoE,CoE|EU|Other,yes,round20-v1
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",https://doi.org/10.1016/j.patter.2023.100861,Other,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,EU,https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,CoE,CoE|EU|Other,yes,round20-v1
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,https://doi.org/10.1016/j.patter.2023.100861,Other,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,EU,https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,CoE,CoE|EU|Other,yes,round20-v1
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,https://doi.org/10.1016/j.patter.2023.100861,Other,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,EU,https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,CoE,CoE|EU|Other,yes,round20-v1
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",https://doi.org/10.1016/j.patter.2023.100861,Other,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,EU,https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,CoE,CoE|EU|Other,yes,round20-v1
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",https://doi.org/10.1016/j.patter.2023.100861,Other,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,EU,https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,CoE,CoE|EU|Other,yes,round20-v1
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,EU,https://doi.org/10.6028/NIST.AI.600-1,US-NIST,https://oecd.ai/ai-principles/,OECD,EU|OECD|US-NIST,yes,round20-v1
U15,2,How should neurorights be mapped onto technical audit items?,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,EU,https://doi.org/10.6028/NIST.AI.600-1,US-NIST,https://oecd.ai/ai-principles/,OECD,EU|OECD|US-NIST,yes,round20-v1
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,EU,https://doi.org/10.6028/NIST.AI.600-1,US-NIST,https://oecd.ai/ai-principles/,OECD,EU|OECD|US-NIST,yes,round20-v1
U15,4,How should stop conditions and update conditions be governed as technology evolves?,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,EU,https://doi.org/10.6028/NIST.AI.600-1,US-NIST,https://oecd.ai/ai-principles/,OECD,EU|OECD|US-NIST,yes,round20-v1
