uid,rq_index,rq_text,reopen_trigger_ja,watch_priority,reopen_check_window_hours,required_new_evidence_ja,temporary_status_ja,reopen_decision_owner,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,New revision line added to definition word,high,24,Revised line difference and heading difference,closed_watch,U12_monitor_owner,2026-03-01T17:49:30Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",The current language version has been updated and the starting branch correspondence has changed.,high,24,New version of current word comparison table and clause heading differences,closed_watch,U12_monitor_owner,2026-03-01T17:49:30Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,Detect new condition words with clause extraction,high,12,Official clause difference and conditional difference log,hold_watch,U12_monitor_owner,2026-03-01T17:49:30Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,Add audit word or change connective word definition,medium,24,Conjunction word list new edition and audit word difference,closed_watch,U12_monitor_owner,2026-03-01T17:49:30Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",Add adopted words to synonym normalization table,medium,24,New version of synonym table and judgment differences,closed_watch,U12_monitor_owner,2026-03-01T17:49:30Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",The notation generation has been updated and old words have been abolished.,medium,24,New version comparing old and new notation and trail update log,closed_watch,U12_monitor_owner,2026-03-01T17:49:30Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",Revised legal text definition line,low,48,Legal text definition differences and revision date updated,closed_watch,U15_monitor_owner,2026-03-01T17:49:30Z
U15,2,How should neurorights be mapped onto technical audit items?,Update of map word granularity rules,medium,24,Particle size correspondence table new edition and update date comparison,closed_watch,U15_monitor_owner,2026-03-01T17:49:30Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",Extraction of three common requirements changed to establishment,high,12,New version of requirements by jurisdiction and differences in three requirements tables,hold_watch,U15_monitor_owner,2026-03-01T17:49:30Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,Periodic words are newly added on the official side,medium,24,New version of periodic word extraction and difference in stopping conditions,closed_watch,U15_monitor_owner,2026-03-01T17:49:30Z
