uid,rq_index,rq_text,round6_status,round6_added_sources,round6_takeaway,next_internal_change,external_dependency
U13,1,Can brain-to-text success be broken down into ``semantic restoration'' and ``causal reproduction''?,done,https://doi.org/10.1038/s41593-023-01304-9 | https://doi.org/10.1016/j.celrep.2024.114924,It is necessary to evaluate semantic agreement and causal agreement separately.,Added draft mock-up isolation bench design to verification.md,"Person in charge: ML evaluation team, Prerequisite: Controlled experiment design, Completion condition: Unified bench publication"
U13,2,How to connect LLM's hallucination/consistency test to neural decoding evaluation.,done,https://arxiv.org/abs/2506.22486 | https://doi.org/10.1609/aaai.v39i27.35124,"Hallucination testing is effective, but it is not a substitute for causal preservation.",Added draft mock-up isolation bench design to verification.md,"Person in charge: ML evaluation team, Prerequisite: Controlled experiment design, Completion condition: Unified bench publication"
U13,3,How can we detect cases where the internal mechanism is different even though the output is the same?,done,https://doi.org/10.1038/s42256-020-00257-z | https://doi.org/10.1609/aaai.v39i27.35124,Shortcut auditing is required for problems with the same output and different mechanisms.,Added draft mock-up isolation bench design to verification.md,"Person in charge: ML evaluation team, Prerequisite: Controlled experiment design, Completion condition: Unified bench publication"
U13,4,To what extent can the upper limit of imitation performance be suppressed by causal evaluation?,done,https://doi.org/10.1609/aaai.v39i17.33998 | https://doi.org/10.1016/j.knosys.2025.113565,Passing decisions based on imitation scores alone should be avoided.,Added draft mock-up isolation bench design to verification.md,"Person in charge: ML evaluation team, Prerequisite: Controlled experiment design, Completion condition: Unified bench publication"
U13,5,"When the same decoder is used for visual perception and visual recall, where do the patterns of deterioration in semantic restoration accuracy diverge?",done,https://doi.org/10.1109/EMBC58623.2025.11251641 | https://doi.org/10.1109/EMBC53108.2024.10782730,Perception/recall branch points can be compared using the same decoder.,Added draft mock-up isolation bench design to verification.md,"Person in charge: ML evaluation team, Prerequisite: Controlled experiment design, Completion condition: Unified bench publication"
U13,6,"How to design a control experiment to separately detect prompt induction, data leaks, and shortcut learning.",done,https://arxiv.org/abs/2506.22486 | https://doi.org/10.1038/s42256-020-00257-z,"Leakage, induction, and shortcuts should be detected separately under control conditions.",Added draft mock-up isolation bench design to verification.md,"Person in charge: ML evaluation team, Prerequisite: Controlled experiment design, Completion condition: Unified bench publication"
U14,1,To what extent do you require fixed granularity of data/code/evaluation environment?,done,https://doi.org/10.1016/j.jneumeth.2023.109931 | https://doi.org/10.1038/s41597-024-03559-8,Supplementary tests without predefining a fixed particle size are unstable.,Add supplementary exam failure registry template to issue.md,"Person in charge: Reproducibility WG, Prerequisite: Container operation agreement, Completion condition: Regular publication of supplementary test report"
U14,2,How to operationally separate exploratory research and validation research.,done,https://doi.org/10.7554/eLife.85980 | https://doi.org/10.1001/jama.2025.13350,Exploration and verification should be separated into report templates.,Add supplementary exam failure registry template to issue.md,"Person in charge: Reproducibility WG, Prerequisite: Container operation agreement, Completion condition: Regular publication of supplementary test report"
U14,3,"How to audit leaks, overfitting, and reporting bias on leaderboards.",done,https://doi.org/10.1038/s41597-023-02614-0 | https://doi.org/10.1002/epi4.12704,It is necessary to separate leak audits and external test deviation audits.,Add supplementary exam failure registry template to issue.md,"Person in charge: Reproducibility WG, Prerequisite: Container operation agreement, Completion condition: Regular publication of supplementary test report"
U14,4,How to integrate the Model Card/Dataset Card into the evaluation contract.,done,https://bids-specification.readthedocs.io/en/stable/ | https://zenodo.org/records/18201723,Accountability increases with Model/Dataset Card contract integration.,Add supplementary exam failure registry template to issue.md,"Person in charge: Reproducibility WG, Prerequisite: Container operation agreement, Completion condition: Regular publication of supplementary test report"
U14,5,How to publish failed reproduction cases as a negative example registry and operate the retry cycle.,done,https://doi.org/10.1016/j.jneumeth.2023.109931 | https://doi.org/10.7554/eLife.85980,"Without a negative example registry, failures will recur.",Add supplementary exam failure registry template to issue.md,"Person in charge: Reproducibility WG, Prerequisite: Container operation agreement, Completion condition: Regular publication of supplementary test report"
