uid,rq_index,rq_text,metric_candidates,data_assets,next_internal_change,external_dependency,primary_sources,evidence_confidence
U0,1,"When identity judgment is separated into ""observation matching"" and ""intervention response matching"", which one should be regarded as a necessary or sufficient condition?",Intervention agreement rate; counterfactual agreement rate; long-term drift rate; intervention effect size; do estimation error,Repeated measurement of the same subject (behavior + EEG),Add identity determination template to research_harvest_50.md,"Person in charge: Legal/Ethics WG, Prerequisite: Agree on responsibility policy at the time of branching, Completion condition: Approval of Judgment Terms v1",https://doi.org/10.1017/9781009486309.002 | https://doi.org/10.2139/ssrn.4560723 | https://doi.org/10.1007/s11229-024-04744-3,"Medium (centered on theory, lack of experimental bench)"
U0,2,"How to fix the correspondence between time synchronization (in ms) and state expression (behavior, neural activity, physiology).",Intervention matching rate; counterfactual matching rate; long-term drift rate; time lag (ms); jitter variance,Repeated measurement of the same subject (behavior + EEG),Add identity determination template to research_harvest_50.md,"Person in charge: Legal/Ethics WG, Prerequisite: Agree on responsibility policy at the time of branching, Completion condition: Approval of Judgment Terms v1",https://doi.org/10.1017/9781009486309.002 | https://doi.org/10.2139/ssrn.4560723 | https://doi.org/10.1007/s11229-024-04744-3,"Medium (centered on theory, lack of experimental bench)"
U0,3,How to set the threshold for identity judgment for each task and how to exclude overfitting models.,Intervention agreement rate; counterfactual agreement rate; long-term drift rate; threshold sensitivity; ROC-AUC; exclusion decision agreement rate; data retention rate,Repeated measurement of the same subject (behavior + EEG),Add identity determination template to research_harvest_50.md,"Person in charge: Legal/Ethics WG, Prerequisite: Agree on responsibility policy at the time of branching, Completion condition: Approval of Judgment Terms v1",https://doi.org/10.1017/9781009486309.002 | https://doi.org/10.2139/ssrn.4560723 | https://doi.org/10.1007/s11229-024-04744-3,"Medium (centered on theory, lack of experimental bench)"
U0,4,"Which evaluation axis should be used to determine the definition of ""same individual"" in the case of divergence/duplication?",Intervention matching rate; Counterfactual matching rate; Long-term drift rate; ID collision rate; Responsibility tracking rate,Repeated measurement of the same subject (behavior + EEG),Add identity determination template to research_harvest_50.md,"Person in charge: Legal/Ethics WG, Prerequisite: Agree on responsibility policy at the time of branching, Completion condition: Approval of Judgment Terms v1",https://doi.org/10.1017/9781009486309.002 | https://doi.org/10.2139/ssrn.4560723 | https://doi.org/10.1007/s11229-024-04744-3,"Medium (centered on theory, lack of experimental bench)"
U1,1,Which prior distribution should be used to control ill-posedness in EEG/MEG inverse problems?,Position error (mm); Posterior distribution width; Inter-method agreement rate,EEG/MEG public data (comparison between subjects possible),Created a new inverse problem bench table and added a MNE/beamformer/Champagne comparison column.,"Person in charge: Measurement team, Prerequisite: Conductivity estimation procedure finalized, Completion condition: Common evaluation script released",https://doi.org/10.1109/JSEN.2024.3502917 | https://doi.org/10.1088/1361-6420/acf9c6 | https://doi.org/10.1088/2057-1976/aca20b | https://doi.org/10.1088/2632-2153/aded57,"Medium to high (abundant methodologies, lack of cross-sectional benches)"
U1,2,"How to propagate uncertainties in cranial conductivity, electrode placement, and noise structure to estimated uncertainties.",Position error (mm); Posterior distribution width; Inter-method agreement rate,EEG/MEG public data (comparison between subjects possible),Created a new inverse problem bench table and added a MNE/beamformer/Champagne comparison column.,"Person in charge: Measurement team, Prerequisite: Conductivity estimation procedure finalized, Completion condition: Common evaluation script released",https://doi.org/10.1109/JSEN.2024.3502917 | https://doi.org/10.1088/1361-6420/acf9c6 | https://doi.org/10.1088/2057-1976/aca20b | https://doi.org/10.1088/2632-2153/aded57,"Medium to high (abundant methodologies, lack of cross-sectional benches)"
U1,3,"How to set the decision rule when different inverse solution methods (MNE, beamformer, Champagne, etc.) differ for the same data.",Position error (mm); Posterior distribution width; Inter-method agreement rate,EEG/MEG public data (comparison between subjects possible),Created a new inverse problem bench table and added a MNE/beamformer/Champagne comparison column.,"Person in charge: Measurement team, Prerequisite: Conductivity estimation procedure finalized, Completion condition: Common evaluation script released",https://doi.org/10.1109/JSEN.2024.3502917 | https://doi.org/10.1088/1361-6420/acf9c6 | https://doi.org/10.1088/2057-1976/aca20b | https://doi.org/10.1088/2632-2153/aded57,"Medium to high (abundant methodologies, lack of cross-sectional benches)"
U1,4,Should the publication criteria include confidence intervals/backward distributions in addition to estimates?,Position error (mm); Posterior distribution width; Inter-method agreement rate,EEG/MEG public data (comparison between subjects possible),Created a new inverse problem bench table and added a MNE/beamformer/Champagne comparison column.,"Person in charge: Measurement team, Prerequisite: Conductivity estimation procedure finalized, Completion condition: Common evaluation script released",https://doi.org/10.1109/JSEN.2024.3502917 | https://doi.org/10.1088/1361-6420/acf9c6 | https://doi.org/10.1088/2057-1976/aca20b | https://doi.org/10.1088/2632-2153/aded57,"Medium to high (abundant methodologies, lack of cross-sectional benches)"
U3,1,How can we measure the predictive improvement when adding glial/humoral regulation to a neuron-centered model?,Prediction improvement rate (ΔR2); extrapolation performance; component ablation loss,connectome + behavioral simultaneous measurement set,Add element addition ablation plan to datasets.md,"Person in charge: Experimental team, Prerequisite: Glial/immunoassay system, Completion condition: Publication of effect size for each component",https://www.nature.com/articles/s41586-023-06808-9 | https://pubmed.ncbi.nlm.nih.gov/39902809/ | https://pubmed.ncbi.nlm.nih.gov/38762094/ | https://doi.org/10.3390/biomedicines14020409,"Medium (high structural data, ununiformed functional connectivity)"
U3,2,How can we compare the relationship between connectome completeness and functional prediction performance across species?,Prediction improvement rate (ΔR2); extrapolation performance; component ablation loss,connectome + behavioral simultaneous measurement set,Add element addition ablation plan to datasets.md,"Person in charge: Experimental team, Prerequisite: Glial/immunoassay system, Completion condition: Publication of effect size for each component",https://www.nature.com/articles/s41586-023-06808-9 | https://pubmed.ncbi.nlm.nih.gov/39902809/ | https://pubmed.ncbi.nlm.nih.gov/38762094/ | https://doi.org/10.3390/biomedicines14020409,"Medium (high structural data, ununiformed functional connectivity)"
