uid,rq_index,rq_text,round2_status,round2_added_sources,round2_takeaway,next_internal_change,external_dependency
U0,1,"When identity judgment is separated into ""observation matching"" and ""intervention response matching"", which one should be regarded as a necessary or sufficient condition?",done,https://doi.org/10.31219/osf.io/sr7cf | https://arxiv.org/abs/2510.15745,Observational agreement alone is not sufficient; intervention agreement must be evaluated separately.,Add identity determination template to research_harvest_50.md,"Person in charge: Legal/Ethics WG, Prerequisite: Agree on responsibility policy at the time of branching, Completion condition: Approval of Judgment Terms v1"
U0,2,"How to fix the correspondence between time synchronization (in ms) and state expression (behavior, neural activity, physiology).",done,https://doi.org/10.1093/acprof:oso/9780198754855.003.0013 | https://doi.org/10.1017/9781009367059.009,It is practical to manage technical items for ms synchronization and theoretical items for identity determination separately.,Add identity determination template to research_harvest_50.md,"Person in charge: Legal/Ethics WG, Prerequisite: Agree on responsibility policy at the time of branching, Completion condition: Approval of Judgment Terms v1"
U0,3,How to set the threshold for identity judgment for each task and how to exclude overfitting models.,done,https://doi.org/10.1007/s11229-024-04744-3 | https://doi.org/10.2139/ssrn.2596460,Identity claims that do not disclose threshold sensitivity have poor reproducibility.,Add identity determination template to research_harvest_50.md,"Person in charge: Legal/Ethics WG, Prerequisite: Agree on responsibility policy at the time of branching, Completion condition: Approval of Judgment Terms v1"
U0,4,"Which evaluation axis should be used to determine the definition of ""same individual"" in the case of divergence/duplication?",done,https://doi.org/10.1017/9781009486309.002 | https://doi.org/10.1016/j.patter.2023.100861,"In branch cases, ID collision rate and responsibility tracking rate should be defined first.",Add identity determination template to research_harvest_50.md,"Person in charge: Legal/Ethics WG, Prerequisite: Agree on responsibility policy at the time of branching, Completion condition: Approval of Judgment Terms v1"
U1,1,Which prior distribution should be used to control ill-posedness in EEG/MEG inverse problems?,done,https://pubmed.ncbi.nlm.nih.gov/38545514/ | https://doi.org/10.1109/JSEN.2024.3502917,There is a strong trend to make estimation with uncertainty (posterior distribution) the standard output.,Created a new inverse problem bench table and added a MNE/beamformer/Champagne comparison column.,"Person in charge: Measurement team, Prerequisite: Conductivity estimation procedure finalized, Completion condition: Common evaluation script released"
U1,2,"How to propagate uncertainties in cranial conductivity, electrode placement, and noise structure to estimated uncertainties.",done,https://pubmed.ncbi.nlm.nih.gov/38532791/ | https://pubmed.ncbi.nlm.nih.gov/41308490/,It was reconfirmed that conductivity uncertainty greatly affects the estimation error.,Created a new inverse problem bench table and added a MNE/beamformer/Champagne comparison column.,"Person in charge: Measurement team, Prerequisite: Conductivity estimation procedure finalized, Completion condition: Common evaluation script released"
U1,3,"How to set the decision rule when different inverse solution methods (MNE, beamformer, Champagne, etc.) differ for the same data.",done,https://doi.org/10.1109/SAMPTA64769.2025.11133512 | https://pubmed.ncbi.nlm.nih.gov/39423516/,"Deviations in methodologies are difficult to avoid, and it is necessary to clearly state the rules for arbitration.",Created a new inverse problem bench table and added a MNE/beamformer/Champagne comparison column.,"Person in charge: Measurement team, Prerequisite: Conductivity estimation procedure finalized, Completion condition: Common evaluation script released"
U1,4,Should the publication criteria include confidence intervals/backward distributions in addition to estimates?,done,https://doi.org/10.1088/2057-1976/aca20b | https://pubmed.ncbi.nlm.nih.gov/41411682/,Publication of confidence intervals/backward distributions is almost a de facto requirement.,Created a new inverse problem bench table and added a MNE/beamformer/Champagne comparison column.,"Person in charge: Measurement team, Prerequisite: Conductivity estimation procedure finalized, Completion condition: Common evaluation script released"
U3,1,How can we measure the predictive improvement when adding glial/humoral regulation to a neuron-centered model?,done,https://pubmed.ncbi.nlm.nih.gov/39902809/ | https://pubmed.ncbi.nlm.nih.gov/40280131/,"The additional effects of glial elements are task-dependent, and effect size management is required.",Add element addition ablation plan to datasets.md,"Person in charge: Experimental team, Prerequisite: Glial/immunoassay system, Completion condition: Publication of effect size for each component"
U3,2,How can we compare the relationship between connectome completeness and functional prediction performance across species?,done,https://www.nature.com/articles/s41586-023-06808-9 | https://pubmed.ncbi.nlm.nih.gov/40703192/,"Although structural data has advanced, the scale of functional comparison across species has not been unified.",Add element addition ablation plan to datasets.md,"Person in charge: Experimental team, Prerequisite: Glial/immunoassay system, Completion condition: Publication of effect size for each component"
U3,3,How can we quantify the functions lost in a model in which the body-environment coupling is removed?,done,https://pubmed.ncbi.nlm.nih.gov/39163862/ | https://pubmed.ncbi.nlm.nih.gov/39172838/,There is increasing evidence that cognitive predictions become unstable when metabolic and physical conditions are removed.,Add element addition ablation plan to datasets.md,"Person in charge: Experimental team, Prerequisite: Glial/immunoassay system, Completion condition: Publication of effect size for each component"
