phase,topic,reedit_focus,reedit_trigger,hold_trigger,do_not_reedit,edited_asset,note_line,avoid_point
1,EEG信号品質の限界検証,QC閾値の誤読を減らす表現,閾値差分を短く直すと比較誤読が減る,新旧条件の差がまだ未固定,高次読取りへ誤読される余地が大きい,QC閾値表1枚,品質比較に必要な表現だけ最小再編集する,品質から読心へ飛ばない
1,高密度EEG空間分解能評価,density 利得条件の誤読を減らす表現,限定利得を短く書き換えると局在誤読が減る,密度条件がまだ揺れている,局在証明のように読まれやすい,密度比較図1枚,空間利得の限定条件だけ最小再編集する,局在完成の物語にしない
1,マルチモーダル統合の基礎,同期条件の誤読を減らす表現,同期条件を短く直すと統合誤読が減る,統合条件の更新が未了,統合万能論に読まれやすい,同期条件表1枚,統合利得の限定条件だけ最小再編集する,統合万能論に戻らない
1,ノイズ除去・信号分離手法の比較,既定値候補の誤読を減らす表現,候補手法の書き方を短くすると比較誤読が減る,候補がまだ入れ替わる,最強法ランキングに読まれやすい,前処理比較表1枚,既定値候補の説明だけ最小再編集する,最強法探しへ戻らない
1,長時間記録の安定性評価,usable window の誤読を減らす表現,運用区間の書き方を短くすると万能性誤読が減る,再校正条件の更新が未了,長時間記録の万能性に読まれやすい,安定区間図1枚,運用区間の説明だけ最小再編集する,長時間夢想に戻らない
2,デコーディング精度ベンチマーク,baseline 差分の誤読を減らす表現,比較軸を短く直すと精度競争誤読が減る,比較対象の揺れが残る,精度競争の宣伝に使われやすい,benchmark 比較表1枚,benchmark 差分の説明だけ最小再編集する,精度競争に戻らない
2,クロスデータセット汎化,gap 原因整理の誤読を減らす表現,原因候補を短く直すと汎化誤読が減る,schema 調整が未固定,どこでも通用と誤読されやすい,gap 比較表1枚,gap 原因の説明だけ最小再編集する,どこでも通用と語らない
2,リアルタイムデコーディング,遅延条件の誤読を減らす表現,遅延差分を短く直すと online 誤読が減る,遅延条件がまだ揺れる,true online 成功と誤読されやすい,遅延比較図1枚,遅延条件の説明だけ最小再編集する,true online 成功談へ戻らない
2,Foundation Modelの適用,限定利得の誤読を減らす表現,利得条件を短く直すと万能論誤読が減る,利得が task 依存で未固定,基盤モデル万能論に使われやすい,probe 比較表1枚,限定利得の説明だけ最小再編集する,基盤モデル万能論に戻らない
2,運動意図デコーディング,cross-subject 差分の誤読を減らす表現,被験者間差分を短く直すと誇大解釈が減る,被験者差がまだ揺れる,操作一般知能の話へ飛ばれやすい,MI比較表1枚,被験者間差分の説明だけ最小再編集する,操作一般知能の話へ飛ばない
2,感覚知覚デコーディング,成立条件の誤読を減らす表現,知覚条件を短く直すと過大解釈が減る,刺激条件差が未固定,知覚全再構成に誤読されやすい,成立条件表1枚,成立条件の説明だけ最小再編集する,知覚全再構成の話にしない
2,言語/意味デコーディング,語彙条件の誤読を減らす表現,限定条件を短く直すと意味読取り誤読が減る,語彙境界が未固定,意味読取りの強弁に使われやすい,語彙条件表1枚,語彙条件の説明だけ最小再編集する,意味読取りの強弁に戻らない
3,感情状態の推定・分類,感情ラベル条件の誤読を減らす表現,被験者間条件を短く直すと読心誤読が減る,ラベル差が未固定,心の読心に誤読されやすい,感情比較表1枚,感情ラベル条件の説明だけ最小再編集する,心の読心へ飛ばない
3,記憶のエンコーディング/検索,task 差分の誤読を減らす表現,差分条件を短く直すと復元誤読が減る,課題条件が未固定,記憶内容復元に誤読されやすい,差分図1枚,task 差分の説明だけ最小再編集する,記憶内容復元の話にしない
3,注意・ワーキングメモリ,workload 指標範囲の誤読を減らす表現,usable 範囲を短く直すと万能指標誤読が減る,window 条件が未固定,万能な集中度指標に誤読されやすい,負荷比較表1枚,usable 範囲の説明だけ最小再編集する,万能な集中度指標にしない
3,意思決定過程,選好 proxy の誤読を減らす表現,限定条件を短く直すと決着誤読が減る,task 依存が未固定,自由意志の決着に誤読されやすい,条件比較図1枚,限定条件の説明だけ最小再編集する,自由意志の決着にしない
3,社会的認知,対人 proxy 条件の誤読を減らす表現,条件論点を短く直すと一般論誤読が減る,課題条件が未固定,対人理解の一般論に誤読されやすい,条件メモ1枚,対人 proxy 条件だけ最小再編集する,対人理解の一般論に飛ばない
3,創造性・問題解決,task 差分の誤読を減らす表現,proxy 差分を短く直すと本質説明誤読が減る,proxy 候補が未固定,創造性の本質説明に使われやすい,task 比較表1枚,task 差分の説明だけ最小再編集する,創造性の本質説明にしない
3,主観的経験の定量化,自己報告対応の誤読を減らす表現,対応条件を短く直すと断言誤読が減る,rating 条件が未固定,クオリア測定の断言に使われやすい,対応表1枚,対応条件の説明だけ最小再編集する,クオリア測定の断言にしない
4,意識の神経相関（NCC）定量化,boundary proxy の誤読を減らす表現,限定条件を短く直すと本質誤読が減る,proxy 条件が未固定,意識の本質説明に誤読されやすい,boundary 図1枚,boundary proxy の説明だけ最小再編集する,意識の本質説明にしない
4,意識状態の分類（覚醒/睡眠/麻酔/DoC）,state 分類条件の誤読を減らす表現,benchmark 条件を短く直すと人格誤読が減る,評価条件が未固定,人格や本人性に誤読されやすい,分類比較表1枚,state 分類条件の説明だけ最小再編集する,人格や本人性へ飛ばない
4,統合情報理論(IIT)の実証的検証,複雑性 proxy の誤読を減らす表現,算出条件を短く直すと理論決着誤読が減る,算出条件が未固定,理論決着に誤読されやすい,proxy 比較表1枚,proxy 条件の説明だけ最小再編集する,理論決着の話にしない
4,Global Workspace Theory の検証,ignition proxy 条件の誤読を減らす表現,成立条件を短く直すと理論証明誤読が減る,task 条件が未固定,理論証明に誤読されやすい,成立条件表1枚,成立条件の説明だけ最小再編集する,理論証明の話にしない
4,意識の連続性と同一性,縦断 proxy の誤読を減らす表現,個人内条件を短く直すと同一性誤読が減る,縦断条件が未固定,同一性証明に誤読されやすい,安定性図1枚,縦断 proxy の説明だけ最小再編集する,同一性証明にすり替えない
4,mind-upload可能性の理論的枠組み,検証可能域整理の誤読を減らす表現,停止条件を短く直すと実現証明誤読が減る,停止条件が未固定,実現証明の物語に使われやすい,クレーム階段表1枚,検証可能域整理の説明だけ最小再編集する,実現証明の物語にしない
