phase,topic,ban_focus,avoid_phrase,replace_with,ban_trigger,do_not_ban,note_line,avoid_point
1,EEG信号品質の限界検証,品質限界を越えて言い過ぎる表現,読心に近づいた,QC境界を整理した,品質差が高次読取りへ誤読されうる,比喩ではなく誤読防止の注記が必要,品質系では読心連想語を避けてQC境界に言い換える,品質から読心へ飛ばない
1,高密度EEG空間分解能評価,局在を言い過ぎる表現,局在を証明した,限定的な空間利得を示した,密度差分が局在完成へ誤読されうる,解像度比較そのものを説明する文脈,空間分解能では局在証明語を避けて限定利得に言い換える,局在完成の物語にしない
1,マルチモーダル統合の基礎,統合を言い過ぎる表現,統合で全部分かる,同期条件を整理した,統合万能論に誤読されうる,単なるモダリティ結合の説明,統合系では万能語を避けて同期条件整理に言い換える,統合万能論に戻らない
1,ノイズ除去・信号分離手法の比較,優劣を言い過ぎる表現,最強の前処理法,既定値候補の一つ,ランキング語が誤読を増やす,比較表の列名として順位が必要,前処理系では最強語を避けて候補語に言い換える,最強法探しへ戻らない
1,長時間記録の安定性評価,長時間性を言い過ぎる表現,長時間でも問題ない,usable window がある,万能運用に誤読されうる,限定条件つきの運用説明,長時間運用では万能語を避けてusable windowに言い換える,長時間夢想に戻らない
2,デコーディング精度ベンチマーク,勝敗を言い過ぎる表現,圧勝した,比較条件下で差が出た,精度競争の宣伝に誤読されうる,単なる順位表の読み上げ,benchmarkでは勝敗語を避けて条件差分に言い換える,精度競争に戻らない
2,クロスデータセット汎化,汎化を言い過ぎる表現,どこでも通用する,gap 要因が一部整理できた,普遍汎化に誤読されうる,既知データ範囲の限定説明,汎化系では普遍語を避けてgap整理に言い換える,どこでも通用と語らない
2,リアルタイムデコーディング,オンライン性を言い過ぎる表現,true online が完成した,replay 条件で遅延を整理した,本番 online 成功に誤読されうる,厳密に online 実験を指す文脈,リアルタイム系では完成語を避けて遅延整理に言い換える,true online 成功談にしない
2,Foundation Modelの適用,万能性を言い過ぎる表現,基盤モデルで全部解ける,限定 task で利得がある,万能論に誤読されうる,モデル族名そのものを述べる文脈,FM系では全部解ける語を避けて限定利得に言い換える,基盤モデル万能論に戻らない
2,運動意図デコーディング,一般性を言い過ぎる表現,誰の意図でも読める,被験者差分が残る,一般運動意図読取りに誤読されうる,被験者横断性を論じる文脈,運動意図系では誰でも語を避けて被験者差分に言い換える,操作一般知能の話へ飛ばない
2,感覚知覚デコーディング,再構成を言い過ぎる表現,知覚をそのまま再現した,刺激条件つきで識別が成立した,全再構成に誤読されうる,刺激識別の狭い説明,知覚系では再現語を避けて条件つき成立に言い換える,知覚全再構成の話にしない
2,言語/意味デコーディング,思考読取りを言い過ぎる表現,考えていることが読める,語彙条件つきで差が出る,全文読心に誤読されうる,語彙条件の狭い説明,言語系では読める語を避けて語彙条件差に言い換える,全文読心の話へ飛ばない
3,感情状態の推定・分類,内心確定を言い過ぎる表現,本当の感情が分かる,ラベル条件つきで分類した,内心断定に誤読されうる,自己報告ラベルの説明,感情系では本当の感情語を避けて条件つき分類に言い換える,感情断定の話にしない
3,記憶のエンコーディング/検索,内容読取りを言い過ぎる表現,記憶内容を読んだ,encoding 条件差を見た,記憶内容読取りに誤読されうる,encoding/search の差分説明,記憶系では内容読取り語を避けて条件差に言い換える,記憶内容読取りの話へ飛ばない
3,注意・ワーキングメモリ,監視を言い過ぎる表現,集中力を常時監視できる,負荷差分を見た,全面監視に誤読されうる,負荷操作の説明,WM系では常時監視語を避けて負荷差分に言い換える,全面監視の話にしない
3,意思決定過程,判定を言い過ぎる表現,自由意思を判定できる,段階差分を見た,自由意思判定に誤読されうる,段階差の説明,意思決定系では判定語を避けて段階差分に言い換える,自由意思判定の話へ飛ばない
3,社会的認知,他者理解を言い過ぎる表現,相手の心が読める,課題条件つき差分がある,他者理解読取りに誤読されうる,task 依存性の説明,社会認知系では心が読める語を避けてtask差分に言い換える,心の読み過ぎ物語にしない
3,創造性・問題解決,創造性断定を言い過ぎる表現,創造性を測定できる,proxy 指標に差がある,創造性断定に誤読されうる,proxy 指標の説明,創造性系では測定できる語を避けてproxy差分に言い換える,創造性断定の話にしない
3,主観的経験の定量化,主観読取りを言い過ぎる表現,主観を直接読める,自己報告対応範囲を見た,主観直接読取りに誤読されうる,自己報告対応の説明,主観系では直接読める語を避けて対応範囲に言い換える,主観の直接読取りにしない
4,意識の神経相関（NCC）定量化,本質証明を言い過ぎる表現,意識の本質を示した,NCC 候補条件を整理した,本質証明に誤読されうる,候補指標の説明,NCC系では本質語を避けて候補条件整理に言い換える,本質証明の話にしない
4,意識状態の分類（覚醒/睡眠/麻酔/DoC）,単一尺度を言い過ぎる表現,意識を一つの値で測れる,state 境界を整理した,単一尺度神話に誤読されうる,分類境界の説明,state系では一つの値語を避けて境界整理に言い換える,単一尺度神話にしない
4,統合情報理論(IIT)の実証的検証,決着を言い過ぎる表現,IIT が正しいと示した,proxy の限界を整理した,理論決着に誤読されうる,proxy 指標の説明,IIT系では正しいと示した語を避けてproxy限界に言い換える,理論決着を語らない
4,Global Workspace Theory の検証,勝敗を言い過ぎる表現,GWT が勝った,workspace proxy 条件を整理した,理論の勝敗に誤読されうる,proxy 条件の説明,GWT系では勝敗語を避けてproxy条件整理に言い換える,理論の勝敗表にしない
4,意識の連続性と同一性,人格測定を言い過ぎる表現,人格の同一性を測れた,連続性 proxy の有効域を整理した,人格同一性測定に誤読されうる,proxy 有効域の説明,連続性系では人格測定語を避けて有効域整理に言い換える,人格同一性測定の話にしない
4,mind-upload可能性の理論的枠組み,実証済みを言い過ぎる表現,mind-upload は実証された,EEG 単独の非到達域を整理した,実証済みの空気を生む,将来可能性の理論検討,mind-upload系では実証語を避けて非到達域整理に言い換える,実証済みの空気を作らない
