phase,topic,opening_line,checkpoint_1,checkpoint_2,first_asset,first_bridge,avoid_point
1,"EEG信号品質の限界検証","年度の最初は 既存の品質閾値表を崩さず追加データ1本だけで更新します","品質閾値が新規データでも保たれるか","失敗条件を増やさず更新できるか","品質閾値表の更新版","QC benchmark 更新へ接続する","品質から高次読取りへ飛ばない"
1,"高密度EEG空間分解能評価","年度の最初は 電極密度比較図を再生成して必要十分条件だけ確認します","密度比較図が同条件で再生成できるか","頭打ち条件を短文で維持できるか","電極密度比較図の更新版","測定標準条件の更新へ接続する","局在技術の完成と語らない"
1,"マルチモーダル統合の基礎","年度の最初は 同期条件つき最小統合利得を限定課題1本で再確認します","同期監査条件が維持されるか","unimodal 比較が残るか","同期条件比較表の更新版","限定 multimodal benchmark 更新へ接続する","統合万能論にしない"
1,"ノイズ除去・信号分離手法の比較","年度の最初は 前処理比較表を既定値候補だけで更新します","品質指標と下流性能の両方が残るか","失敗例を削らず更新できるか","前処理比較表の更新版","標準前処理提案の更新へ接続する","最強法探しへ戻らない"
1,"長時間記録の安定性評価","年度の最初は 安定区間図を長時間条件1本だけで更新します","崩れ始め地点が同様に観測されるか","再校正境目を短文で維持できるか","安定区間比較図の更新版","長時間運用 benchmark 更新へ接続する","完全追跡の話にしない"
2,"デコーディング精度ベンチマーク","年度の最初は 共通 baseline 表を新規1データ追加で更新します","統一 split と metric が維持されるか","failure mode が残るか","共通 baseline 表の更新版","公開 benchmark commons 更新へ接続する","最高精度競争に戻らない"
2,"クロスデータセット汎化","年度の最初は 汎化 gap 表を共通ラベル空間だけで更新します","within と across の差が保たれるか","例外条件を増やしすぎていないか","汎化 gap 比較表の更新版","汎化条件付き benchmark 更新へ接続する","どこでも通用と語らない"
2,"リアルタイムデコーディング","年度の最初は 遅延と精度の折り合い図を低遅延条件1本で更新します","擬似リアルタイム条件が守られるか","誤警報率が残るか","遅延精度折り合い図の更新版","軽量運用条件の比較更新へ接続する","完成システムとして語らない"
2,"Foundation Modelの適用","年度の最初は 転移比較表を既存 baseline の上で追加評価1本だけ回します","OOD 条件が維持されるか","転移利得が再現されるか","表現転移比較表の更新版","自己教師あり再現比較の更新へ接続する","基盤モデル完成と言わない"
2,"運動意図デコーディング","年度の最初は 被験者外 baseline を追加比較1本で更新します","被験者外条件が維持されるか","session 外との差が残るか","MI baseline 表の更新版","MI benchmark 更新へ接続する","普遍的読取りにしない"
2,"感覚知覚デコーディング","年度の最初は 限定知覚課題の比較表を ERP か SSVEP のどちらか1系統で更新します","課題 family の区別が保たれるか","誤分類条件が残るか","知覚課題比較表の更新版","限定課題の再現比較へ接続する","知覚全体復元と書かない"
2,"言語/意味デコーディング","年度の最初は 成立する最小単位の比較表をラベル定義そのままで更新します","最小単位の定義が維持されるか","思考読取りに見える表現を切れるか","最小単位比較表の更新版","言語 EEG の限定課題整理へ接続する","思考解読にしない"
3,"感情状態の推定・分類","年度の最初は 粗い状態分類の比較表を主観ラベル軸そのままで更新します","被験者外頑健性が残るか","カテゴリ拡張を止められるか","感情ラベル頑健性表の更新版","粗い状態分類 benchmark 更新へ接続する","感情断定にしない"
3,"記憶のエンコーディング/検索","年度の最初は 成績関連 proxy 表を成功失敗軸そのままで更新します","安定 proxy が再現されるか","内容読出しの表現を避けられるか","記憶 proxy 比較表の更新版","記憶課題 benchmark 更新へ接続する","記憶内容を読む話にしない"
3,"注意・ワーキングメモリ","年度の最初は 負荷 proxy 束を drift 条件つきで更新します","複数 proxy が残るか","単一スコア化していないか","負荷 proxy 比較表の更新版","負荷評価の再現比較へ接続する","万能指標にしない"
3,"意思決定過程","年度の最初は proxy と除外解釈の表を小課題1本で更新します","proxy と除外線が維持されるか","理論全体へ飛んでいないか","意思決定 proxy 表の更新版","小さな過程変数比較へ接続する","自由意志論へ流れない"
3,"社会的認知","年度の最初は 最小共同課題の差分表を対象課題1本で更新します","対象課題が狭いままか","失敗条件が残るか","社会課題最小条件表の更新版","小規模 social pilot 更新へ接続する","広い社会性判定にしない"
