uid,rq_index,rq_text,consistency_check_step_1_ja,consistency_check_step_2_ja,consistency_check_step_3_ja,inconsistency_signal_ja,recovery_action_ja,pass_condition_ja,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,Match the summary sentence with the judgment word,Match acceptance criteria to delta ledger,Re-check the base URL and headline,Summary updated but leisure left unchanged,Replace judgment word with reference word and record again,Judgment words match in three sources,2026-03-01T16:32:40Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",Match summary sentences with point-in-time words,Match acceptance criteria and time conditions,Re-match evidence headings and time words,Words at start point and branch point do not match,Normalize point words to start or branch,Time words match in all records,2026-03-01T16:32:40Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,Match summary sentences with conflicting words,Match acceptance criteria and trigger conditions,Re-match evidence headings and conflicting words,trigger word match but difference reason is missing,Add one sentence for the reason for the difference and record again,trigger reason matches with single conclusion,2026-03-01T16:32:40Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,Match summary sentences with conjunctions,Match acceptance criteria to connectivity requirements,Recheck evidence headings and conjunctions,Connection requirement words fluctuate with each record,Unified connection requirement words to KPI connection,Conjunction matches in all records,2026-03-01T16:32:40Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",Match summary sentences with rearranged words,Compare acceptance criteria and audit obligation terms,Re-check evidence headings and rearranged words,Whether or not it can be updated is affected by the difference in synonyms.,Update synonym table to normalize words,The reworded word and the judgment result match,2026-03-01T16:32:40Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",Match summary text with retraction words,Compare acceptance criteria and deprivation conditions,Re-check the evidence heading and retraction terms,"Retraction word matches, but trail items are missing",Complete missing items and re-record,Revocation word and trail item match,2026-03-01T16:32:40Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",Match summary text with legal classification terms,Match acceptance criteria and class definitions,Re-check evidence headings and category words,Jurisdictional language is inconsistent between summary and criteria,Unification of jurisdictional language as the preferred official language,Category words match in all records,2026-03-01T16:32:40Z
U15,2,How should neurorights be mapped onto technical audit items?,Match summary sentences with map words,Match acceptance criteria and mapping conditions,Re-match evidence heading and map word,Judgment fluctuates due to conflicting update dates,Fix priority documents and re-judge,Map word and update date match,2026-03-01T16:32:40Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",Match summary sentences with common requirement words,Compare acceptance criteria and three requirements,Re-check evidence headings and requirement words,The number of common requirements changes from record to record.,Fix and re-record requirements extraction rules,Number of requirements and judgment match,2026-03-01T16:32:40Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,Match summary sentences with stop words,Match acceptance criteria and cycle conditions,Re-match evidence headings and stop words,Stop words match but periodic words are missing,Complete and re-record periodic words,Stop word and period word match,2026-03-01T16:32:40Z
