monitored_url,doc_family,revision_link_label,revision_link_url,http_status,final_url,check_error,last_checked_utc,notes
https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,EU AI Act,EUR-Lex Procedure timeline,https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689,200,https://eur-lex.europa.eu/legal-content/EN/HIS/?uri=CELEX:32024R1689,,2026-03-01T14:25:17Z,Official procedure history (Procedure).
https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,EU AI Act,EU Law Tracker procedure 2021_106,https://eur-lex.europa.eu/procedure/EN/2021_106,200,https://eur-lex.europa.eu/procedure/EN/2021_106,,2026-03-01T14:25:17Z,EUR-Lex procedure number page.
https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,CoE CETS No.225,Treaty Office detail (treatynum=225),https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225,200,https://www.coe.int/en/web/conventions/full-list?module=treaty-detail&treatynum=225,,2026-03-01T14:25:17Z,Treaty details page (gateway to signature/ratification information).
https://book.coe.int/en/texts-of-council-of-europe-treaties/12225-council-of-europe-framework-convention-on-artificial-intelligence-and-human-rights-democracy-and-the-rule-of-law-cets-no-225.html,CoE CETS No.225,Treaty Office recent changes,https://www.coe.int/en/web/conventions/recent-changes,200,https://www.coe.int/en/web/conventions/recent-changes,,2026-03-01T14:25:17Z,Entrance to the monthly updated list.
https://doi.org/10.6028/NIST.AI.600-1,NIST AI RMF GAI Profile,NIST AI RMF Development,https://www.nist.gov/itl/ai-risk-management-framework/ai-rmf-development,200,https://www.nist.gov/itl/ai-risk-management-framework/ai-rmf-development,,2026-03-01T14:25:17Z,Official conduit to draft history and public comments.
https://doi.org/10.6028/NIST.AI.600-1,NIST AI RMF GAI Profile,NIST publication page (600-1),https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence,200,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence,,2026-03-01T14:25:17Z,"Public information, citation information, download guide."
https://oecd.ai/ai-principles/,OECD AI Principles,OECD Legal Instrument OECD-LEGAL-0449,https://legalinstruments.oecd.org/en/instruments/OECD-LEGAL-0449,200,https://legalinstruments.oecd.org/en/instruments/OECD-LEGAL-0449,,2026-03-01T14:25:17Z,Original recommendation text (reference base for update history).
https://oecd.ai/ai-principles/,OECD AI Principles,OECD 2024 update press release,https://www.oecd.org/en/about/news/press-releases/2024/05/oecd-updates-ai-principles-to-stay-abreast-of-rapid-technological-developments.html,200,https://www.oecd.org/en/about/news/press-releases/2024/05/oecd-updates-ai-principles-to-stay-abreast-of-rapid-technological-developments.html,,2026-03-01T14:25:17Z,Official publication of 2024 revision.
https://oecd.ai/ai-principles/,OECD AI Principles,OECD.AI update explainer,https://oecd.ai/en/wonk/evolving-with-innovation-the-2024-oecd-ai-principles-update/,200,https://oecd.ai/en/wonk/evolving-with-innovation-the-2024-oecd-ai-principles-update/,,2026-03-01T14:25:17Z,Explanation of revision points.
https://doi.org/10.1016/j.patter.2023.100861,Patterns article (non-regulatory),No official regulation-history page,,,,N/A,2026-03-01T14:25:17Z,"Since it is not a systematic document, it is not the main target of revision history supplementation."
