phase,topic,year_1_focus,year_2_focus,year_3_focus,long_tail_asset,avoid_point
1,"EEG信号品質の限界検証","品質閾値表を benchmark として更新する","QC 条件の再利用先を増やす","品質基準を公共財として固定する","品質閾値表 失敗条件メモ 再現手順","品質から高次読取りへ飛ばない"
1,"高密度EEG空間分解能評価","密度比較図を標準条件として更新する","測定条件の共有先を広げる","標準条件を公共財として固定する","密度比較図 標準条件メモ 推奨設定表","局在技術の完成と語らない"
1,"マルチモーダル統合の基礎","最小統合利得を限定 benchmark として更新する","同期条件と利用範囲の共有先を広げる","限定統合条件を公共財として固定する","同期条件比較表 利用範囲メモ 条件一覧","統合万能論にしない"
1,"ノイズ除去・信号分離手法の比較","前処理比較表を実務既定値として更新する","既定値候補の再利用先を広げる","標準前処理提案を公共財として固定する","前処理比較表 実務メモ 失敗例一覧","最強法探しへ戻らない"
1,"長時間記録の安定性評価","安定区間図を運用指針として更新する","長時間運用条件の共有先を広げる","運用指針を公共財として固定する","安定区間比較図 運用メモ 再校正条件表","完全追跡の話にしない"
2,"デコーディング精度ベンチマーク","共通 baseline 表を benchmark commons として更新する","比較条件の再利用先を広げる","benchmark commons を公共財として固定する","共通baseline表 更新告知メモ failure mode 一覧","最高精度競争に戻らない"
2,"クロスデータセット汎化","汎化 gap 表を条件付き比較として更新する","条件付き比較の再利用先を広げる","汎化条件表を公共財として固定する","汎化gap比較表 条件メモ 例外条件表","どこでも通用と語らない"
2,"リアルタイムデコーディング","遅延精度図を軽量運用条件として更新する","低遅延条件の共有先を広げる","軽量運用条件を公共財として固定する","遅延精度折り合い図 軽量運用メモ 条件表","完成システムとして語らない"
2,"Foundation Modelの適用","転移比較表を再現比較基盤として更新する","自己教師あり条件の共有先を広げる","表現比較基盤を公共財として固定する","表現転移比較表 比較メモ OOD 条件表","基盤モデル完成と言わない"
2,"運動意図デコーディング","MI baseline 表を被験者外基準として更新する","MI 比較条件の共有先を広げる","MI 基準表を公共財として固定する","MI baseline表 共有メモ 条件表","普遍的読取りにしない"
2,"感覚知覚デコーディング","限定課題比較表を安全域として更新する","課題 family ごとの共有先を広げる","限定課題条件を公共財として固定する","知覚課題比較表 注記 誤分類条件表","知覚全体復元と書かない"
2,"言語/意味デコーディング","最小単位比較表を限定課題整理として更新する","最小単位条件の共有先を広げる","限定課題整理を公共財として固定する","最小単位比較表 整理メモ 除外条件表","思考解読にしない"
3,"感情状態の推定・分類","感情ラベル頑健性表を安全域として更新する","利用範囲の共有先を広げる","安全域整理を公共財として固定する","感情ラベル頑健性表 利用範囲メモ 条件表","感情断定にしない"
3,"記憶のエンコーディング/検索","記憶 proxy 表を追試基盤として更新する","追試条件の共有先を広げる","追試基盤を公共財として固定する","記憶proxy比較表 追試メモ proxy 条件表","記憶内容を読む話にしない"
3,"注意・ワーキングメモリ","負荷 proxy 表を drift 比較として更新する","負荷条件の共有先を広げる","負荷比較基盤を公共財として固定する","負荷proxy比較表 driftメモ 条件表","万能指標にしない"
3,"意思決定過程","意思決定 proxy 表を過程変数比較として更新する","除外解釈の共有先を広げる","比較軸を公共財として固定する","意思決定proxy表 除外解釈メモ 比較条件表","自由意志論へ流れない"
3,"社会的認知","社会課題最小条件表を小規模 pilot として更新する","pilot 条件の共有先を広げる","最小課題条件を公共財として固定する","社会課題最小条件表 追試案メモ 条件表","広い社会性判定にしない"
3,"創造性・問題解決","創造性 proxy 図を教材化可能な比較として更新する","教材利用先を広げる","教材化比較軸を公共財として固定する","創造性proxy図 教材注記 比較条件表","創造性そのものを測れたにしない"
3,"主観的経験の定量化","自己評定対応表を限定尺度比較として更新する","限定尺度の共有先を広げる","対応条件を公共財として固定する","自己評定対応表 利用範囲メモ 条件表","経験の完全定量化と書かない"
4,"意識の神経相関（NCC）定量化","NCC 候補比較図を状態差 proxy として更新する","proxy 条件の共有先を広げる","状態差 proxy 条件を公共財として固定する","NCC候補比較図 条件メモ 比較条件表","意識の正体解明としない"
4,"意識状態の分類（覚醒/睡眠/麻酔/DoC）","状態分類 benchmark 表を施設差比較として更新する","施設差条件の共有先を広げる","比較条件を公共財として固定する","状態分類benchmark表 外れ条件メモ 条件表","臨床診断代替にしない"
4,"統合情報理論(IIT)の実証的検証","IIT proxy 比較表を近似テストとして更新する","近似条件の共有先を広げる","近似比較条件を公共財として固定する","IIT proxy比較表 条件メモ 比較条件表","理論証明にしない"
4,"Global Workspace Theory の検証","GWT 候補反応図を再現比較として更新する","候補条件の共有先を広げる","比較条件を公共財として固定する","GWT候補反応図 再現メモ 比較条件表","理論の勝敗を決めたとしない"
4,"意識の連続性と同一性","個人内安定性比較図を状態遷移 proxy として更新する","proxy 条件の共有先を広げる","状態遷移比較条件を公共財として固定する","個人内安定性比較図 proxyメモ 条件表","本人確認技術にしない"
4,mind-upload可能性の理論的枠組み,"claim ladder を評価軸 commons として更新する","評価軸の共有先を広げる","評価軸 commons を公共財として固定する","claim ladder 評価メモ 不足要件表","mind-upload 実現を語らない"
