phase,topic,faq_focus,faq_unit,keep_faq_trigger,close_trigger,do_not_faq,note_line,avoid_point
1,EEG信号品質の限界検証,QC閾値で繰り返し来る質問をどう最終FAQ化するか,QC Q&A 1件,同じ閾値確認が繰り返し来る,QC条件が固定され質問も止まる,品質差が高次解釈に誤読される,品質関連のFAQはQC閾値の1問だけ残す,品質から読心へ飛ばない
1,高密度EEG空間分解能評価,density利得で繰り返し来る質問をどう最終FAQ化するか,密度Q&A 1件,密度条件への確認が繰り返し来る,密度条件が固定され質問も止まる,局在証明の説明FAQに化ける,空間分解能のFAQは密度条件の1問だけ残す,局在完成の物語にしない
1,マルチモーダル統合の基礎,同期条件で繰り返し来る質問をどう最終FAQ化するか,同期Q&A 1件,同期条件の確認が繰り返し来る,統合条件が固定され質問も止まる,統合万能論の説明FAQに化ける,統合のFAQは同期条件の1問だけ残す,統合万能論に戻らない
1,ノイズ除去・信号分離手法の比較,既定値候補で繰り返し来る質問をどう最終FAQ化するか,前処理Q&A 1件,前処理既定値の確認が繰り返し来る,既定値が固定され質問も止まる,最強手法ランキングFAQに化ける,前処理のFAQは既定値候補の1問だけ残す,最強法探しへ戻らない
1,長時間記録の安定性評価,usable window で繰り返し来る質問をどう最終FAQ化するか,安定区間Q&A 1件,運用区間の確認が繰り返し来る,安定区間が固定され質問も止まる,長時間記録万能論のFAQに化ける,長時間運用のFAQはusable windowの1問だけ残す,長時間夢想に戻らない
2,デコーディング精度ベンチマーク,benchmark条件で繰り返し来る質問をどう最終FAQ化するか,benchmark Q&A 1件,比較条件の確認が繰り返し来る,比較軸が固定され質問も止まる,精度競争の説明FAQに化ける,benchmarkのFAQは比較条件の1問だけ残す,精度競争に戻らない
2,クロスデータセット汎化,gap原因で繰り返し来る質問をどう最終FAQ化するか,gap Q&A 1件,gap原因への確認が繰り返し来る,原因候補が固定され質問も止まる,どこでも通用の説明FAQに化ける,汎化のFAQはgap原因の1問だけ残す,どこでも通用と語らない
2,リアルタイムデコーディング,遅延条件で繰り返し来る質問をどう最終FAQ化するか,遅延Q&A 1件,replay条件つきの遅延確認が繰り返し来る,遅延条件が固定され質問も止まる,true online 成功の説明FAQに化ける,リアルタイム性のFAQは遅延条件の1問だけ残す,true online 成功談にしない
2,Foundation Modelの適用,限定利得で繰り返し来る質問をどう最終FAQ化するか,FM Q&A 1件,task別利得の確認が繰り返し来る,限定利得条件が固定され質問も止まる,基盤モデル万能論のFAQに化ける,FMのFAQは限定利得の1問だけ残す,基盤モデル万能論に戻らない
2,運動意図デコーディング,cross-subject差分で繰り返し来る質問をどう最終FAQ化するか,MI Q&A 1件,被験者差分の確認が繰り返し来る,差分条件が固定され質問も止まる,操作一般知能のFAQに化ける,運動意図のFAQは被験者差分の1問だけ残す,操作一般知能の話へ飛ばない
2,感覚知覚デコーディング,成立条件で繰り返し来る質問をどう最終FAQ化するか,知覚Q&A 1件,P300 や SSVEP 条件の確認が繰り返し来る,刺激条件が固定され質問も止まる,知覚全再構成のFAQに化ける,知覚系のFAQは成立条件の1問だけ残す,知覚全再構成の話にしない
2,言語/意味デコーディング,語彙条件で繰り返し来る質問をどう最終FAQ化するか,語彙Q&A 1件,語彙条件の確認が繰り返し来る,語彙条件が固定され質問も止まる,全文読心のFAQに化ける,言語系のFAQは語彙条件の1問だけ残す,全文読心の話へ飛ばない
3,感情状態の推定・分類,ラベル条件で繰り返し来る質問をどう最終FAQ化するか,感情ラベルQ&A 1件,ラベル条件の確認が繰り返し来る,ラベル限界が固定され質問も止まる,感情断定のFAQに化ける,感情分類のFAQはラベル条件の1問だけ残す,感情断定の話にしない
