uid,rq_index,rq_text,commitment_item_1_ja,commitment_item_2_ja,commitment_item_3_ja,commitment_status,owner,next_review_utc,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,Monitoring window log update,trigger match judgment record,Reconfirm raise gate,active,U12_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:34:20Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",Monitoring window log update,trigger match judgment record,Reconfirm raise gate,active,U12_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:34:20Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,Monitoring window log update,trigger match judgment record,Reconfirm raise gate,active,U12_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:34:20Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,Monitoring window log update,trigger match judgment record,Reconfirm raise gate,active,U12_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:34:20Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",Monitoring window log update,trigger match judgment record,Reconfirm raise gate,active,U12_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:34:20Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",Monitoring window log update,trigger match judgment record,Reconfirm raise gate,active,U12_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:34:20Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",Monitoring window log update,trigger match judgment record,Reconfirm raise gate,active,U15_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:34:20Z
U15,2,How should neurorights be mapped onto technical audit items?,Monitoring window log update,trigger match judgment record,Reconfirm raise gate,active,U15_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:34:20Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",Monitoring window log update,trigger match judgment record,Reconfirm raise gate,active,U15_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:34:20Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,Monitoring window log update,trigger match judgment record,Reconfirm raise gate,active,U15_monitor_owner,2026-03-08T14:38:23Z,2026-03-01T20:34:20Z
