comment_type,bad_sentence,better_sentence,why_it_works,avoid_point
too_broad,mind-upload の成立可能性を公開EEGから総合的に解明する,公開EEGで検証可能な下位課題に限定し benchmark と失敗条件を整理する,対象を小さくして判定可能な主語と成果物に変えている,解明する を残さない
novelty_unclear,既存手法を適用して性能向上を目指す,公開EEGを同一条件で比較可能にする再現基盤の整備を主成果とする,性能競争から比較可能性へ軸を移している,単なる適用研究に見せない
feasibility_weak,まず幅広く試しながら有望な方向を探索する,固定前処理と被験者外評価を先に固定し 12週間で比較表と再現 notebook を出す,探索を減らして期限と条件を入れている,幅広く試す を残さない
deliverable_vague,知見を得て今後の研究に役立てる,比較表 手順書 notebook 短報ドラフトを残して次段申請に接続する,抽象語を成果物へ置き換えている,役立てる だけで閉じない
budget_weak,研究を円滑に進めるため計算環境を整える,比較表と再現 notebook の作成に必要な計算 保存 公開費へ限定する,費目と成果物の対応が見える,環境整備 のままにしない
public_data_naive,公開データなので手軽に検証できる,公開EEG横断で前処理と評価条件を揃え 再現条件と崩壊条件を見極める,手軽さでなく条件統一の価値を出している,手軽だから で押さない
activity_event_only,勉強会を開いて議論を深める,勉強会で使った教材 録画 CSV wiki を残し 参加後の追試を可能にする,開催より残存物に焦点を移している,イベント実施だけにしない
finance_aspirational,将来の大きな研究展開のために資金を確保する,比較表と申請書ドラフトを止めずに出すための橋渡し資金として小口費用に限定する,夢より短期成果物と用途限定を示している,将来の夢 だけで押さない
dataset_listing,複数データセットを用いて総合的に検討する,主要データセットを2条件に絞り cross-dataset 比較で成立条件を比較する,件数より比較設計を前に出している,データセット名の列挙で終えない
claim_too_strong,意識や記憶の本質を証明する,EEGで観測可能な proxy 指標の成立条件と限界を整理する,観測可能な範囲へ落としている,証明する を残さない
