uid,rq_index,rq_text,priority_lane,publish_gate_state,apply_step_1_ja,apply_step_2_ja,apply_step_3_ja,queue_state,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,high,pending_review,Final check of text differences,Check trail link integrity,Add to reflection commit target,waiting_gate,2026-03-01T22:10:00Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",standard,pending_review,Final check of text differences,Check trail link integrity,Add to reflection commit target,waiting_gate,2026-03-01T22:10:00Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,high,pending_review,Final check of text differences,Check trail link integrity,Add to reflection commit target,waiting_gate,2026-03-01T22:10:00Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,standard,pending_review,Final check of text differences,Check trail link integrity,Add to reflection commit target,waiting_gate,2026-03-01T22:10:00Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",standard,pending_review,Final check of text differences,Check trail link integrity,Add to reflection commit target,waiting_gate,2026-03-01T22:10:00Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",standard,pending_review,Final check of text differences,Check trail link integrity,Add to reflection commit target,waiting_gate,2026-03-01T22:10:00Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",high,pending_review,Final check of text differences,Check trail link integrity,Add to reflection commit target,waiting_gate,2026-03-01T22:10:00Z
U15,2,How should neurorights be mapped onto technical audit items?,standard,pending_review,Final check of text differences,Check trail link integrity,Add to reflection commit target,waiting_gate,2026-03-01T22:10:00Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",high,pending_review,Final check of text differences,Check trail link integrity,Add to reflection commit target,waiting_gate,2026-03-01T22:10:00Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,standard,pending_review,Final check of text differences,Check trail link integrity,Add to reflection commit target,waiting_gate,2026-03-01T22:10:00Z
