uid,rq_index,rq_text,conflict_pattern_ja,priority_rule_ja,tie_breaker_ja,required_recheck_ja,final_decision_rule_ja,log_phrase_ja,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,Summary updated but acceptance criteria unchanged,Prioritize acceptance criteria,Make the primary source heading the final judgment axis,Retrieve heading and revision date,"If there is no difference in the heading, leave it as is.",Unified to deferred judgment with first priority,2026-03-01T17:03:20Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",Collision between start point word and branch point word,Prioritize the definition table of time words,Determine the starting word first,Recheck definition table and clause headings,Update only when both start point and branch point match,Fixed the judgment by resolving the instant word collision.,2026-03-01T17:03:20Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,trigger word match but clause difference is unknown,Priority is given to the presence or absence of clause differences,Prioritize official documents over explanations,Reconfirm the revised line of official terms,"If the clause difference is unknown, leave it on hold.",Deferred due to unconfirmed clause difference,2026-03-01T17:03:20Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,Conjunction matches but audit word is missing,Prefer existence of audit word,Missing words will be treated as pending.,Recheck the operational guide and system documents,Deferred until audit word is completed,Deferred due to missing audit word,2026-03-01T17:03:20Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",The difference between synonyms determines whether it can be updated or not.,Prefer synonym normalization table,Judgment based on minimum vocabulary set,Re-judgment after updating the synonym table,Update only if differences remain after normalization,Fixed judgment after synonym normalization,2026-03-01T17:03:20Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?","The revoked words are in the new notation, but the deprived words are in the old notation.",Prioritize latest notation,Old notations are saved to notes.,Reconfirm the comparison between old and new notations,"If the new notation does not match, leave it as is.",Judgment after resolving the notation generation mismatch,2026-03-01T17:03:20Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",Definition granularity differs between legal text and news,Prioritize legal definition,News limited to supporting grounds,Double check the legal text definition line,"If there is no legal text definition difference, leave it as is.",Deferred decision based on legal text,2026-03-01T17:03:20Z
U15,2,How should neurorights be mapped onto technical audit items?,The granularity of audit items does not match between the two documents.,Prioritize fine-grained documents,Rough documents are treated as notes,Recreate the grain size correspondence table,Updated only when granularity correspondence is established on a one-to-one basis,Sort out granularity discrepancies and re-judge,2026-03-01T17:03:20Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",The number of common requirements differs between documents,Prioritize the minimum three common requirement rules,Make the missing requirements a pending item.,Re-execute three requirements extraction,"If less than three requirements are met, it will be deferred.",Placed on hold due to failure to meet three requirements,2026-03-01T17:03:20Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,"Stop words match, but periodic words only on one side",Prioritize periodic word matching,Missing periodic words will be postponed.,Officials reconfirm periodic words,Update only when periodic words match,Deferred due to missing periodic word,2026-03-01T17:03:20Z
