phase,topic,title_seed,abstract_seed,review_category,preferred_support_type,claim_level
1,EEG信号品質の限界検証,公開EEG横断における信号品質指標の再現性評価,"公開EEGを用いてデバイス差と計測条件差を横断した品質指標を再計算し、SNRとartifact耐性の下限を benchmark として定量化する。","engineering_ai;medical",research_grant,L0
1,高密度EEG空間分解能評価,高密度EEGソース推定の空間限界と電極数依存性の評価,"ground-truth 参照が可能な高密度EEGを中心に、電極数や前処理条件の差が局在誤差へ与える影響を比較し、source localization の実用限界を整理する。","engineering_ai;medical",research_grant,L0-L1
1,マルチモーダル統合の基礎,EEG-fNIRS・視線統合における時系列同期誤差の定量化,"EEG-fNIRS や eye-tracking を含む公開データを用いて、モダリティ同期誤差と融合有無による性能差を比較し、認知負荷推定の標準化条件を示す。","engineering_ai;education",research_grant>activity_grant,L0-L1
1,ノイズ除去・信号分離手法の比較,公開EEGにおける ASR/ICA 系前処理の横断比較,"artifact 混入EEGと実測EEGを横断して ASR、ICA、周波数ノイズ除去系の前処理を比較し、信号保存率と下流性能への影響を測定する。","engineering_ai",research_grant,L0
1,長時間記録の安定性評価,長時間EEG記録におけるドリフトと状態遷移の安定性評価,"睡眠や疲労を含む長時間EEGを用いて session drift、欠損率、状態遷移の安定性を評価し、縦断研究の前提条件を整備する。","medical;engineering_ai",research_grant,L0-L1
2,デコーディング精度ベンチマーク,公開EEGデコーディング課題における統一ベンチマーク構築,"MI、ERP/P300、SSVEP をまたぐ複数公開課題に統一splitと統一metricを適用し、EEG decoding の基盤性能を比較する。","engineering_ai;education",research_grant>award_or_prize,L1
2,クロスデータセット汎化,公開EEG横断での cross-dataset generalization 限界測定,"同種課題を持つ複数EEGデータセット間で学習・評価を交差させ、dataset shift と subject shift の影響を切り分ける。","engineering_ai",research_grant,L1
2,リアルタイムデコーディング,replay ベースで評価するリアルタイムEEG decoding の遅延限界,"公開EEGの replay 評価を用いて遅延、窓長、更新頻度が decoding 性能へ与える影響を測定し、リアルタイムBCI実装前の条件を整理する。","engineering_ai;education",loan_or_finance>research_grant,L1
2,Foundation Modelの適用,公開EEG自己教師あり表現学習の基盤性能評価,"睡眠、運動意図、感情など異種EEGを束ねて自己教師あり学習を行い、少数ラベル条件での linear probe と OOD gap を評価する。","engineering_ai",research_grant,L1-L2弱
2,運動意図デコーディング,cross-subject motor imagery decoding の汎化限界評価,"公開MIデータを用いて cross-subject 条件を中心に decoding 性能を評価し、被験者差が汎化へ与える影響を測る。","engineering_ai;education",award_or_prize>research_grant,L1
2,感覚知覚デコーディング,ERP/P300/SSVEP による感覚知覚 decoding の再現性評価,"ERP/P300/SSVEP をまたぐ知覚課題で latency、amplitude、classification accuracy を比較し、知覚更新や attention proxy の再現性を調べる。","engineering_ai;medical",research_grant>award_or_prize,L1
2,言語/意味デコーディング,imagined speech EEG decoding の成立条件に関する比較研究,"imagined speech、semantic congruency、N400 系公開EEGを用いて、言語ラベル定義と課題構造の差が decoding 成立性へ与える影響を比較する。","engineering_ai;social_humanities",research_grant,L1
3,感情状態の推定・分類,emotion/stress EEG の被験者間頑健性評価,"valence-arousal と psychosocial stress を含む感情EEGを横断し、subject holdout と session transfer を用いて頑健性を評価する。","medical;engineering_ai",research_grant>award_or_prize,L1
3,記憶のエンコーディング/検索,working memory と retrieval EEG 指標の再現性検証,"working memory と retrieval 課題を用いて、記憶関連EEG指標の再現性と longitudinal drift を比較する。","medical;education",research_grant,L1
3,注意・ワーキングメモリ,attention/workload EEG の汎化評価と作業負荷指標の標準化,"workload と attention を含む公開EEGに統一的な分類設定を適用し、単チャネルを含む軽量条件での汎化性能を比較する。","education;engineering_ai",research_grant>award_or_prize,L1
3,意思決定過程,リスク選択・報酬予測に関するEEG指標の比較研究,"報酬・損失・リスク選好を扱う公開課題EEGを比較し、価値評価 proxy と条件差の再現性を調べる。","social_humanities;engineering_ai",research_grant,L1
