uid,rq_index,rq_text,watch_window_utc,checked_signal_ja,check_result,followup_needed,next_window_utc,execution_note_ja,generated_at_utc
U12,1,On what basis should identifiers be assigned to post-branch entities?,2026-03-01T20:02:30Z,Definition word revision line,unchanged,no,2026-03-08T14:38:23Z,Confirmed with high priority,2026-03-01T20:02:30Z
U12,2,"At what point should the inheritance rules for responsibilities, rights, and consent diverge?",2026-03-01T20:02:30Z,Current language version updated,unchanged,no,2026-03-08T14:38:23Z,Confirmed through regular monitoring,2026-03-01T20:02:30Z
U12,3,How should mismatches between the psychological continuity criterion and the legal individual criterion be handled?,2026-03-01T20:02:30Z,Clause extraction condition word,unchanged,no,2026-03-08T14:38:23Z,Confirmed with high priority,2026-03-01T20:02:30Z
U12,4,How should technical evaluation (performance) be connected to personhood evaluation (attribution)?,2026-03-01T20:02:30Z,Add audit word,unchanged,no,2026-03-08T14:38:23Z,Confirmed through regular monitoring,2026-03-01T20:02:30Z
U12,5,"If memory editing or resynchronization occurs between branched entities, what criteria should trigger reorganization of the legal entity ID?",2026-03-01T20:02:30Z,Add synonym,unchanged,no,2026-03-08T14:38:23Z,Confirmed through regular monitoring,2026-03-01T20:02:30Z
U12,6,"When consent is withdrawn, how should revocation of permissions across multiple branched entities be implemented and audited technically?",2026-03-01T20:02:30Z,Notation generation updated,unchanged,no,2026-03-08T14:38:23Z,Confirmed through regular monitoring,2026-03-01T20:02:30Z
U15,1,"Under which legal concept should the sensitivity of neural data be handled (personal data, biometric data, or personhood-related data)?",2026-03-01T20:02:30Z,Revised legal definition,unchanged,no,2026-03-08T14:38:23Z,Confirmed with high priority,2026-03-01T20:02:30Z
U15,2,How should neurorights be mapped onto technical audit items?,2026-03-01T20:02:30Z,Map word granularity update,unchanged,no,2026-03-08T14:38:23Z,Confirmed through regular monitoring,2026-03-01T20:02:30Z
U15,3,"How should the minimum common operating model across jurisdictions (EU/US/JP, etc.) be defined?",2026-03-01T20:02:30Z,Changes in the three common requirements,unchanged,no,2026-03-08T14:38:23Z,Confirmed with high priority,2026-03-01T20:02:30Z
U15,4,How should stop conditions and update conditions be governed as technology evolves?,2026-03-01T20:02:30Z,Periodic word official addition,unchanged,no,2026-03-08T14:38:23Z,Confirmed through regular monitoring,2026-03-01T20:02:30Z
